Aggregate,WorkExless1,WorkExmore1,GRE/GMAT,GermanLevel,Private,Admission
2.78029078,0,0,0,0,0,0
2.61439157,0,0,0,2,0,0
2.314081239,0,0,0,0,0,0
2.362830888,1,0,1,1,1,1
3.914399471,0,1,1,0,0,0
3.698202415,1,0,1,2,0,0
2.581270621,0,0,0,0,0,0
2.01590106,0,0,0,0,0,0
2.094570418,1,0,1,1,0,1
2.31979404,0,0,0,0,0,0
2.427524949,1,0,1,2,0,1
1.910783158,1,0,1,1,0,1
2.825992702,1,0,0,1,0,0
1.809488051,1,0,1,1,0,1
2.806639939,0,1,1,2,1,0
2.41691667,0,1,1,1,1,1
2.041484004,0,1,1,1,1,1
3.938540136,0,1,1,2,1,1
2.679983951,0,0,0,0,0,0
3.705280964,1,0,1,1,1,0
1.86962609,0,1,0,2,1,1
2.491971452,0,0,0,0,0,0
3.974776204,1,0,0,2,0,0
2.563615123,1,0,1,2,1,1
2.911445302,1,0,0,2,1,0
3.585724413,0,1,0,2,0,0
2.008876228,0,1,1,2,1,1
1.534680872,0,0,0,0,0,0
1.720011392,0,1,0,0,0,1
3.213456697,1,0,1,1,0,0
2.626449641,0,0,0,2,0,0
2.891434758,0,1,0,1,0,0
1.773442568,0,1,1,2,0,1
2.163423294,0,1,0,1,1,1
1.509767534,0,1,0,0,1,1
3.804892325,1,0,1,2,0,0
2.435237922,1,0,1,2,1,1
2.488146384,0,0,1,0,0,0
3.172853642,0,1,1,2,1,1
2.831267892,0,1,0,2,1,0
3.858669178,1,0,1,2,1,0
3.044587105,0,1,1,1,1,0
1.970729335,0,1,1,1,1,1
2.342780612,0,1,1,1,0,1
1.801348741,0,1,1,1,0,1
2.866314787,0,1,1,0,1,0
2.385983775,1,0,0,0,1,1
1.679927883,0,1,1,1,1,1
2.845270012,0,1,1,1,0,0
2.349708939,1,0,0,1,1,1
2.146213929,0,1,0,2,0,1
1.645191098,1,0,1,1,1,1
2.948175081,0,1,0,1,1,0
1.839570784,0,1,1,1,1,1
2.755612964,0,0,0,0,0,0
2.490093618,1,0,1,2,1,1
1.759568775,1,0,0,1,0,1
2.949102517,0,1,1,2,1,1
1.508868877,1,0,1,2,0,1
2.794749796,0,0,1,0,1,0
2.731120308,1,0,1,1,1,1
2.164963197,0,0,0,1,0,0
3.431463666,1,0,0,0,1,0
2.569767257,1,0,1,2,1,1
2.580122928,0,0,0,2,0,0
3.389691896,0,1,0,2,1,0
2.198253305,0,0,0,0,0,0
2.891969271,0,1,0,2,0,0
3.250958451,0,1,1,2,1,0
3.831312608,0,1,0,0,0,0
2.138291078,0,0,0,0,0,0
2.958017815,1,0,0,2,0,0
2.564977277,1,0,1,1,1,1
2.62753882,0,1,1,2,1,1
2.359104788,0,0,0,2,0,0
1.832765402,1,0,1,2,1,1
2.052870099,0,1,1,1,1,1
2.921416794,0,1,0,0,0,0
2.945415857,0,1,1,2,1,1
2.020491514,1,0,1,1,0,1
3.190377486,0,1,0,0,1,0
3.590053453,1,0,1,0,0,0
2.065384466,1,0,1,0,1,1
2.12496312,1,0,1,1,0,1
2.693551791,1,0,1,1,1,1
3.151982756,1,0,1,2,1,0
2.273522786,0,0,0,2,0,0
2.823702697,0,1,1,2,1,1
1.656114836,0,1,1,0,1,1
1.929454138,1,0,1,1,0,1
2.175407205,0,0,0,0,0,0
1.511179009,0,0,0,0,0,0
2.32415734,0,0,0,0,0,0
2.481458968,0,0,0,0,0,0
3.415477363,1,0,1,2,1,0
1.63991523,1,0,0,0,0,1
1.94791308,1,0,1,2,0,1
2.441370852,1,0,0,0,1,1
3.359657817,1,0,0,2,0,0
2.472427528,1,0,1,0,1,1
2.360832736,1,0,1,1,1,1
2.722801915,0,0,0,2,0,0
2.351971237,0,0,0,0,0,0
1.504171133,0,0,0,0,0,0
2.480002236,0,1,1,2,0,1
1.734692695,0,1,1,0,1,1
1.518222449,0,0,0,0,0,0
2.361134785,0,0,0,0,0,0
1.580556473,0,0,0,0,0,0
1.795851985,1,0,1,2,0,1
2.217843024,0,0,0,0,0,0
2.963031866,0,1,0,2,0,0
1.824174331,0,1,0,2,0,1
1.966354308,0,0,0,0,0,0
2.709004134,0,1,1,1,1,1
3.651136614,1,0,0,1,1,0
1.801227212,1,0,1,1,0,1
2.484507964,0,0,0,0,0,0
2.412059552,0,0,0,1,0,0
1.588891112,1,0,1,1,1,1
2.477923621,0,0,0,0,0,0
1.622074139,0,1,1,0,1,1
3.088345189,0,1,1,1,1,0
2.365961236,1,0,0,2,1,1
2.82860916,1,0,1,0,1,0
2.552892622,1,0,1,0,1,1
3.245109979,1,0,0,1,1,0
2.565913266,0,0,0,0,0,0
2.210104603,1,0,1,2,1,1
2.740436598,0,0,0,0,0,0
1.827265401,1,0,1,1,1,1
1.935658342,0,0,0,0,0,0
1.805125448,1,0,1,2,1,1
2.314030623,0,1,1,1,1,1
2.694351006,0,0,1,0,0,0
2.992806806,0,1,1,2,1,1
2.922163219,0,1,1,0,1,0
3.512317283,1,0,0,1,1,0
3.955865554,0,1,1,0,1,0
1.7284229,0,1,1,2,0,1
2.076240736,0,1,1,2,1,1
2.772398349,0,0,0,2,0,0
1.78053142,0,1,1,2,0,1
2.21524332,1,0,1,1,0,1
2.753478461,0,1,1,2,1,1
1.751476902,0,1,1,2,1,1
2.324345621,0,0,0,0,0,0
1.922818665,1,0,1,2,0,1
2.951821424,0,1,0,2,1,0
2.099539132,0,1,0,2,1,1
2.103898792,1,0,1,2,1,1
1.95221048,0,1,0,2,1,1
2.827897588,0,1,1,1,1,1
2.358055427,0,1,1,1,1,1
2.810409593,0,1,0,2,1,0
2.193365264,1,0,1,1,0,1
2.479652083,1,0,0,0,1,1
1.884347138,1,0,1,1,0,1
3.384115729,1,0,1,1,1,0
2.490326869,0,0,0,0,0,0
1.56141554,1,0,1,2,1,1
2.000546032,0,0,0,2,0,0
2.481210095,0,0,0,0,0,0
1.842354805,0,0,0,0,0,0
1.577169638,1,0,1,0,0,1
1.917532159,1,0,1,2,1,1
2.091387202,0,0,0,0,0,0
2.098708495,1,0,1,2,1,1
2.551651976,0,0,1,0,1,0
2.544970235,0,0,0,0,0,0
1.834990594,0,1,1,1,0,1
1.696778681,1,0,1,1,0,1
2.811085571,1,0,1,2,0,0
2.464645988,1,0,1,2,1,1
1.2975402,1,0,0,1,1,1
2.324723264,1,0,1,1,0,1
2.061489636,0,0,0,2,0,0
2.468371744,0,0,0,0,0,0
1.773094537,0,0,0,0,0,0
1.655601574,0,1,1,1,0,1
2.950600284,1,0,0,1,1,0
3.835741856,1,0,1,2,1,0
2.907937122,1,0,1,1,0,0
2.429525829,0,1,1,0,1,1
3.90450925,0,1,1,1,1,0
2.320686374,1,0,1,2,1,1
2.576823773,0,0,0,0,0,0
1.88358438,0,1,1,1,0,1
3.41449624,0,1,0,2,0,0
3.104895683,0,1,1,1,1,0
2.303120805,0,1,1,1,1,1
2.35136307,0,0,0,0,0,0
1.935869327,0,1,1,1,0,1
1.932130645,0,0,0,0,0,0
3.098431536,0,1,1,2,0,0
2.415328665,0,0,0,0,0,0
1.614792985,1,0,0,0,1,1
2.554677305,0,1,1,1,1,1
2.951643667,1,0,1,2,1,0
2.323925886,0,0,1,0,0,0
1.684905653,0,0,0,0,0,0
2.533332716,1,0,1,1,1,1
1.866625094,0,1,0,2,0,1
2.475987089,1,0,0,0,1,1
3.345733423,0,1,1,1,0,0
3.630360017,0,1,1,2,1,1
2.40923248,1,0,1,1,1,1
3.452073998,0,1,0,1,0,0
1.75531034,1,0,1,1,0,1
3.811183509,1,0,1,1,0,0
3.023062791,1,0,1,2,1,0
2.341090452,1,0,0,1,1,1
3.755550517,1,0,1,2,1,0
2.142558022,0,0,0,0,0,0
2.31495368,0,1,1,2,0,1
2.954904112,0,1,1,2,1,0
2.619247414,0,1,1,2,1,1
2.929432552,0,1,1,1,1,1
1.973424011,1,0,1,1,0,1
1.905116659,0,0,0,0,0,0
2.767216181,0,0,0,2,0,0
2.438038465,0,0,0,2,0,0
2.530381783,1,0,1,1,1,1
2.924684994,0,1,1,1,1,1
2.183913599,1,0,1,1,1,1
3.129352981,1,0,1,1,1,0
2.167541384,1,0,1,2,0,1
2.40956853,1,0,0,1,1,1
2.201296983,1,0,1,1,1,1
1.734095268,0,1,1,0,1,1
1.915654641,1,0,1,0,0,1
2.89661153,1,0,1,2,0,0
3.737320628,0,1,1,2,1,0
2.930168121,1,0,1,1,0,0
1.778648405,0,0,0,0,0,0
2.249888957,0,0,0,0,0,0
2.899956646,0,1,0,1,0,0
2.307799694,1,0,1,1,1,1
1.770067799,1,0,0,2,1,1
3.052675146,0,1,0,1,1,0
2.989180971,0,1,1,2,0,0
2.386260912,0,0,0,0,0,0
1.90639205,1,0,1,0,1,1
2.586769198,0,0,0,0,0,0
1.519636948,0,1,0,2,1,1
2.932361736,0,1,1,2,1,1
2.861325637,1,0,0,2,0,0
2.064012602,1,0,1,1,1,1
2.796669088,0,1,1,1,1,1
2.629018456,0,0,0,0,0,0
2.442667363,0,1,1,0,0,1
2.678310885,0,0,0,0,0,0
2.263716667,0,0,0,0,0,0
2.410028795,1,0,1,0,1,1
1.978268861,0,0,0,0,0,0
2.354756902,1,0,1,1,1,1
2.648715278,1,0,1,0,1,1
1.619332788,1,0,0,0,0,1
1.574524199,0,1,1,1,1,1
2.656988173,0,0,0,0,0,0
2.674622407,0,1,1,2,1,1
1.745246379,0,0,0,0,0,0
2.940098454,1,0,1,0,0,0
2.954074445,0,1,0,0,0,0
2.33408504,0,1,1,0,0,1
1.52206499,0,1,0,2,0,1
2.057227518,0,0,0,0,0,0
2.327373813,0,1,1,2,0,1
2.32940592,0,0,0,0,0,0
2.254232597,0,1,1,1,0,1
1.88493609,1,0,1,1,1,1
3.773568135,1,0,1,0,0,0
2.235755923,0,1,1,2,1,1
2.385948351,0,1,1,1,1,1
2.517697602,1,0,1,2,1,1
1.672307935,1,0,1,1,0,1
3.416154159,0,1,0,0,0,0
2.903681475,0,1,0,2,1,0
3.206605291,0,1,0,0,0,0
1.523779699,1,0,1,2,0,1
2.614573884,1,0,1,1,1,1
2.46544585,1,0,0,1,1,1
3.702069655,0,1,1,1,1,0
2.364438602,1,0,1,2,1,1
2.594521203,0,0,0,0,0,0
2.830255821,0,1,0,1,1,0
2.507528203,1,0,1,0,1,1
2.029798925,0,1,1,0,1,1
2.559276898,0,0,0,0,0,0
2.661100367,1,0,1,2,1,1
3.001009202,0,1,1,2,1,0
1.514272063,0,0,0,0,0,0
1.868227653,0,0,0,0,0,0
2.57367513,0,0,0,1,0,0
1.741085483,0,1,1,2,0,1
2.577717038,1,0,1,0,1,1
1.551555409,1,0,1,1,0,1
3.858461935,0,1,1,2,1,1
1.667375917,1,0,1,2,0,1
2.361835337,1,0,1,1,1,1
3.366057714,1,0,0,2,1,0
2.109062701,1,0,1,1,0,1
2.488865694,0,0,0,0,0,0
1.813460735,0,1,0,2,1,1
2.402671143,0,1,1,2,0,1
3.53583762,1,0,0,2,1,0
2.388115776,0,1,1,2,1,1
2.427599194,0,0,0,0,0,0
2.327426344,0,0,1,0,0,0
1.576089911,1,0,1,2,0,1
2.065444986,1,0,1,2,0,1
2.810948122,0,1,1,2,1,0
2.572640613,0,0,0,1,0,0
2.646003167,0,0,0,0,0,0
3.176714265,1,0,1,1,0,0
1.833497887,1,0,1,2,0,1
2.186320107,0,0,0,2,0,0
2.628022589,0,1,1,1,1,1
2.906339776,0,1,1,1,1,0
2.070240126,0,1,0,1,1,1
2.361746024,1,0,0,1,1,1
2.470747682,1,0,0,0,1,1
3.96494665,0,1,1,1,1,0
2.970605932,1,0,1,1,1,0
2.616672606,0,0,0,1,0,0
2.429260601,1,0,1,1,1,1
2.069746699,0,1,1,2,1,1
2.278326274,0,1,1,2,0,1
1.282135941,1,0,1,2,0,1
2.492656112,1,0,0,2,1,1
2.116739719,0,1,1,1,0,1
3.109138293,0,1,0,0,0,0
2.74864721,0,0,0,0,0,0
2.973439294,0,1,0,1,1,0
2.305914671,0,1,1,0,1,1
1.403448255,0,1,0,0,1,1
1.929132877,1,0,1,2,1,1
2.440896293,0,0,0,0,0,0
1.562080843,1,0,1,1,1,1
2.982807223,0,1,0,2,0,0
1.75132693,1,0,0,1,1,1
3.737209463,1,0,1,1,0,0
2.765715983,0,1,1,1,1,1
2.186120231,0,1,0,1,0,1
2.382152759,0,0,1,0,0,0
2.065756505,0,0,0,0,0,0
2.321014992,1,0,1,2,1,1
2.119159658,0,1,0,1,0,1
1.661546642,0,1,1,1,0,1
2.700422735,1,0,1,1,1,1
2.502439848,0,1,1,1,1,1
1.978819568,0,0,0,0,0,0
1.982372684,0,1,0,0,1,1
3.223141141,1,0,0,1,0,0
2.227624108,1,0,1,2,1,1
2.105507245,1,0,1,1,0,1
2.803102094,0,1,1,2,1,1
1.892176833,0,0,0,0,0,0
2.734047087,1,0,1,2,1,1
2.586197562,0,1,1,2,1,1
1.971201354,1,0,1,2,1,1
1.774499699,0,1,1,1,1,1
2.931748954,0,1,1,2,1,0
2.784611743,1,0,1,1,1,1
1.852787,1,0,1,1,0,1
1.613942402,0,0,0,0,0,0
2.650681968,0,1,1,2,1,1
2.35213711,0,0,0,1,0,0
2.633426615,0,0,0,0,0,0
2.588705471,1,0,1,2,1,1
2.859286181,1,0,0,0,0,0
2.239773015,1,0,1,2,1,1
2.419233299,0,0,0,0,0,0
1.538473219,0,1,0,0,1,1
2.150021447,1,0,1,1,0,1
3.332356582,0,1,1,1,0,0
2.328393699,0,0,0,0,0,0
2.272607823,0,0,0,0,0,0
2.119648756,0,1,1,2,0,1
3.65749391,0,1,0,2,0,0
3.149101961,0,1,0,1,1,0
3.143719965,0,1,1,2,0,0
3.440785174,1,0,0,2,1,0
2.298229825,0,0,0,0,0,0
2.349397129,1,0,1,2,1,1
1.994741224,0,1,1,1,0,1
2.697984639,0,0,1,0,0,0
1.553712778,0,1,1,0,1,1
1.886006738,1,0,1,0,1,1
2.382627113,0,0,1,0,0,0
3.811348101,1,0,0,2,1,0
1.858801747,0,1,1,1,1,1
2.146837643,0,1,0,1,1,1
2.682445773,0,1,1,1,1,1
2.192404619,0,0,0,2,0,0
2.040379138,1,0,1,1,1,1
2.510961837,1,0,1,1,1,1
1.655527163,0,0,0,0,0,0
1.91939268,1,0,1,0,0,1
2.732624941,0,0,1,0,1,0
2.99633866,0,1,1,0,1,0
2.596964453,0,1,1,1,1,1
1.985352349,1,0,1,2,1,1
2.616851486,0,0,0,1,0,0
2.201830026,0,0,0,0,0,0
3.057394125,1,0,1,1,1,0
1.726666532,0,1,0,0,1,1
2.371061181,0,0,0,0,0,0
2.915140651,0,1,1,2,0,0
2.681770357,1,0,1,0,1,1
3.929000593,1,0,0,2,1,0
2.80225611,0,1,1,2,0,0
2.347632463,0,0,0,0,0,0
2.958872999,0,1,0,0,0,0
3.055674109,1,0,1,2,1,0
2.846295082,0,1,0,0,0,0
3.201681663,1,0,1,2,0,0
3.821210164,1,0,0,0,1,0
3.245919371,0,1,1,1,0,0
2.326013157,0,1,1,1,1,1
1.864860627,1,0,1,2,0,1
1.777061696,0,1,0,2,0,1
2.973837813,1,0,0,0,0,0
2.36725086,0,0,0,0,0,0
2.522382562,0,0,0,0,0,0
1.775173876,1,0,0,1,1,1
2.506288648,1,0,1,1,1,1
2.532785806,0,1,1,1,1,1
2.953785285,1,0,1,2,1,0
2.439529176,0,1,1,0,0,1
1.989358621,0,0,0,0,0,0
1.886514809,0,1,1,2,0,1
1.771265409,1,0,1,2,0,1
2.899075694,0,1,0,0,1,0
1.518678644,0,1,1,1,1,1
1.99243375,0,0,0,0,0,0
2.278951904,0,0,0,0,0,0
2.432136083,0,0,1,0,0,0
2.321316483,0,0,0,2,0,0
2.600301433,0,0,0,0,0,0
2.33887107,1,0,1,1,1,1
2.326055186,0,0,0,0,0,0
1.681802728,0,1,0,1,1,1
2.741079342,1,0,1,2,1,1
2.686684968,0,0,0,1,0,0
2.530585974,0,0,0,0,0,0
2.709364801,0,0,0,0,0,0
2.440589362,0,0,1,0,0,0
1.658857264,1,0,1,2,1,1
2.386831189,1,0,0,2,1,1
2.94120585,1,0,0,0,0,0
2.985126048,0,1,1,2,1,1
2.324043746,0,0,0,0,0,0
2.854422714,1,0,0,1,1,0
2.397849954,0,0,1,0,0,0
2.39283233,1,0,0,2,1,1
1.776240664,0,1,1,2,0,1
2.736915619,0,1,1,2,1,1
2.225544946,0,1,1,2,1,1
2.269267271,0,1,0,2,0,1
1.736573999,0,1,1,1,1,1
3.065413126,1,0,1,1,0,0
1.654816943,1,0,1,2,1,1
3.91075542,1,0,0,2,1,0
2.183962905,0,1,1,2,1,1
2.443274816,0,0,0,1,0,0
2.9181142,0,1,1,1,1,1
2.087523293,1,0,1,1,1,1
2.386638331,1,0,0,2,1,1
2.345069343,1,0,1,1,0,1
2.452089791,0,0,0,0,0,0
2.983034866,0,1,1,2,1,1
2.079160636,1,0,1,2,1,1
2.354251653,1,0,0,2,1,1
3.809320794,1,0,1,2,0,0
2.580764733,1,0,1,0,1,1
1.908839205,0,0,0,0,0,0
2.133609401,1,0,1,2,1,1
2.382065417,1,0,0,2,1,1
2.556304816,0,0,0,0,0,0
1.681386289,0,1,0,2,0,1
2.062502126,0,0,0,0,0,0
2.095428671,0,1,0,2,1,1
1.712973894,0,1,0,0,1,1
1.643696521,0,0,0,0,0,0
2.120680368,0,0,0,1,0,0
2.461285295,1,0,1,1,1,1
1.398234802,1,0,0,1,1,1
2.583318875,0,0,0,0,0,0
2.619568298,0,0,0,1,0,0
2.629102047,0,0,1,0,0,0
1.803008954,0,0,0,0,0,0
2.420590648,1,0,1,1,1,1
2.617089389,0,0,0,2,0,0
3.256470961,0,1,1,2,1,1
2.439998236,0,0,1,0,0,0
1.948959592,0,0,0,0,0,0
2.602574197,0,0,0,0,0,0
2.620885932,1,0,1,0,1,1
1.522480234,1,0,0,0,0,1
2.55748921,0,1,1,1,1,1
2.448944232,0,0,0,0,0,0
2.157631969,0,0,0,0,0,0
2.343268436,0,0,0,0,0,0
2.393389539,1,0,1,2,1,1
1.503948689,1,0,1,2,1,1
2.95520098,1,0,0,0,1,0
2.034484442,1,0,1,2,0,1
1.65538563,1,0,1,1,1,1
2.995871964,0,1,0,2,1,0
2.685655394,0,0,0,0,0,0
2.341569558,0,1,1,1,0,1
2.740823544,0,0,0,0,0,0
1.920079922,0,1,0,1,1,1
3.617874036,0,1,0,2,0,0
1.966882975,1,0,1,2,0,1
2.33344801,1,0,1,2,1,1
1.326069728,1,0,0,0,0,1
2.559435766,0,0,0,0,0,0
2.178901647,1,0,1,2,1,1
1.796245454,1,0,1,2,1,1
2.202403681,1,0,1,2,1,1
3.941926361,0,1,0,2,0,0
2.430635946,1,0,1,1,0,1
3.986516451,0,1,0,0,0,0
1.654678444,0,1,1,1,0,1
2.965076683,1,0,1,2,0,0
2.483981613,0,1,1,2,1,1
3.873676953,0,1,0,2,0,0
1.607620641,0,1,1,2,1,1
2.465018661,0,0,0,0,0,0
1.424422876,1,0,1,0,0,1
2.85174216,1,0,0,1,0,0
2.815164415,0,1,1,0,0,0
2.725063857,0,0,1,0,1,0
2.309720061,0,0,0,0,0,0
1.530803742,1,0,0,2,1,1
2.96274182,0,1,1,2,1,0
1.599292433,0,1,1,0,0,1
1.603270583,0,1,1,2,0,1
2.4159546,0,0,0,0,0,0
1.80970979,1,0,1,0,0,1
1.940463547,0,1,1,2,0,1
2.403114259,0,0,0,0,0,0
2.99120125,0,1,1,1,1,1
1.950599727,0,0,0,0,0,0
1.905005818,0,1,1,1,0,1
2.402026207,1,0,0,2,1,1
2.043030118,0,0,0,0,0,0
2.995800614,0,1,1,0,0,0
1.906368776,0,1,1,1,1,1
2.84018982,0,1,0,2,0,0
1.710372836,0,0,0,0,0,0
2.141870601,0,0,0,0,0,0
1.865065398,1,0,1,2,1,1
3.026525945,1,0,0,1,1,0
1.933859902,1,0,1,1,1,1
2.625990372,0,0,0,0,0,0
2.359953845,1,0,1,1,1,1
1.743248511,0,1,0,1,1,1
2.446856362,1,0,1,1,0,1
2.447684536,0,0,0,2,0,0
1.962423657,0,1,1,1,1,1
2.455962986,0,0,0,0,0,0
3.05299662,0,1,0,0,1,0
2.828105389,0,1,1,1,1,0
2.706729565,1,0,1,0,1,1
2.18635764,0,0,0,0,0,0
2.569481483,0,0,1,0,1,0
1.127187974,0,1,1,2,1,1
1.873576467,1,0,1,2,1,1
2.36899975,1,0,1,0,1,1
1.913446865,1,0,1,0,1,1
2.398330871,0,0,1,0,0,0
3.991969625,0,1,1,0,1,0
1.892825322,0,0,0,0,0,0
3.433616182,1,0,0,2,0,0
1.154307589,1,0,1,1,1,1
2.389930073,1,0,1,1,1,1
2.468958014,1,0,1,2,0,1
3.904175034,1,0,1,1,0,0
2.798651115,0,0,1,0,1,0
2.232290066,1,0,1,2,1,1
2.247700157,1,0,1,2,0,1
2.943825114,0,1,1,0,0,0
2.205794277,0,1,1,1,0,1
2.141719432,0,0,0,1,0,0
2.169290427,1,0,1,2,1,1
1.700536851,1,0,1,0,1,1
2.18880472,1,0,1,2,1,1
2.721077263,0,1,1,2,1,1
2.312546647,0,0,0,0,0,0
2.840717536,1,0,1,0,1,0
2.345603461,0,1,1,2,0,1
2.316144005,0,1,1,0,1,1
1.962680527,0,1,1,2,0,1
2.905078599,0,1,1,1,1,1
1.869855195,0,1,0,1,0,1
2.547838159,0,1,1,1,1,1
1.604043524,0,1,1,2,0,1
2.898125818,0,1,1,2,1,1
2.400149603,0,0,1,0,0,0
2.42255689,1,0,1,1,1,1
1.827692421,0,0,0,0,0,0
2.316577745,1,0,1,2,1,1
1.850376227,1,0,1,2,0,1
2.452066658,1,0,1,1,0,1
2.397934657,0,0,0,0,0,0
2.788953793,1,0,1,1,1,1
1.955968804,1,0,1,1,1,1
2.951397165,0,1,1,1,1,1
2.642138262,0,1,1,2,1,1
2.444436211,0,0,0,0,0,0
2.866965668,0,1,1,1,1,0
2.376702707,0,0,1,0,0,0
1.750408604,1,0,0,1,1,1
2.748738891,0,0,0,0,0,0
2.844037158,1,0,1,1,0,0
3.808742923,0,1,1,2,1,0
1.927282378,1,0,1,1,1,1
2.793273805,0,0,0,0,0,0
1.626839519,1,0,0,2,1,1
2.728208203,0,1,1,2,1,1
3.096061786,1,0,0,0,0,0
2.32312602,0,0,0,0,0,0
2.919759414,1,0,1,2,0,0
3.31231614,1,0,1,0,1,0
2.958593345,1,0,0,1,1,0
2.912571782,1,0,1,2,1,0
2.56084282,0,0,0,0,1,0
2.879050793,0,1,0,0,1,0
2.240505138,0,1,1,0,1,1
1.9911015,0,0,0,0,0,0
2.848930142,1,0,1,2,0,0
2.428034947,0,0,0,0,0,0
2.471642897,1,0,1,0,1,1
2.562547901,1,0,1,0,1,1
2.687628069,0,0,0,0,0,0
3.624628213,0,1,1,2,1,0
2.096094423,0,1,1,2,1,1
1.601553802,0,1,1,1,1,1
3.140825841,0,1,0,0,1,0
3.337158602,0,1,0,2,0,0
1.160601709,0,1,0,0,0,1
2.93274134,0,1,1,2,1,0
1.37715911,1,0,1,2,0,1
2.780050348,0,0,0,0,0,0
1.956274708,1,0,1,0,1,1
2.766111596,0,0,0,0,1,0
3.837736383,1,0,1,1,1,0
2.289753346,0,0,0,0,0,0
2.630813496,1,0,1,0,1,1
2.0947699,1,0,1,1,1,1
2.497155676,1,0,0,0,1,1
2.387718265,1,0,0,0,1,1
1.723222052,0,0,0,0,0,0
3.346883175,0,1,0,1,0,0
2.779642594,0,0,1,0,1,0
2.619808669,0,0,1,0,1,0
2.34677359,1,0,1,1,1,1
2.885697558,1,0,0,2,0,0
2.816007218,0,1,0,2,1,0
3.557082749,1,0,1,0,1,0
2.399725887,0,0,0,0,0,0
2.451446589,1,0,1,2,1,1
1.541160977,0,1,1,2,1,1
2.440111896,1,0,1,1,1,1
2.430110328,0,0,1,0,0,0
3.751625228,0,1,1,2,1,1
1.132858546,0,1,1,0,1,1
2.498856195,0,0,0,0,0,0
2.838439905,1,0,1,0,0,0
2.336681587,0,0,0,2,0,0
3.786473843,0,1,1,0,0,0
2.351979953,0,0,0,0,0,0
2.363870107,1,0,1,0,1,1
1.947116032,0,0,0,0,0,0
2.386203314,0,0,0,0,0,0
1.978266294,1,0,1,1,1,1
1.804226941,1,0,1,1,1,1
2.817047706,0,1,0,0,1,0
3.958996596,1,0,0,0,0,0
1.435937648,1,0,1,0,0,1
2.45119088,0,1,1,0,1,1
1.573861268,1,0,0,2,0,1
