Aggregate,GRE,Internship,DegCompleted,Winter,GermanLevel,Admission
2.165880003,1,1,1,1,1,1
2.119562362,0,0,0,1,0,0
1.562008662,1,0,1,0,2,1
2.141976711,0,0,0,1,0,0
2.032375564,1,1,1,0,0,1
2.437700148,0,0,0,0,0,0
2.252077346,0,0,0,0,0,0
2.187400447,1,1,1,0,0,1
1.845334172,1,0,1,0,2,1
2.798233505,0,0,0,0,0,0
3.989753462,0,0,1,0,1,0
3.329966133,1,1,1,0,1,0
2.604113227,1,1,0,0,2,0
2.508814864,0,1,0,1,2,0
2.33926382,0,0,0,0,0,0
1.612076624,1,1,1,1,0,1
1.502935665,0,1,1,1,2,1
1.246407396,1,0,1,1,2,1
1.796606262,1,0,1,1,1,1
2.480677369,1,1,1,1,2,1
2.466585308,1,1,1,0,0,1
3.783593247,1,0,1,1,0,0
2.269985262,1,0,0,0,0,0
2.426784125,1,1,1,0,1,1
2.082358797,1,0,1,1,2,1
2.696195346,1,1,1,1,1,1
1.692511431,1,0,0,0,2,1
3.428503634,0,1,1,1,2,0
2.371549973,0,0,0,1,0,0
1.457896182,1,1,0,0,1,1
2.077372183,0,0,0,0,0,0
1.758136649,1,1,1,0,1,1
3.083334096,1,1,1,0,2,0
1.68176033,0,1,1,0,2,1
1.038071638,1,1,1,0,0,1
2.8656685,0,0,1,0,0,0
2.125745964,0,0,0,1,0,0
1.500309891,0,1,1,1,1,1
1.789376863,0,0,1,1,0,1
1.536553685,0,0,0,0,0,1
2.267844881,1,1,1,0,0,1
1.558842349,1,0,1,0,1,1
1.587054636,1,1,1,1,1,1
1.688669009,1,1,1,0,2,1
2.043055371,1,1,1,1,0,1
2.17672514,0,1,1,1,1,1
2.554831476,0,1,0,1,1,0
2.387307495,0,0,0,1,0,0
1.833308999,0,1,1,0,1,1
1.741003921,1,1,1,1,2,1
3.312773885,1,1,0,0,1,0
2.226934766,0,0,0,0,0,0
2.304583285,1,1,1,1,2,1
2.50253132,0,0,0,0,0,0
2.780860604,1,1,0,0,0,0
2.118234839,0,0,0,1,0,0
2.156170715,0,0,0,1,0,0
2.57466144,1,0,1,0,2,0
1.709679447,1,1,1,0,1,1
1.775261739,1,0,1,1,1,1
1.683677639,0,0,1,1,0,1
2.111836146,1,1,1,1,1,1
2.532074851,1,1,1,0,2,0
2.099090455,0,0,0,0,0,0
2.78945643,1,0,0,0,0,0
1.655290059,0,0,0,0,0,1
1.627304357,0,1,1,1,0,1
2.487923755,1,1,1,0,2,1
2.025146463,1,1,1,0,1,1
2.055395232,0,0,0,0,0,0
1.885718708,1,1,1,0,0,1
2.381921879,0,0,0,1,0,0
1.566790677,1,1,1,0,2,1
3.745823594,0,1,0,0,2,0
2.628770983,0,1,1,0,1,0
2.776568905,1,1,1,1,1,1
2.949218441,1,0,0,1,0,0
1.894059531,1,1,1,0,1,1
2.200316712,1,1,1,0,1,1
2.37315951,1,1,1,0,1,1
2.216992702,0,0,0,1,1,0
2.500668625,0,1,1,0,2,0
1.855021073,1,1,1,0,0,1
1.71006569,0,1,1,1,1,1
2.158408193,0,0,0,1,0,0
1.554800869,1,1,1,1,2,1
1.838297161,1,1,1,1,1,1
2.355531872,1,1,1,0,1,1
1.943639001,0,1,1,0,2,1
1.531583306,0,1,1,1,1,1
2.997533604,0,1,1,1,0,0
1.166779733,1,1,0,0,0,1
3.202379853,0,1,0,1,1,0
2.286843126,0,0,0,0,0,0
2.464629829,0,0,0,0,0,0
1.518875912,1,1,1,0,2,1
2.820789887,0,1,0,0,2,0
1.563319223,1,1,1,0,2,1
2.169506009,1,1,1,0,0,1
1.991254382,1,1,1,0,1,1
2.945229303,1,0,0,0,1,0
1.04600828,0,0,0,0,1,1
2.436359634,0,0,1,1,2,0
2.683219577,1,0,0,1,2,0
2.205152181,0,0,0,0,0,0
2.265606811,0,0,0,1,0,0
2.064131178,0,0,0,1,0,0
2.41432297,1,1,1,1,1,1
2.159849256,0,0,0,1,0,0
2.627013412,1,1,1,1,1,1
2.333174042,0,0,0,0,0,0
1.656011269,1,1,1,1,1,1
2.535863456,0,0,0,1,1,0
2.58499979,1,1,0,1,0,0
2.299336789,0,0,0,0,0,0
1.044607136,0,1,1,1,0,1
1.612432288,1,1,1,0,2,1
1.87813946,1,1,1,0,1,1
2.361909682,0,0,0,1,1,0
2.642062467,1,1,1,1,1,1
2.232978339,0,0,0,1,0,0
2.529553551,1,1,1,1,1,1
1.729616758,1,1,1,0,1,1
2.572781716,1,1,1,1,1,1
1.718628048,1,0,1,1,2,1
2.274022547,0,0,0,1,0,0
1.098106583,0,0,1,0,2,1
3.170085607,1,1,1,0,1,0
2.199033665,0,0,0,0,0,0
1.703794048,0,1,1,0,0,1
2.666179097,1,1,1,0,1,1
1.789816686,0,0,0,0,0,1
2.773604855,1,0,0,1,0,0
1.737135076,1,1,1,1,1,1
2.291007103,1,1,1,0,2,1
1.636536384,1,1,1,1,1,1
2.575255723,1,0,0,0,1,0
1.659100556,0,0,1,0,0,1
2.745034484,0,1,1,1,1,0
2.534971213,1,0,1,0,0,0
1.843829545,0,1,1,1,2,1
1.282121779,0,1,0,0,2,1
1.56824616,1,1,0,0,2,1
2.109906513,0,0,0,0,0,0
1.974552819,1,0,1,0,2,1
2.162974977,0,0,0,1,0,0
2.624032071,1,1,1,0,0,0
2.473419293,0,0,0,0,0,0
2.649147267,1,1,1,1,1,1
2.432501707,1,1,1,1,0,1
2.442944701,0,0,0,1,1,0
1.660644263,1,1,0,1,1,1
2.668336445,1,1,1,0,1,1
2.370575424,0,0,0,0,0,0
2.197234502,1,0,1,1,1,1
2.749746016,1,0,1,1,1,0
2.140139362,1,1,1,1,1,1
1.901689071,1,1,1,1,2,1
1.76956013,1,0,1,0,1,1
2.300348889,1,1,1,1,2,1
2.026723685,1,1,1,0,0,1
2.365626162,1,1,0,0,0,0
2.747365596,0,1,0,1,2,0
2.021631727,1,1,1,1,0,1
2.256644681,0,0,0,1,0,0
2.75029037,1,0,1,0,1,0
3.917611553,1,0,1,1,1,0
1.341750947,1,0,1,0,2,1
1.155841736,1,1,1,0,0,1
3.724229258,0,0,1,1,0,0
1.377882096,0,1,1,0,0,1
2.469714917,1,1,1,0,2,1
2.366284081,1,1,1,0,0,1
2.028723728,0,0,0,1,0,0
1.837683089,1,1,1,0,1,1
2.395286925,1,1,1,1,2,1
1.711321457,1,1,1,0,1,1
2.527802464,1,0,1,1,0,0
2.641783595,0,0,1,1,2,0
1.146552647,1,1,0,0,0,1
2.143168661,1,1,1,0,1,1
2.264029689,1,1,1,0,0,1
1.605419633,1,1,0,0,1,1
1.938453566,0,1,1,1,1,1
2.172527556,1,1,1,1,1,1
2.507666163,0,0,0,0,2,0
2.035356995,0,0,0,1,0,0
1.645152243,1,1,1,1,2,1
1.682505772,1,0,1,1,2,1
2.366505801,1,1,1,1,0,1
2.079975546,0,0,0,0,0,0
3.04765246,0,1,0,1,0,0
2.538607956,1,0,1,0,0,0
2.674914282,1,0,0,1,0,0
1.838792008,0,1,1,0,1,1
3.121329008,1,0,0,0,1,0
2.065648794,1,1,1,1,2,1
2.232819712,0,0,0,1,0,0
3.960122451,1,1,1,1,1,0
1.269553526,1,0,1,1,1,1
2.671457538,0,1,1,1,0,0
2.14629204,0,0,0,1,0,0
2.042615107,1,0,1,1,2,1
2.254587425,0,0,1,1,2,0
2.280891073,0,0,0,0,0,0
1.762911953,1,0,0,1,2,1
2.615425678,1,1,1,1,1,0
1.137862727,1,1,1,1,0,1
3.817010444,0,0,1,0,1,0
1.636187242,0,0,1,0,0,1
2.55443595,1,0,0,0,0,0
2.729105888,0,0,1,1,1,0
2.053536899,0,0,0,0,0,0
1.762419997,1,1,1,1,2,1
3.571281896,0,0,1,0,0,0
1.502804983,1,1,1,0,2,1
1.328286753,0,0,0,1,0,1
2.664454695,0,1,0,1,1,0
2.735657374,0,1,0,0,0,0
2.542695153,0,1,0,1,2,0
2.197035556,1,1,1,1,1,1
2.842112084,0,1,1,0,1,0
3.864458289,0,0,1,1,1,0
2.177380506,0,0,0,1,0,0
2.185316602,1,1,1,0,1,1
2.2487918,0,1,0,0,0,0
2.083331021,1,0,1,1,2,1
3.95247741,1,0,1,0,1,0
3.126261608,0,1,1,0,2,0
2.794437622,0,1,0,1,0,0
2.478737885,0,0,0,0,0,0
3.845198675,0,0,1,0,1,0
1.738508757,1,0,0,1,1,1
2.048361728,0,0,0,1,0,0
2.046593992,1,1,1,1,1,1
1.8605658,1,1,1,0,0,1
1.396134833,0,1,0,0,2,1
1.910693193,0,1,1,0,1,1
2.349167512,1,1,1,1,0,1
1.699360734,1,0,1,0,2,1
2.12586844,1,1,1,0,1,1
2.823636299,1,1,1,1,0,0
1.180706277,1,1,0,1,1,1
2.73722799,0,0,0,1,2,0
1.325816796,0,0,1,0,0,1
1.848185932,0,1,1,1,1,1
1.143299606,0,1,1,1,0,1
2.376392773,0,0,1,1,1,0
2.266956112,0,0,0,1,0,0
2.466315336,1,1,0,0,0,0
2.827300789,1,0,0,0,2,0
2.252229742,1,1,1,1,1,1
2.200111277,0,0,0,0,0,0
2.084581963,0,0,0,0,0,0
2.230667598,0,0,0,1,0,0
1.717231689,1,1,1,0,2,1
2.000256436,0,0,0,0,0,0
2.018730187,0,0,0,1,0,0
1.561261386,1,1,1,1,0,1
2.765835931,1,1,1,0,0,0
1.914000488,1,1,1,0,1,1
1.797595161,0,1,1,1,2,1
2.204059401,0,0,0,1,0,0
2.394791586,0,0,0,0,0,0
1.598606162,0,0,1,1,0,1
1.557938437,1,1,1,1,1,1
1.278078458,1,1,0,0,1,1
2.02917775,1,0,1,1,1,1
1.536111725,1,0,1,0,1,1
1.718891841,0,0,0,0,0,1
1.743609892,1,1,1,1,2,1
2.243596924,1,0,0,1,0,0
2.519115225,0,1,0,1,1,0
3.787173827,1,1,1,0,0,0
2.753090187,1,1,1,1,1,1
3.074999996,0,1,1,0,2,0
1.67237005,1,0,1,1,1,1
2.341965015,0,0,0,1,0,0
2.355914942,1,1,1,0,2,1
2.00166418,0,0,0,0,0,0
2.707399161,0,1,1,0,0,0
2.61323834,0,1,0,1,1,0
2.656721848,1,1,0,0,1,0
2.334433487,0,0,0,0,0,0
2.290188534,0,0,0,1,0,0
2.306041226,1,1,1,1,0,1
2.653019317,0,0,0,0,1,0
2.033804629,1,1,1,1,1,1
2.277892123,0,1,0,0,0,0
2.145349903,0,0,0,1,0,0
2.598454094,1,1,1,0,1,1
2.283322594,0,0,0,0,0,0
2.322438964,0,0,1,0,1,0
1.563722147,1,0,1,1,2,1
2.291005333,0,0,1,1,2,0
1.459393146,1,1,1,1,0,1
2.474166766,1,1,1,1,1,1
2.358395791,0,0,0,0,2,0
1.614708268,1,1,0,1,1,1
1.526381925,1,0,1,1,2,1
2.475995664,0,0,0,0,0,0
2.336125898,0,0,1,0,1,0
1.959556839,0,1,1,1,2,1
1.53151459,1,1,1,1,1,1
1.580639335,0,0,1,1,0,1
2.740222828,0,0,1,1,2,0
2.640591797,1,1,1,1,1,0
1.069844078,0,1,0,1,1,1
2.39694508,1,1,1,1,0,1
2.465314255,1,1,1,0,2,1
2.582689122,1,0,1,0,1,0
2.218851951,0,0,0,1,0,0
1.74957067,1,1,1,1,2,1
3.256308451,0,1,1,0,0,0
2.055638397,1,1,1,1,1,1
2.313388411,0,0,0,1,0,0
1.568260925,0,1,1,1,1,1
2.539839131,1,1,1,1,1,1
1.797661468,1,0,1,1,1,1
1.581947588,0,1,1,1,0,1
1.149449999,0,1,1,0,0,1
2.307369444,0,0,1,1,1,0
2.693920753,0,1,0,1,2,0
1.64215353,1,1,0,1,1,1
2.692115851,0,0,1,1,0,0
2.662973761,1,1,1,1,1,1
2.602208353,0,1,0,0,0,0
1.727742287,1,0,0,0,1,1
2.266378012,1,1,1,0,0,1
1.532137964,1,0,1,0,2,1
1.536336079,1,0,1,1,1,1
2.045708445,0,0,0,1,0,0
3.100070796,1,0,0,0,1,0
2.383057097,1,1,1,1,2,1
2.47622197,1,1,1,1,0,1
1.663874363,1,1,1,1,1,1
1.600915268,1,1,0,1,2,1
1.693668619,1,1,1,1,2,1
1.314889537,0,1,0,1,1,1
2.294326577,1,1,0,1,0,0
1.482945118,1,1,0,1,1,1
2.482505634,1,1,1,0,2,1
1.594799721,1,1,1,0,1,1
2.670596503,1,1,0,1,0,0
2.088901443,1,1,1,1,1,1
1.845925612,1,1,1,1,1,1
2.571225481,1,0,0,1,2,0
1.918385831,1,0,1,0,1,1
1.722229888,1,1,1,0,2,1
1.941144637,1,1,1,0,0,1
2.775741679,1,1,1,0,2,0
1.748304862,1,1,1,0,2,1
2.472317053,1,1,1,1,1,1
2.746874161,1,1,1,1,1,1
2.32352453,1,1,1,0,2,1
2.103981439,0,0,0,1,0,0
2.585187997,1,1,0,1,2,0
2.052484185,0,0,0,0,0,0
2.262110827,1,1,1,1,1,1
1.638780392,1,1,1,0,2,1
2.552346862,0,0,1,1,2,0
2.254146551,1,1,0,0,0,0
2.133319315,1,1,1,0,1,1
2.059923596,0,0,0,1,0,0
2.086839156,0,0,0,0,0,0
1.691339072,1,1,1,1,2,1
3.079388541,1,0,1,0,0,0
2.174200918,0,0,0,1,0,0
2.645549168,0,0,0,0,0,0
2.236360438,0,1,0,1,0,0
1.633498641,0,1,1,1,0,1
2.382883419,1,1,0,0,0,0
2.277903395,1,1,0,1,0,0
1.919813497,0,1,1,0,1,1
1.583480842,1,0,1,1,2,1
2.191928566,0,0,0,1,0,0
2.057152504,0,0,0,0,0,0
2.329370418,1,1,1,0,1,1
1.595145593,0,1,1,1,2,1
2.274008649,0,0,1,0,0,0
2.531050303,0,0,1,1,2,0
3.698251094,0,1,0,1,2,0
2.270376015,0,0,1,0,1,0
1.992987411,1,1,1,1,0,1
3.613467723,1,0,0,1,0,0
1.994043019,1,0,1,1,2,1
2.578735191,1,1,1,1,2,0
2.798237254,1,0,0,0,0,0
2.599585469,1,1,1,1,1,1
2.935345893,0,0,1,0,0,0
2.413766853,1,1,1,1,0,1
2.256725366,1,1,1,1,0,1
2.289805449,1,1,1,1,0,1
2.704857132,1,1,0,1,2,0
2.542509443,1,0,1,0,0,0
2.627019681,1,1,1,0,1,1
2.121503043,0,0,0,1,0,0
1.778172328,0,0,0,1,0,1
1.844353697,1,1,1,0,2,1
2.285656389,0,0,0,0,0,0
1.453847351,0,1,1,1,1,1
2.532655103,0,1,1,1,0,0
3.006149534,1,0,0,1,1,0
1.822192247,1,1,1,1,2,1
2.188758631,0,0,0,1,0,0
2.234482347,0,0,0,1,0,0
2.05800709,0,1,1,1,1,1
2.576233562,1,0,0,0,2,0
2.475933085,0,0,0,0,0,0
2.286415206,0,0,0,0,0,0
2.151402311,1,1,1,0,1,1
1.630413485,0,1,1,1,2,1
1.561004222,1,1,1,1,2,1
1.6515115,0,0,0,1,0,1
1.627687434,0,1,1,1,0,1
2.182825828,0,1,1,0,1,1
1.791353198,1,1,0,1,1,1
1.733835826,0,1,1,1,0,1
1.708117244,0,0,0,0,0,1
2.711204192,1,0,1,0,0,0
2.563481733,0,1,0,0,0,0
3.484310402,0,1,0,0,2,0
2.561254732,0,1,1,0,0,0
2.256199836,0,0,0,0,0,0
2.638491267,1,0,1,1,2,0
1.548795512,1,1,1,0,0,1
2.224478116,0,0,1,0,0,0
1.126155228,0,0,0,0,1,1
1.610280259,0,0,1,0,0,1
1.627843013,0,1,1,0,0,1
1.645391928,1,1,1,0,2,1
2.727624423,1,1,1,0,1,1
2.298595149,0,0,0,0,0,0
1.905295694,1,1,1,1,0,1
1.765969633,0,1,1,1,2,1
1.534546316,1,0,0,0,1,1
2.613314616,1,0,0,1,2,0
1.458322971,1,0,1,1,1,1
2.353060245,0,0,0,0,1,0
2.144753373,0,0,0,1,0,0
2.260319249,0,0,0,1,0,0
2.21987504,1,1,1,1,1,1
1.47811698,1,0,1,1,0,1
2.331105797,0,0,1,1,1,0
2.539417393,1,1,0,1,1,0
1.603323995,0,0,1,0,0,1
3.528268479,1,0,1,0,1,0
1.647650732,0,0,1,0,0,1
2.090342564,1,1,1,1,1,1
1.931905748,1,1,1,1,1,1
1.714600446,0,1,1,1,1,1
2.933881031,1,1,1,1,0,0
1.651380161,0,0,0,0,0,1
2.096227282,1,0,1,1,1,1
2.360606275,0,0,0,1,0,0
3.866058914,1,0,0,1,0,0
2.335807694,1,1,0,0,0,0
2.297691867,0,0,0,0,0,0
2.44972803,0,0,0,1,0,0
2.062623707,1,1,1,0,1,1
1.551735438,1,0,0,1,1,1
2.615231588,1,1,0,1,0,0
2.157545357,1,1,1,0,0,1
2.363829624,1,0,0,0,0,0
1.523977969,1,1,1,1,0,1
2.768900932,1,0,1,0,0,0
1.847301074,1,1,1,1,1,1
2.2329639,0,0,1,1,1,0
2.575274114,1,0,0,1,0,0
2.275077575,0,0,0,1,0,0
3.145069181,0,1,0,0,1,0
2.296806784,0,0,0,1,0,0
2.237061631,0,0,0,0,0,0
2.585345184,1,1,1,1,1,1
1.772015581,1,1,1,1,0,1
1.655760837,1,0,1,1,1,1
2.486022266,1,1,0,1,0,0
3.412886011,0,0,1,0,0,0
2.648760963,1,1,1,0,1,0
1.697114729,1,1,1,1,0,1
1.89352796,1,1,1,1,1,1
2.273515238,1,1,1,0,0,1
2.616422543,0,0,1,0,2,0
1.58777331,1,1,1,0,1,1
2.042446178,0,0,0,0,0,0
2.383815183,1,1,1,1,1,1
1.549925306,1,1,1,1,2,1
2.593894161,1,1,1,1,0,0
1.546065137,0,0,0,0,0,1
2.884946451,0,1,1,0,2,0
2.671776754,1,0,1,0,1,0
2.388459417,0,0,1,0,1,0
1.872936493,1,1,1,1,0,1
2.019261427,0,0,0,0,0,0
3.014624692,0,1,1,1,1,0
2.410498274,0,0,0,1,0,0
2.658670949,1,1,1,0,2,0
2.008773267,1,1,1,1,1,1
1.626175358,1,1,1,0,2,1
1.912705941,1,1,1,1,0,1
2.3034168,1,1,1,0,1,1
2.483465087,1,0,0,0,0,0
1.731306325,1,0,1,0,1,1
2.659269285,0,1,1,0,1,0
2.488321297,1,1,0,1,0,0
1.785870719,0,0,0,0,0,1
2.285422003,1,1,1,0,1,1
1.598991213,1,0,0,0,2,1
2.163133448,0,0,0,0,0,0
1.946803436,1,1,1,0,1,1
2.286324935,0,0,0,0,0,0
2.35495916,0,0,0,1,0,0
3.534746397,1,1,0,0,2,0
3.863988958,1,0,1,1,2,0
1.44457518,1,0,1,1,2,1
2.479238011,0,0,0,0,0,0
1.989462999,1,1,1,1,2,1
2.854462919,0,1,0,0,2,0
2.990405416,1,0,0,0,1,0
2.664886482,1,1,0,0,2,0
1.919365294,0,1,1,1,1,1
2.605477312,0,0,1,0,1,0
1.546662449,1,0,1,1,2,1
2.337373393,0,0,1,1,1,0
3.29918838,0,1,1,1,1,0
2.283229032,0,1,0,0,0,0
2.258728788,0,0,1,0,1,0
1.573868728,0,0,0,1,0,1
1.642501875,0,0,0,0,0,1
1.987906973,1,1,1,0,1,1
3.736110197,1,0,1,0,1,0
2.403164688,1,1,1,0,1,1
2.132010251,1,0,1,0,1,1
2.204313835,0,0,0,1,0,0
2.289563697,1,1,1,0,2,1
1.577498764,1,0,1,1,2,1
2.423850946,0,0,1,1,0,0
1.882338883,1,1,1,1,2,1
1.274273703,1,0,0,1,2,1
2.447919528,1,0,0,1,0,0
2.646615826,1,0,1,0,1,0
1.760438564,0,1,1,1,1,1
2.516051974,1,1,1,0,2,0
1.923472784,1,0,1,0,2,1
3.377313056,0,0,0,1,0,0
2.054467198,0,0,0,1,0,0
1.566515793,1,0,1,0,2,1
2.257071561,1,1,1,0,2,1
2.230269412,0,0,1,1,2,0
2.667540623,1,1,1,1,1,0
2.607523149,1,1,1,0,0,0
1.535501582,1,0,1,1,2,1
1.72039387,1,0,0,1,2,1
3.554084647,0,1,1,1,1,0
2.16481078,0,1,1,0,1,1
1.887565248,1,1,1,0,1,1
2.657006552,1,1,1,1,1,1
2.481936211,1,1,1,1,0,1
1.524387804,0,0,0,1,0,1
3.906917034,0,1,1,1,0,0
2.521235261,1,0,1,1,2,0
2.203080144,0,0,0,1,0,0
1.727262259,1,1,0,1,2,1
2.540615256,1,0,1,1,1,0
2.6435494,0,1,1,1,2,0
1.985578485,1,1,1,1,1,1
2.262519921,1,1,1,0,0,1
2.193916736,0,1,1,1,2,1
1.663510562,1,1,1,0,2,1
2.366103542,1,1,1,1,1,1
2.34941237,1,1,1,0,2,1
1.931556152,1,1,1,0,2,1
2.192975742,0,0,0,0,0,0
2.169111577,0,0,0,0,0,0
2.394971863,1,1,1,0,0,1
3.402619634,1,1,1,1,1,0
2.765567276,1,0,1,0,1,0
2.635940585,1,1,0,0,2,0
2.065198147,1,1,1,0,1,1
1.714028487,0,1,1,0,1,1
2.768177488,1,1,1,0,0,0
1.597028128,0,1,1,1,0,1
1.767149636,0,0,1,1,0,1
1.842766734,1,0,1,1,1,1
1.573422399,1,0,1,1,1,1
2.144548949,0,0,0,1,0,0
2.611993263,1,1,1,0,0,0
2.442912219,1,1,0,1,0,0
2.185789192,1,1,1,1,1,1
1.808728145,1,1,1,1,1,1
2.238192305,0,0,0,0,0,0
2.483914014,0,0,1,1,1,0
2.039879466,0,0,0,1,0,0
2.230450743,0,0,0,1,0,0
1.728084806,1,0,1,1,2,1
2.433537886,1,1,0,1,0,0
1.864256543,1,1,1,0,2,1
3.054042267,1,1,1,1,2,0
2.243811111,0,0,0,1,0,0
1.502435492,0,0,0,0,0,1
2.027610242,1,1,1,0,1,1
2.055448625,0,1,1,1,1,1
3.852649103,1,1,1,0,0,0
2.457157734,1,1,1,1,0,1
1.787456859,1,1,1,1,2,1
2.649169758,1,1,1,0,0,0
1.537693682,1,1,1,0,1,1
2.78661716,1,0,0,1,0,0
1.722623142,1,1,1,0,1,1
2.133118966,0,0,0,0,0,0
2.213503625,0,0,0,1,0,0
1.541998093,1,1,1,0,1,1
2.7865979,1,0,0,1,0,0
2.013892514,1,1,1,1,1,1
1.922509794,0,1,1,0,2,1
1.717892939,1,1,1,0,2,1
1.585843681,1,1,1,0,2,1
2.044567969,0,0,0,0,0,0
2.588914867,1,1,1,1,1,0
2.738703449,1,0,1,0,2,0
2.362446151,0,0,0,1,0,0
1.849149875,1,1,1,0,2,1
1.309033521,0,0,0,0,1,1
3.370799873,1,0,1,1,0,0
1.918533024,1,1,1,1,0,1
2.134185337,1,1,1,1,2,1
2.780413428,0,0,0,0,1,0
2.449314625,0,0,0,0,2,0
2.402197917,0,0,1,1,0,0
2.480283307,0,0,1,1,2,0
1.531142931,1,0,1,0,1,1
1.115291799,0,1,1,1,0,1
2.76855324,0,0,1,0,1,0
2.315532767,0,0,0,0,2,0
1.679653674,0,0,1,1,0,1
3.197601515,0,1,1,1,2,0
2.362681436,1,1,1,1,0,1
2.464843786,1,1,1,1,0,1
2.327793436,1,1,1,1,0,1
2.031424792,1,1,1,0,1,1
2.261199048,0,0,0,1,0,0
2.333546424,1,1,1,1,1,1
2.108889745,0,0,0,1,0,0
1.677068219,1,1,0,1,1,1
3.667130807,0,1,1,1,1,0
2.298041896,0,0,0,1,0,0
2.659797719,0,1,1,1,2,0
2.380847948,1,1,1,0,1,1
2.946612866,1,0,0,0,2,0
2.407417963,0,0,0,1,0,0
2.400053321,1,1,1,1,0,1
2.751793406,1,1,0,0,0,0
2.120612336,0,0,0,0,0,0
1.765893649,1,0,1,1,2,1
1.140360754,0,1,1,1,0,1
2.021458647,1,1,1,1,0,1
2.531288618,1,0,1,1,0,0
2.369359424,1,1,0,0,0,0
2.024894114,1,1,1,0,1,1
2.37734274,0,0,1,1,1,0
3.468712666,1,1,1,1,0,0
2.742697531,0,1,1,0,1,0
2.491434034,1,0,0,1,0,0
2.694554377,0,1,1,1,1,0
2.070728558,1,1,1,1,1,1
