Aggregate,Internship,GRE,GermanLevel,DegreeCompleted,Winter,Admission
2.738217859,0,0,0,0,0,0
2.568471537,0,0,0,0,0,0
2.647513066,1,1,1,1,0,1
2.6324312,0,0,0,0,1,0
2.638625453,0,0,0,0,0,0
2.449804003,0,1,0,0,1,0
2.294468105,0,1,2,0,1,0
3.429122141,0,0,2,0,1,0
2.284216173,0,0,0,0,0,0
2.096549047,1,0,1,1,0,1
2.223609476,0,1,2,1,1,1
2.008683654,1,1,2,1,0,1
1.651639336,1,0,2,1,0,1
3.070095941,1,0,2,0,0,0
2.138940741,0,1,0,1,0,1
2.416350078,1,0,2,1,0,1
2.575311717,0,0,0,0,0,0
2.604248454,0,1,0,0,0,0
2.396614696,0,1,1,1,0,1
1.818966909,0,1,2,0,0,1
2.380215736,0,0,0,1,0,0
3.512009395,1,1,1,1,0,0
2.418995574,1,1,1,1,0,1
2.316416665,1,1,1,1,0,1
2.418393204,0,0,1,1,1,0
2.527034113,0,0,0,0,1,0
2.491143801,0,0,0,0,0,0
1.608789555,0,1,2,0,1,1
2.074338141,1,0,2,0,1,1
2.772527777,1,1,1,1,0,1
2.274761925,1,1,2,1,1,1
1.16298532,0,1,1,1,1,1
1.880404107,1,1,0,1,0,1
1.762211838,1,0,2,1,0,1
3.954537622,1,1,0,0,0,0
1.394960254,0,0,0,1,0,1
2.315587802,0,0,0,0,1,0
2.060666339,0,1,0,0,1,0
2.456338644,1,1,2,1,1,1
2.777884558,1,0,2,0,1,0
1.993817537,1,0,1,0,0,1
2.714001838,1,0,1,1,0,0
1.993798976,0,1,0,0,0,0
2.235352739,0,0,0,1,1,0
2.172687036,1,0,1,0,1,1
2.615661522,0,0,2,1,0,0
3.675171387,1,0,1,1,1,0
1.77688446,1,1,1,0,0,1
2.528651603,0,1,0,0,1,0
2.049589987,0,1,2,1,0,1
2.732055422,1,1,1,1,0,1
1.789977142,0,1,0,0,0,1
2.530923948,1,1,1,1,1,1
1.721799199,1,1,1,1,0,1
2.41934439,0,0,0,1,1,0
1.789166926,0,0,0,0,0,0
3.760111173,0,0,0,1,0,0
1.698614676,0,0,0,0,1,0
1.958142292,0,1,2,1,0,1
2.367711399,0,1,0,0,1,0
2.212825667,0,0,0,1,0,0
1.648505171,1,0,2,1,1,1
2.26183053,1,0,1,1,1,1
1.79176299,0,0,0,0,1,0
2.328517143,0,1,2,0,0,0
2.308820123,1,1,2,1,1,1
2.077853523,0,1,1,1,1,1
1.987210395,0,1,0,0,1,0
2.061877923,0,0,0,0,0,0
2.219758747,0,0,0,0,1,0
2.334644852,0,1,0,0,1,0
3.947158714,0,1,1,1,1,0
2.381214738,0,0,0,1,1,0
2.293311424,0,0,0,0,1,0
2.62468913,1,1,2,1,0,1
2.391339003,0,0,0,1,0,0
2.301173729,1,1,1,1,1,1
2.574232558,0,1,0,0,1,0
2.489629445,0,0,0,1,1,0
2.577973449,0,0,1,1,0,0
1.041550985,1,1,0,0,0,1
3.810776091,0,0,2,0,0,0
1.922151501,1,1,2,1,1,1
1.94094438,1,0,2,0,1,1
2.769783484,1,1,1,0,0,0
2.757601488,1,1,0,0,0,0
2.429674027,0,0,0,0,0,0
2.536007796,0,1,0,0,1,0
1.998550604,0,0,0,0,0,0
2.746071255,1,1,2,0,0,0
2.427624541,0,1,0,0,0,0
2.148844313,1,1,2,1,1,1
2.742731741,1,1,2,1,1,1
2.76230949,1,1,0,1,0,0
1.916382043,1,1,2,0,1,1
2.349564038,0,0,0,1,0,0
2.331756518,0,1,2,0,0,0
2.110006415,1,1,1,1,1,1
2.133669036,0,1,0,0,0,0
1.730072647,0,1,2,1,0,1
2.350325227,0,1,0,0,0,0
1.958317348,1,1,1,1,1,1
2.335232487,1,0,2,1,1,1
1.961979107,0,1,0,0,1,0
2.725094754,1,0,0,0,0,0
2.662928017,0,1,0,0,0,0
3.561817995,1,0,0,0,1,0
2.116822375,1,1,1,1,1,1
2.797003495,1,1,1,1,0,1
2.144572537,1,1,0,1,0,1
2.317349779,0,1,1,1,0,1
2.205317207,0,1,1,1,0,1
1.544108308,1,1,1,1,1,1
2.372964189,0,1,0,0,0,0
2.423936895,1,1,0,1,1,1
2.248578255,1,1,1,1,1,1
2.002820465,0,1,2,1,1,1
2.422213639,1,0,2,1,0,1
1.673909872,0,1,2,1,0,1
2.516329882,0,0,0,0,0,0
2.325312065,0,1,1,1,0,1
2.308431738,0,0,0,0,1,0
1.498985877,0,0,1,0,0,1
2.533625009,0,0,0,0,1,0
2.453037525,1,1,2,1,1,1
2.339814266,0,1,1,1,1,1
2.318445327,1,1,2,1,1,1
2.557597535,0,0,0,0,0,0
2.778844223,0,0,2,0,0,0
1.84166608,1,1,0,1,1,1
2.751636861,1,0,2,0,1,0
2.464649035,0,0,2,0,0,0
2.334727839,0,0,0,0,1,0
1.93832848,0,1,2,1,1,1
2.269197909,0,0,0,0,1,0
2.319206815,1,1,2,1,1,1
1.530078307,1,1,1,0,0,1
1.722471364,0,1,1,1,0,1
2.734824888,0,0,1,1,1,0
3.558623951,0,0,2,0,1,0
3.019166655,1,1,0,1,1,0
2.248861599,0,0,1,0,0,0
2.061753315,1,1,0,1,1,1
2.365431316,0,0,0,0,0,0
2.729567118,1,1,1,1,1,1
2.67867156,0,0,0,0,0,0
3.140830231,0,1,0,0,0,0
2.216464246,1,1,2,1,1,1
2.626571569,0,0,2,0,0,0
1.963385025,0,0,0,0,0,0
2.660853047,1,1,1,1,1,1
2.605850563,0,1,0,0,1,0
1.446910577,0,0,2,1,1,1
2.701987368,1,1,2,1,0,1
2.098423874,0,1,2,1,0,1
2.469936912,0,0,0,1,1,0
1.943277959,1,1,2,1,1,1
2.571333021,0,0,0,0,1,0
1.620704124,0,0,0,1,0,1
2.211914664,0,0,0,1,1,0
1.696150954,0,0,2,1,1,1
2.242272489,0,1,1,1,1,1
1.858771621,0,0,2,1,0,1
1.238397239,1,0,2,0,0,1
2.328569264,1,0,2,1,1,1
2.41294354,0,1,0,0,0,0
3.161574419,0,0,2,0,1,0
1.771636799,1,0,2,1,0,1
3.616244043,0,1,1,1,0,0
2.233117632,0,0,0,1,0,0
3.292915127,1,1,2,1,0,0
2.113112936,1,1,2,1,0,1
2.522281112,1,1,0,1,0,1
2.338433109,0,0,0,1,1,0
3.815022839,0,1,1,1,0,0
1.613404242,1,0,2,1,1,1
2.735485461,0,0,1,0,0,0
2.534379799,0,0,0,0,1,0
2.058114399,1,1,1,1,1,1
1.725661769,0,0,1,1,1,1
1.56418528,0,0,0,0,1,0
2.739403284,1,1,1,1,0,1
2.526669977,0,0,0,0,1,0
2.250893023,1,1,1,1,0,1
2.213975576,1,0,1,1,0,1
2.013697264,1,0,1,1,1,1
2.718157251,0,0,1,1,0,0
1.676757162,1,1,1,1,0,1
2.524139757,0,1,0,0,0,0
2.354863875,0,0,0,0,0,0
2.039659741,1,1,2,1,1,1
2.342889175,1,1,2,1,0,1
2.245276033,0,0,0,0,0,0
2.174866245,1,0,2,1,1,1
2.303789783,1,0,1,1,0,1
2.195853961,1,1,2,1,0,1
2.32266649,1,1,2,1,0,1
2.854812859,1,1,1,0,1,0
2.184203768,1,1,1,1,0,1
2.732530238,1,1,1,1,0,1
2.217279816,0,0,1,0,0,0
2.084793045,1,0,2,1,1,1
2.342256972,0,0,0,0,1,0
3.7985948,0,0,0,0,0,0
2.653005144,1,1,2,1,1,1
2.525919552,0,1,0,0,0,0
2.707034174,1,1,2,1,0,1
2.255105983,0,0,0,0,0,0
2.167481726,1,1,2,0,0,1
1.488353694,0,0,2,1,1,1
1.290189995,1,1,1,1,0,1
2.62888628,0,0,0,1,1,0
2.397755168,0,0,0,0,0,0
2.405783541,1,0,2,1,0,1
2.255221681,0,0,0,0,0,0
3.033542752,1,1,1,0,0,0
3.525845881,0,0,2,1,1,0
2.614229639,0,0,0,0,1,0
2.785548225,1,1,2,1,0,0
2.588999423,0,0,0,0,1,0
1.69944556,1,1,1,1,1,1
2.039970492,1,1,2,1,1,1
1.509330801,1,0,2,1,0,1
1.893099663,1,1,0,1,0,1
1.517691877,1,1,2,1,1,1
3.722734943,1,0,2,0,0,0
2.229726865,1,1,1,1,1,1
2.095498305,1,0,1,1,0,1
1.94359337,0,0,0,0,0,0
3.488151848,0,1,1,0,0,0
2.704329966,1,1,1,1,0,1
2.638232543,1,1,2,1,0,1
2.742876314,1,1,1,1,0,1
2.918236682,1,1,0,1,0,0
3.975570307,0,1,0,1,1,0
2.186004297,1,1,1,1,0,1
2.284911189,0,0,2,0,1,0
3.771064222,0,1,0,1,1,0
2.408959613,0,0,1,0,0,0
2.098635794,1,1,0,1,1,1
2.581785061,0,1,0,0,0,0
2.065687374,0,0,0,0,1,0
2.529808401,0,0,0,0,0,0
3.35489173,0,0,2,1,1,0
2.047015344,0,0,0,0,0,0
2.294351222,1,0,2,1,0,1
2.394146782,0,1,1,0,1,0
3.405822885,0,0,2,1,0,0
1.239999329,0,1,1,1,1,1
2.014768387,0,1,1,1,1,1
2.255334233,0,0,0,1,1,0
2.75211348,1,0,2,0,1,0
2.776779271,1,1,1,1,0,1
3.68566845,1,0,0,1,0,0
2.573180959,0,0,0,0,1,0
2.04967306,1,1,2,1,0,1
2.282140008,0,0,0,1,0,0
1.576464304,1,1,0,0,1,1
1.752463774,1,1,2,0,0,1
2.366218835,1,1,1,1,1,1
2.09331484,0,1,2,1,1,1
2.203926045,1,0,2,1,1,1
2.555927152,0,0,0,0,0,0
1.91801814,1,0,2,1,1,1
2.080700571,1,0,1,0,1,1
2.508786327,0,0,0,0,1,0
2.302044771,0,0,0,0,1,0
1.736853107,1,0,0,1,0,1
2.162173084,1,1,1,1,1,1
1.989613039,1,0,1,0,0,1
2.527552903,0,0,2,0,1,0
1.867560749,1,0,2,0,0,1
2.350432484,0,0,0,1,1,0
2.728482431,0,1,0,1,0,0
2.36519,0,0,0,1,0,0
3.939136877,0,1,1,0,0,0
2.579378759,1,0,2,1,0,1
2.011306857,1,1,0,1,0,1
2.653357429,1,0,1,1,1,1
2.205968476,0,1,2,1,1,1
2.043405672,0,1,1,1,0,1
2.172351398,0,0,0,0,1,0
2.605139549,0,0,0,0,0,0
2.433260666,0,0,0,0,1,0
1.549226684,0,0,1,1,0,1
2.234177415,1,0,2,1,1,1
1.758684748,1,1,1,0,0,1
1.620668788,0,0,2,1,0,1
2.729456801,0,0,0,1,1,0
2.288345491,0,0,0,0,0,0
1.520719699,0,0,0,0,1,0
3.701354821,0,1,1,1,1,0
2.785079163,1,0,1,0,0,0
2.320886514,0,0,0,1,0,0
2.563818078,1,1,2,1,0,1
2.516403249,0,1,0,0,1,0
2.989266581,0,0,0,1,1,0
1.973237808,0,1,1,1,0,1
2.962740692,0,0,2,1,1,0
1.724224127,0,1,1,0,1,1
1.501549975,1,1,1,1,0,1
1.726687119,1,1,0,0,0,1
2.116133199,0,1,0,1,1,1
1.51036572,1,1,2,1,0,1
2.654032034,0,1,0,0,1,0
2.239669011,0,1,1,1,1,1
1.516608506,1,0,2,1,1,1
1.917202929,1,1,2,1,0,1
2.208814661,0,0,0,1,0,0
1.527410972,1,0,1,0,0,1
1.790838171,0,1,1,1,1,1
2.332183147,0,0,2,0,1,0
2.611128931,1,0,1,1,0,1
1.553121838,1,1,2,1,1,1
2.755928642,1,1,2,1,1,1
2.827697393,0,0,2,1,0,0
2.792556717,1,1,2,1,0,1
2.094589505,0,1,0,0,0,0
2.71731116,1,1,1,1,0,1
2.004036618,1,1,2,1,1,1
2.749962087,1,1,1,1,0,1
2.708256625,0,0,1,0,1,0
2.976474928,1,1,2,0,1,0
2.235230822,1,1,1,1,0,1
2.757868432,1,1,2,1,1,1
3.396745405,1,1,2,1,1,0
2.369538342,0,1,2,1,1,1
2.989971594,1,1,1,1,0,0
1.223302831,0,0,1,1,1,1
1.221874594,1,1,0,1,0,1
3.340285699,0,1,1,0,1,0
2.183788192,0,0,0,0,1,0
1.607376171,0,1,1,1,1,1
3.960119353,1,1,0,0,1,0
2.481941026,0,1,0,0,1,0
1.302651101,0,1,1,1,0,1
3.551894552,0,0,2,1,1,0
1.628644317,0,1,1,1,0,1
1.874533495,1,1,2,1,1,1
2.038400285,1,1,2,1,0,1
1.788971123,1,1,0,1,0,1
2.51840416,0,0,0,0,0,0
1.85265707,1,1,0,1,0,1
2.35724892,0,1,0,0,1,0
2.270928201,1,1,2,1,1,1
2.324614625,0,1,2,1,1,1
2.043385882,1,1,2,0,1,1
1.934923822,1,0,1,0,1,1
3.007100026,0,1,2,0,0,0
1.66636245,1,1,0,1,0,1
2.48247542,0,1,0,0,0,0
1.134860625,0,1,0,0,1,1
1.974299287,0,1,2,1,0,1
2.769447645,1,0,1,1,1,0
2.393164837,1,0,2,1,0,1
2.732724205,0,1,0,0,0,0
2.111610218,0,1,0,0,0,0
2.456659206,1,1,1,1,0,1
1.9820974,1,0,2,1,1,1
1.876799963,1,1,2,1,1,1
1.506900139,0,1,2,1,1,1
2.566602262,0,0,2,0,1,0
1.985189355,0,0,0,0,0,0
2.502719081,0,0,0,0,0,0
1.282442104,1,0,2,0,0,1
1.963586587,1,1,2,1,0,1
2.342781001,0,1,1,0,0,0
2.261803084,1,1,1,1,1,1
2.476993872,0,1,0,0,1,0
2.205783573,0,1,2,0,1,0
2.468698702,1,0,2,1,1,1
3.065078162,1,0,2,1,0,0
3.164171036,0,0,0,1,1,0
1.762370026,1,1,1,1,0,1
2.719732843,1,0,0,1,0,0
2.697312478,0,0,0,0,0,0
1.796459587,0,0,0,0,1,0
1.160156144,1,0,2,1,0,1
1.58225783,1,1,0,1,0,1
2.734071031,1,0,1,0,0,0
2.384864059,1,0,2,1,0,1
2.277587602,1,0,1,1,0,1
1.975736099,0,1,0,0,1,0
2.739833224,1,1,1,1,0,1
2.202306012,1,1,2,1,0,1
1.837182629,1,1,1,1,1,1
2.634137691,1,1,1,1,1,1
2.705109489,1,0,0,0,1,0
2.023169545,0,0,0,0,1,0
2.433943962,0,0,0,0,1,0
2.584161651,0,0,0,0,0,0
2.147803826,1,1,1,0,1,1
2.478003417,1,1,0,1,1,1
2.003265489,1,0,2,1,0,1
1.670307887,1,1,1,1,1,1
2.266422146,0,0,2,0,0,0
2.728552841,1,1,1,1,1,1
2.492859876,0,0,0,0,0,0
2.315292755,1,0,1,1,1,1
1.682601324,1,1,2,0,1,1
2.357664708,1,1,2,1,1,1
2.589276633,0,0,0,0,1,0
2.843117158,0,0,2,1,1,0
1.729812763,0,0,2,1,1,1
2.429549211,1,1,2,1,1,1
1.440903259,0,1,2,1,0,1
2.589498747,0,0,0,0,0,0
2.700775529,1,1,1,1,1,1
1.278688962,0,1,0,0,0,1
1.678227107,1,1,0,0,1,1
1.914360795,1,0,1,1,0,1
2.784347147,1,1,0,0,1,0
2.194197007,0,0,0,0,1,0
1.784055036,1,0,0,1,1,1
1.83711875,1,1,1,1,1,1
1.007790808,1,0,1,0,1,1
2.079425186,1,0,1,0,0,1
2.488207421,0,0,0,0,1,0
2.724797333,0,0,2,1,0,0
1.595595775,1,1,0,1,0,1
2.599703227,0,0,0,0,0,0
1.707803423,1,1,2,1,1,1
2.599960963,1,0,1,1,1,1
2.696508872,1,1,0,1,0,1
2.73028424,1,1,1,1,0,1
1.610194277,1,1,0,1,0,1
2.579206403,0,1,0,0,0,0
2.465090111,0,1,0,0,0,0
2.585849305,0,0,0,1,1,0
2.123639338,0,0,0,0,1,0
3.012970888,0,1,0,0,1,0
2.384482028,0,0,1,0,1,0
2.160173922,1,1,1,1,0,1
2.243091804,0,1,2,1,0,1
2.597253621,0,1,0,0,1,0
2.396705651,0,1,1,1,1,1
3.008591922,1,0,2,1,0,0
2.26440866,0,1,0,0,0,0
1.861154184,1,1,0,0,1,1
2.383253074,1,1,2,1,1,1
2.280304228,1,1,1,1,0,1
3.583099047,1,1,2,1,0,0
2.534528812,1,1,1,1,1,1
3.191548098,1,0,1,1,1,0
1.82316105,1,1,1,1,1,1
2.313533615,1,0,2,1,0,1
2.772466517,1,1,2,1,1,1
2.374444348,1,1,2,1,1,1
2.544370056,0,0,0,0,1,0
2.29600779,1,1,1,1,1,1
2.78211388,1,0,1,1,1,0
2.749572253,0,1,0,0,1,0
2.394607499,1,1,1,1,1,1
1.737912515,1,1,2,1,1,1
3.466630771,0,1,1,0,0,0
2.752334393,1,1,2,1,1,1
1.947040963,0,1,0,0,1,0
2.729235485,1,1,1,1,0,1
2.103034298,1,0,2,1,0,1
2.399979964,1,1,1,1,1,1
2.925372426,1,1,1,1,1,0
2.675701045,0,0,0,0,1,0
2.623930159,0,0,1,1,1,0
2.727427029,0,1,2,1,1,0
1.776538482,1,1,0,0,0,1
1.795345647,0,1,1,1,0,1
2.084257829,1,0,1,1,1,1
2.527777158,1,1,1,1,0,1
2.614533056,0,0,0,0,0,0
2.238719399,1,0,1,1,1,1
2.529705432,0,1,0,0,1,0
1.737631227,1,1,1,0,1,1
2.56391459,0,0,0,0,1,0
2.74311172,0,0,0,0,1,0
2.651416184,0,0,0,0,1,0
2.595390446,0,0,2,0,1,0
2.343111486,1,1,1,1,0,1
1.598006391,0,0,1,1,0,1
2.254659548,0,0,1,0,1,0
2.79494929,1,1,2,1,1,1
1.653974351,1,1,2,0,0,1
2.721551735,1,1,1,1,0,1
2.740962459,1,1,2,1,1,1
1.523422546,0,0,2,1,1,1
2.27103395,0,1,1,1,1,1
2.650597268,0,0,0,0,0,0
1.14888446,1,0,2,1,0,1
2.303344703,0,1,1,1,1,1
1.544627086,0,1,1,1,0,1
2.368893057,1,1,1,1,1,1
1.951631113,0,0,0,0,0,0
2.323271437,0,0,0,1,1,0
1.671387831,1,1,1,1,1,1
2.782726198,1,1,1,1,1,1
2.361108855,1,1,2,1,1,1
1.948061092,0,1,0,0,1,0
2.465657332,1,1,2,1,0,1
2.509287991,1,1,0,1,1,1
3.919169101,1,0,2,1,1,0
2.182132936,1,0,1,0,0,1
2.092469452,0,1,0,0,1,0
2.1033228,0,0,0,0,0,0
2.30738219,0,0,0,0,0,0
2.524956421,0,1,0,0,1,0
2.39197635,0,1,0,0,0,0
3.712324329,0,0,1,1,0,0
2.119909635,0,1,0,0,0,0
2.339525579,0,1,1,1,1,1
2.256613506,1,1,2,1,1,1
2.030668402,0,0,0,0,1,0
2.313067675,0,0,0,1,0,0
2.041545512,0,1,0,1,1,1
2.939446703,1,0,0,1,1,0
1.33147931,1,1,2,1,1,1
2.487339145,0,0,0,0,1,0
1.483081909,1,1,1,1,0,1
3.51285721,1,0,0,0,1,0
2.600728689,0,0,0,1,0,0
2.762063361,1,1,0,0,0,0
2.274187766,0,1,1,1,1,1
2.738093162,1,1,0,1,0,0
2.999445458,0,0,2,1,1,0
3.934004956,1,0,1,0,1,0
3.298896146,1,0,1,0,0,0
1.240777203,0,0,0,1,1,1
2.399956135,0,0,0,0,0,0
3.759530933,1,0,1,0,1,0
3.935933054,1,1,1,1,0,0
2.325265458,0,1,1,0,1,0
1.917262922,1,1,1,0,0,1
1.772748569,1,1,0,0,0,1
2.526133115,1,1,2,1,0,1
2.747023518,1,1,1,0,1,0
2.233427846,0,0,0,1,0,0
3.845552428,0,0,2,0,0,0
1.582776212,1,1,0,1,0,1
2.072670276,1,0,1,0,0,1
2.814158218,0,0,0,1,0,0
1.533538247,1,1,1,0,0,1
2.040347112,1,1,0,1,1,1
1.514633655,1,0,1,0,0,1
1.820459253,1,1,1,0,1,1
2.326743643,0,1,1,0,1,0
1.567800027,1,1,2,1,1,1
1.759248952,1,1,2,1,1,1
2.309732441,1,1,1,1,0,1
1.9817559,1,0,1,1,0,1
2.54327213,0,0,0,1,0,0
2.772035147,1,0,0,0,0,0
2.265544526,0,1,2,1,1,1
2.408792267,0,1,0,0,1,0
2.51408755,0,0,0,0,0,0
2.399664069,1,1,1,1,1,1
3.766034404,1,1,1,1,0,0
1.573769042,0,0,0,0,1,0
1.857152414,0,1,1,1,1,1
1.763057772,1,1,2,1,1,1
2.604929807,0,0,0,0,1,0
1.890363711,1,1,1,1,0,1
2.321173754,0,0,0,0,0,0
2.203324016,1,0,2,1,0,1
2.284574194,0,0,0,1,1,0
2.127813666,1,0,2,1,0,1
2.765786204,1,0,2,1,1,0
1.215125765,0,0,2,1,0,1
1.80515988,0,0,0,0,0,0
2.436147382,1,1,1,1,1,1
2.031067892,0,0,0,0,1,0
2.143936039,1,0,1,0,0,1
2.924124605,1,0,0,1,1,0
1.849520656,0,1,2,1,0,1
3.333184876,0,0,0,0,1,0
3.250865459,1,1,0,1,1,0
2.634496371,1,1,1,1,0,1
1.889015461,0,0,1,1,0,1
2.358282695,0,0,0,1,1,0
1.681135628,0,0,0,0,0,0
2.58856463,1,0,2,1,1,1
2.430285424,1,1,2,1,1,1
2.122334916,1,0,1,1,1,1
2.775272608,1,1,1,1,0,1
2.19057152,0,0,0,0,1,0
2.22483639,1,1,2,1,1,1
2.755614453,1,0,2,0,0,0
1.884918717,0,1,0,1,0,1
2.519934691,0,0,0,0,1,0
2.76301914,1,1,0,1,1,0
1.334711276,0,0,2,0,1,1
2.021873217,1,0,1,0,1,1
2.727532717,1,1,2,1,0,0
2.55422619,0,0,0,0,1,0
2.656207656,0,0,0,0,0,0
3.252314003,0,0,1,0,1,0
3.75557891,0,0,1,1,0,0
2.792727052,0,0,0,1,0,0
1.318579185,0,1,1,1,0,1
1.830835113,0,0,0,0,0,0
2.406498477,1,1,2,1,0,1
3.930568272,0,1,1,0,0,0
2.602903227,0,0,0,0,0,0
2.504658435,0,1,0,0,1,0
3.882664549,1,1,2,0,1,0
1.483832834,1,1,0,0,0,1
1.958762086,0,0,0,0,0,0
2.625093947,0,0,2,1,1,0
2.765456333,1,0,0,0,1,0
2.258390809,0,0,0,1,1,0
1.84708132,1,0,1,1,0,1
1.533835707,1,1,1,1,0,1
3.284776377,1,1,0,1,0,0
1.93750421,1,1,0,1,1,1
2.342673688,0,1,1,1,1,1
2.337407753,0,0,0,1,0,0
1.5187276,0,0,0,0,1,0
2.233646849,0,1,2,1,0,1
3.642537214,1,0,1,1,0,0
2.589620741,0,0,0,0,1,0
2.341803835,0,0,0,1,0,0
2.70466674,1,1,1,1,0,1
2.617598786,0,1,0,0,1,0
1.910262149,0,0,0,0,0,0
1.504285189,0,1,1,1,0,1
3.887236099,0,1,2,1,0,0
2.307699209,1,1,2,1,0,1
1.814711615,0,1,1,1,0,1
2.575805343,0,0,2,1,1,0
1.539359587,0,0,0,0,1,0
2.21585246,1,1,1,1,0,1
2.331363836,0,1,1,0,0,0
2.390531426,1,1,1,1,1,1
2.231780927,0,0,0,1,0,0
2.258772451,0,1,1,1,0,1
1.940878841,0,0,0,0,1,0
2.663340496,1,1,1,1,0,1
2.24205885,1,1,2,1,0,1
2.246801018,0,1,2,1,0,1
1.926151807,0,0,0,0,1,0
2.15335959,1,1,1,1,0,1
2.752305459,1,1,1,1,0,1
1.788991418,0,0,1,1,1,1
2.403808574,0,0,0,0,1,0
2.905096758,1,1,0,1,0,0
1.961757292,0,1,0,0,0,0
2.265619727,1,0,2,1,1,1
1.794254858,0,0,2,1,0,1
1.875008164,0,0,2,1,1,1
2.380882181,1,1,1,1,1,1
2.121780835,1,0,2,1,1,1
1.186499324,1,0,0,0,0,1
2.377864454,1,1,2,1,1,1
2.183909525,0,1,0,0,0,0
2.376060012,0,1,0,0,0,0
2.127248436,0,0,0,0,1,0
2.789421557,1,1,1,1,0,1
2.317150359,0,0,0,0,0,0
1.13787866,1,0,0,0,0,1
2.662812519,0,1,0,0,1,0
2.158911826,0,1,2,1,1,1
1.848997989,0,0,0,0,1,0
1.594207187,0,0,0,0,1,0
2.294076016,0,0,0,0,1,0
2.252956719,1,1,2,1,0,1
2.240171804,1,1,2,1,1,1
2.022044256,1,1,1,1,1,1
1.770580987,0,1,2,1,1,1
1.502309434,0,0,0,0,0,0
2.632580378,0,1,0,0,1,0
2.435835385,0,0,0,0,1,0
2.293369737,0,1,0,0,1,0
2.544888943,1,0,2,1,1,1
2.70727491,0,1,1,0,1,0
2.773650795,1,1,1,1,1,1
2.611372731,0,0,1,1,0,0
2.363811116,0,1,2,1,1,1
2.787832692,1,1,1,0,1,0
2.383042581,0,0,0,0,0,0
2.363321378,1,1,2,1,1,1
2.642304648,0,0,1,0,1,0
2.324602046,0,1,2,0,0,0
1.98439721,0,0,0,0,1,0
2.290421508,1,1,2,1,1,1
1.90708729,0,1,2,1,1,1
2.069076743,0,0,0,0,0,0
1.710087868,0,0,0,1,0,1
2.400879896,0,0,0,0,0,0
1.854429627,1,1,1,1,0,1
2.642782987,0,0,0,0,1,0
2.267808733,1,1,2,1,1,1
2.059880898,1,0,1,0,0,1
3.042622088,0,0,1,0,1,0
2.496690116,0,0,1,1,1,0
