Aggregate,WorkExpLess1Year,WorkExpMore1Year,GermanLevel,Private,GRE,Admission
1.759343809,0,0,2,1,1,1
1.317927438,0,1,0,1,0,1
1.914083762,0,0,2,0,0,0
2.196735054,1,0,1,0,1,1
1.453639558,1,1,2,1,0,1
1.976925309,0,1,1,1,0,1
1.967528408,1,0,1,1,1,1
1.849517669,0,0,0,0,1,0
1.867424659,1,0,2,1,1,1
1.642033788,0,0,1,1,1,1
1.726536195,1,0,1,0,1,1
1.533481647,0,1,1,1,0,1
1.344865768,0,1,2,0,1,1
1.855813596,0,0,0,0,0,0
1.858108219,0,1,1,0,1,1
1.695377497,0,0,0,0,0,0
1.835043615,0,0,0,0,0,0
1.943853062,0,1,1,1,1,1
1.275116253,1,1,1,1,1,1
2.00021058,1,0,2,0,1,1
2.134598166,0,1,2,0,1,1
2.226820748,0,1,2,1,1,1
1.870644741,0,0,0,0,0,0
1.86485244,0,0,0,0,0,0
1.910561583,0,0,0,0,0,0
1.69496766,0,1,1,0,1,1
1.981245307,1,0,0,1,1,1
1.816945784,0,0,1,0,1,0
2.256969959,1,0,2,0,1,1
2.138673423,1,0,1,0,1,1
1.239922445,0,0,2,0,0,1
2.173259113,1,0,1,0,1,1
1.670335736,0,0,1,0,1,1
1.813490154,1,0,2,1,1,1
1.670794735,0,1,1,0,1,1
1.948727462,0,1,2,0,1,1
1.029999268,0,0,0,1,0,1
1.605814681,1,0,2,1,1,1
1.503704341,0,0,0,0,0,0
2.1938344,1,0,1,1,1,1
1.410076382,0,0,0,0,0,1
2.108327708,1,0,1,1,1,1
1.779638658,0,0,0,0,0,0
1.507067829,0,0,0,0,0,0
1.859601092,1,0,2,1,1,1
1.872667908,0,1,1,1,0,1
1.552600182,0,0,0,0,0,0
2.00547004,1,0,1,0,1,1
1.595319352,1,0,1,1,1,1
1.846471499,1,0,2,0,1,1
1.824594187,1,0,1,1,1,1
1.655256198,0,0,1,0,1,1
1.799529401,0,0,2,0,1,1
1.511351106,1,1,1,0,1,1
2.109848088,0,1,1,1,1,1
1.663322241,0,0,0,0,0,0
1.864522521,0,0,1,0,0,0
1.895789633,1,0,1,0,1,1
1.727835763,0,1,1,0,1,1
1.957201404,0,1,2,1,0,1
1.91806724,1,0,2,1,1,1
1.925868633,1,0,2,0,1,1
1.737313506,0,0,0,0,0,0
1.329358381,0,0,0,1,1,1
1.800324364,0,0,1,0,0,0
2.144432701,1,0,1,0,1,1
1.021133622,1,1,1,0,0,1
1.854883958,0,1,1,1,0,1
1.904164741,0,0,1,0,0,0
1.989183466,0,0,1,0,0,0
1.949592476,0,1,1,1,1,1
1.147105511,1,0,0,1,1,1
1.798223493,1,0,2,1,1,1
1.857496279,0,1,0,1,1,1
1.534469803,0,0,0,0,0,0
1.780334633,1,0,2,0,1,1
1.842911331,0,1,1,0,0,1
1.637862412,1,0,1,0,1,1
2.032132631,1,0,1,0,1,1
1.864900706,0,1,2,1,1,1
1.852027261,0,0,0,0,0,0
1.887592409,0,0,0,0,0,0
1.75951298,1,0,1,1,1,1
1.801279024,0,0,0,0,0,0
2.289272548,1,0,1,0,1,1
2.134441386,0,1,1,1,1,1
1.736916163,0,1,2,0,0,1
1.684074196,0,1,2,1,1,1
2.246895357,0,1,0,1,1,1
1.985952778,0,0,2,0,0,0
1.918703092,0,1,1,1,1,1
2.200842554,0,1,0,1,1,1
2.297109584,1,0,1,0,1,1
2.057042036,1,0,1,0,1,1
1.85920507,1,0,2,1,0,1
1.501757365,0,0,0,0,0,0
2.080456238,0,1,1,1,1,1
1.991908766,0,1,1,1,1,1
1.845288044,0,1,2,1,0,1
1.655140968,1,1,2,1,1,1
1.07922968,1,0,2,0,1,1
1.896228707,0,0,0,0,0,0
1.291553918,0,1,2,0,1,1
1.751554111,0,0,0,0,0,0
1.534034542,0,0,0,0,0,0
1.86862574,1,0,2,1,1,1
1.498245396,0,0,1,1,1,1
1.519325298,0,0,0,0,0,0
1.527654834,0,0,0,0,0,0
1.998434423,0,0,0,0,0,0
1.968694267,0,1,1,0,0,1
2.242439785,1,0,2,0,1,1
2.123623099,0,1,1,1,1,1
1.726511164,1,0,1,1,1,1
1.953793345,0,1,1,1,1,1
1.723314543,1,1,2,0,1,1
1.934098961,0,0,0,0,0,0
1.571726749,0,1,1,0,1,1
2.295522909,1,0,2,0,1,1
1.582106471,0,1,1,1,1,1
2.061032072,0,1,2,0,1,1
1.091331279,1,0,1,1,0,1
1.219244566,0,1,0,1,1,1
1.8201315,1,0,0,1,1,1
1.544161526,0,1,2,1,1,1
1.554805334,0,1,1,1,0,1
1.431818881,1,1,1,1,1,1
1.598369507,1,0,2,0,1,1
1.702104371,1,0,1,1,1,1
2.071894098,1,0,2,1,1,1
2.021628395,1,0,1,0,1,1
1.066557878,1,0,1,1,1,1
2.114354035,1,0,2,1,1,1
1.364484398,0,1,0,0,0,1
1.670388307,1,0,2,1,1,1
2.065694774,0,1,1,1,1,1
1.069992069,0,1,1,1,0,1
1.846595897,1,0,1,0,1,1
1.944901958,1,0,2,1,1,1
1.501114774,0,0,2,1,1,1
1.774646296,0,1,2,0,1,1
1.69476231,0,1,1,0,0,1
1.154549833,1,1,2,0,1,1
1.786456213,0,0,0,0,0,0
1.56650044,0,0,0,0,0,0
1.825669537,1,0,2,1,1,1
1.530415937,0,0,2,1,1,1
2.167865363,0,1,1,1,1,1
1.768128162,0,1,1,1,1,1
2.206767415,1,0,1,0,1,1
1.714234364,0,1,1,0,0,1
1.834355323,0,1,2,1,0,1
1.962278271,0,0,2,0,0,0
1.404137882,0,0,1,0,1,1
1.648884122,0,1,1,0,1,1
1.614037592,1,0,1,0,1,1
1.515618244,0,0,0,0,0,0
1.766251851,0,1,1,0,0,1
1.287608277,1,1,0,1,1,1
1.679855546,0,0,0,0,0,0
2.212923682,0,1,1,0,1,1
1.580273679,1,0,2,1,1,1
2.203146047,1,0,1,0,1,1
1.591767271,0,1,2,1,1,1
1.582357721,0,1,2,1,0,1
1.874327698,0,1,1,1,0,1
1.871014751,0,1,2,1,0,1
1.941006764,0,0,0,0,0,0
1.807304778,0,0,1,0,0,0
1.928133229,0,1,2,1,1,1
1.929636211,0,1,0,1,0,1
1.696524584,0,0,0,0,0,0
2.135322988,1,0,2,1,1,1
2.045782781,1,0,1,0,1,1
1.999812885,1,0,0,1,1,1
2.104010976,1,0,2,1,1,1
1.73458232,0,0,1,0,1,1
1.561566717,1,0,0,0,1,1
1.638793756,0,1,1,1,1,1
1.917174117,1,0,2,1,1,1
1.312736068,1,1,0,0,1,1
1.705950949,0,1,2,1,1,1
1.971051414,1,0,1,0,1,1
2.156349481,1,0,2,1,1,1
1.533326928,0,0,0,0,0,0
1.951360254,0,1,1,0,1,1
1.653809859,0,0,2,0,1,1
1.593263941,0,0,0,0,0,0
1.934397359,0,0,0,0,0,0
1.566937315,0,0,0,0,0,0
1.725869643,0,0,2,0,1,1
1.906953386,1,0,2,1,0,1
1.856982437,0,0,0,0,1,0
2.29965795,1,0,2,0,1,1
1.994354633,1,0,2,1,0,1
1.824216729,1,0,1,0,1,1
1.79669895,0,0,0,0,0,0
1.563322934,1,0,0,1,1,1
1.662057973,0,0,0,0,0,0
1.836334541,1,0,1,1,1,1
1.59329081,0,0,0,0,0,0
1.968553258,1,0,2,0,1,1
1.86308358,0,1,2,0,0,1
1.885225112,0,0,2,0,0,0
2.284325558,0,1,1,0,1,1
2.083649247,0,1,1,1,1,1
1.926429837,0,1,2,0,1,1
1.728195127,0,0,2,0,1,1
1.9374578,1,0,2,1,1,1
1.952462462,0,0,0,0,0,0
1.528907081,1,0,2,1,1,1
1.58042601,0,1,2,1,1,1
1.816924163,0,0,1,0,0,0
1.912263105,0,0,0,0,0,0
1.610784422,1,1,2,1,1,1
1.802515575,0,1,2,1,1,1
1.970514626,1,0,2,1,1,1
1.298630426,0,0,0,1,0,1
1.879906076,1,0,2,0,1,1
1.803147005,0,0,0,0,0,0
1.137540889,0,0,1,1,0,1
2.117466513,1,0,1,0,1,1
1.571383395,0,0,1,1,1,1
1.862138733,0,1,2,0,0,1
1.841209418,0,0,2,0,0,0
1.635138268,0,1,1,0,1,1
1.930582772,0,0,0,0,0,0
2.058885993,1,0,1,1,1,1
1.875549681,0,1,0,1,1,1
1.688067838,0,0,0,0,0,0
2.075924693,1,0,1,1,1,1
2.205687951,0,1,2,1,1,1
1.743069155,0,0,0,0,0,0
1.914612064,0,1,2,1,1,1
1.943978478,0,1,2,0,0,1
2.201513204,1,0,1,1,1,1
2.026012273,1,0,1,1,1,1
1.53879816,0,0,0,0,0,0
1.027085374,1,0,1,1,0,1
1.903446691,1,0,2,1,1,1
1.827982454,0,1,1,0,1,1
1.614704492,1,0,2,0,1,1
1.634691189,0,1,1,1,1,1
1.684982633,1,0,0,0,1,1
1.996090252,0,0,1,0,0,0
1.833898606,0,1,2,0,0,1
2.154542253,1,0,1,1,1,1
1.792583543,0,0,1,1,1,1
1.647183025,0,1,1,0,1,1
1.801351623,0,0,1,0,0,0
1.821320167,1,0,1,1,0,1
1.501410163,0,1,2,1,1,1
1.002842167,0,1,1,1,1,1
1.73214564,0,1,1,0,0,1
2.275717295,0,1,0,0,1,1
1.662294803,0,0,0,0,0,0
1.772938879,1,0,0,0,1,1
2.000768624,0,1,2,0,1,1
2.110672934,0,1,2,0,1,1
1.912189267,1,0,2,0,1,1
1.976857729,0,1,1,1,1,1
2.085317532,0,1,2,1,1,1
1.999667956,1,0,1,1,1,1
1.55744318,1,0,0,1,1,1
1.729251287,1,1,1,1,1,1
1.827357892,1,0,1,1,0,1
2.239431723,0,1,1,1,1,1
1.615901481,1,0,1,1,1,1
1.836345093,0,0,2,0,0,0
1.695318535,1,0,0,1,1,1
1.195649742,1,0,1,0,0,1
1.815838136,0,1,1,1,0,1
1.861252754,0,0,1,0,0,0
1.876179773,0,1,0,1,1,1
1.995869402,1,0,2,1,1,1
1.713717353,1,0,2,0,1,1
1.507547079,1,0,2,1,1,1
2.067594477,0,1,0,0,1,1
1.594735443,1,0,0,1,1,1
1.957640192,0,0,2,0,1,0
1.756093651,0,0,0,0,0,0
1.652920885,1,0,1,1,1,1
1.723155913,0,1,1,0,1,1
1.647709322,0,1,2,1,1,1
1.941913628,0,0,0,0,0,0
1.815089744,1,0,1,0,1,1
1.902141007,0,1,1,1,1,1
1.899916974,0,0,2,0,1,0
2.133209237,0,1,2,0,1,1
1.990061988,0,1,2,1,1,1
1.546211856,1,1,1,1,1,1
1.957249152,0,1,1,0,0,1
1.704051231,0,1,1,0,0,1
1.818515918,1,0,2,0,1,1
1.949244149,0,1,1,0,0,1
2.194338379,1,0,2,0,1,1
1.039776616,0,1,1,1,1,1
1.732474024,0,0,0,0,0,0
2.052937592,1,0,1,1,1,1
1.54395872,0,0,0,0,0,0
1.688810999,1,0,1,0,1,1
2.122104297,1,0,2,0,1,1
1.890675917,0,0,0,0,0,0
1.45004686,1,1,0,1,0,1
1.984698818,0,1,2,1,0,1
1.996625608,0,0,1,0,0,0
2.065497725,0,1,0,0,1,1
1.638544899,1,0,2,0,1,1
1.708972604,1,0,2,1,1,1
1.976903258,0,1,1,1,0,1
1.582193734,0,0,2,1,1,1
1.662325068,1,0,2,1,1,1
2.018823776,0,1,1,1,1,1
1.233618006,0,1,1,1,1,1
1.786024123,0,1,1,0,1,1
1.789582736,0,0,1,0,1,1
2.002741168,1,0,2,0,1,1
1.944399637,0,1,2,0,0,1
1.674431416,1,0,0,0,1,1
2.178305251,0,1,2,1,1,1
1.709787642,1,0,1,1,1,1
1.591672616,0,1,2,0,1,1
1.822619267,0,0,0,0,0,0
1.872997477,1,0,1,1,1,1
1.026345036,1,1,2,1,1,1
1.882434437,0,1,2,1,0,1
2.082037065,1,0,1,1,1,1
1.57898055,0,0,0,0,0,0
1.976796829,0,1,0,1,1,1
1.583510473,0,1,1,1,0,1
1.550496446,1,0,0,0,1,1
1.590961944,1,0,1,1,1,1
1.682755092,0,1,2,0,1,1
1.679006642,0,0,0,0,0,0
2.116174823,1,0,1,0,1,1
1.261490177,0,0,0,0,0,1
1.831179393,1,0,2,1,1,1
1.950110623,0,0,2,0,0,0
1.523488893,0,1,2,0,0,1
1.680473229,0,0,0,0,0,0
1.850176679,1,0,2,0,1,1
1.673188765,1,0,1,1,1,1
1.601437919,0,1,2,0,1,1
1.989120249,0,1,1,0,1,1
1.94010896,1,0,1,1,1,1
2.094845968,1,0,1,1,1,1
1.65949939,0,0,0,0,0,0
1.799798382,1,0,1,0,1,1
1.925724268,0,0,1,0,1,0
1.651364626,1,0,1,1,1,1
1.966442461,1,0,1,1,1,1
1.818132728,0,0,2,0,0,0
1.97804752,1,0,1,1,1,1
2.254613477,0,1,2,1,1,1
1.8711917,0,1,2,0,0,1
1.868295176,0,1,1,1,0,1
1.512773669,0,0,0,0,0,0
1.256801532,0,1,2,1,0,1
1.377038396,1,0,0,1,0,1
1.021421084,0,1,0,0,0,1
1.863972029,0,0,1,0,0,0
1.970464835,1,0,2,1,1,1
2.006331435,1,0,2,1,1,1
1.627223793,1,0,1,1,1,1
2.01016469,0,1,1,1,1,1
1.865324244,0,1,1,1,0,1
1.674018564,1,0,2,0,1,1
1.985797433,0,1,2,0,0,1
1.940270907,0,1,2,1,1,1
1.851560503,0,0,0,0,0,0
1.206384152,1,0,0,0,0,1
1.990712267,0,1,1,0,1,1
1.997058535,0,0,1,0,1,0
1.527397168,0,1,1,0,1,1
1.823617262,0,1,0,1,0,1
1.899299728,0,1,1,1,0,1
2.069056347,1,0,1,0,1,1
1.517549077,1,0,1,0,1,1
2.090393777,1,0,1,0,1,1
1.86542819,0,1,1,1,1,1
1.993854268,0,0,2,0,1,0
1.89504356,0,0,0,0,0,0
1.924941601,0,0,1,0,0,0
1.817014334,1,0,2,1,1,1
1.586125655,1,0,2,1,1,1
1.629093509,1,0,1,0,1,1
1.836431912,1,0,0,1,0,1
1.557420289,1,0,1,1,1,1
1.599510576,0,0,0,0,0,0
2.085509331,0,1,1,1,1,1
1.920045254,1,0,1,1,1,1
1.914768967,0,1,1,0,1,1
1.676493746,0,0,0,0,0,0
1.846088685,1,0,1,1,1,1
1.623998816,1,0,2,1,1,1
1.795807369,0,0,0,0,0,0
1.724865145,1,0,2,0,1,1
1.539266219,0,0,1,1,1,1
1.962520924,0,0,0,0,1,0
1.827196509,0,1,1,0,1,1
2.044334785,0,1,2,0,1,1
1.009686793,0,1,1,0,0,1
1.747782542,0,1,2,1,1,1
1.98594627,0,0,2,0,0,0
2.225223444,0,1,1,1,1,1
1.452374919,1,0,2,1,1,1
1.870199176,0,1,1,1,0,1
1.764816837,0,0,0,0,0,0
2.199283471,1,0,2,1,1,1
1.800129388,0,1,0,1,0,1
1.846692006,1,0,1,1,1,1
2.046633352,1,0,2,1,1,1
1.986910863,1,0,1,0,1,1
1.818533299,1,0,2,0,1,1
1.951930069,0,0,0,0,0,0
1.945784293,0,1,2,0,0,1
1.839412109,0,0,0,0,1,0
1.904593341,0,1,2,1,1,1
1.654637608,0,0,0,0,0,0
1.785516075,0,0,1,1,1,1
1.876150309,1,0,0,1,0,1
1.838069671,1,0,0,1,1,1
2.165896599,1,0,2,1,1,1
1.518637373,1,0,2,1,1,1
1.848630541,0,1,2,1,0,1
1.807827595,0,1,2,0,1,1
1.840339378,0,0,1,0,1,0
1.595241113,0,1,1,0,1,1
1.795751029,0,0,0,0,0,0
2.222483224,0,1,1,0,1,1
1.698786121,0,1,1,0,1,1
1.514159807,0,1,1,0,1,1
1.91591523,0,1,2,1,0,1
1.933278093,0,1,2,1,1,1
1.366138844,1,1,2,1,0,1
1.586103004,1,0,1,1,1,1
1.942921347,1,0,2,1,1,1
1.95384205,0,0,0,0,0,0
1.923417963,1,0,2,0,1,1
2.194566784,0,1,0,0,1,1
2.145146636,1,0,1,0,1,1
1.948522374,0,1,2,1,1,1
1.963935053,0,1,1,0,0,1
1.94649217,1,0,2,0,1,1
1.501604718,0,1,2,1,1,1
2.185282268,1,0,2,1,1,1
1.901025951,0,1,2,1,1,1
1.940398094,1,0,0,1,0,1
1.839167828,0,0,1,0,0,0
1.804604653,0,0,0,0,0,0
1.676523301,1,0,2,1,1,1
1.680162577,0,1,2,0,1,1
1.745082923,1,0,0,0,1,1
1.895437569,0,1,2,0,1,1
1.804641028,1,0,2,1,1,1
2.185454311,1,0,2,0,1,1
2.220445342,1,0,2,1,1,1
1.882365484,0,0,1,0,1,0
1.209079921,0,1,2,0,1,1
1.958155746,1,0,1,0,1,1
2.016844695,0,1,0,1,1,1
1.821894038,0,1,1,0,0,1
1.831625483,1,0,2,1,0,1
1.909973566,0,0,0,0,1,0
1.630216294,0,0,2,0,1,1
1.612008532,0,0,0,0,0,0
1.699820358,0,1,2,1,1,1
1.539648594,0,0,2,1,1,1
1.874673208,0,1,1,1,0,1
1.662851004,1,0,2,1,1,1
1.591656259,1,0,1,1,1,1
1.820949689,1,0,1,1,1,1
1.961434752,0,0,1,0,0,0
1.883457358,0,1,2,0,0,1
1.708218809,0,1,1,0,1,1
1.833057481,0,0,0,0,0,0
1.913028263,0,1,1,1,1,1
2.2274939,1,0,1,0,1,1
1.762476673,0,0,2,1,1,1
2.280835966,1,0,2,1,1,1
1.682698396,1,0,0,1,1,1
1.860468294,0,1,1,0,1,1
1.438468927,0,1,2,0,1,1
1.706102327,0,1,2,1,0,1
1.521513045,0,1,1,0,1,1
2.190479446,1,0,2,1,1,1
1.936459013,1,0,2,1,1,1
1.958659683,1,0,2,1,1,1
1.561294698,1,0,2,1,1,1
1.755959027,0,1,2,0,1,1
2.155097653,0,1,2,0,1,1
1.579388481,0,1,2,0,0,1
1.592354882,1,0,2,1,1,1
1.934841577,0,1,1,1,1,1
1.936147924,0,0,0,0,0,0
1.972769676,0,1,2,0,0,1
1.682371808,1,0,2,1,1,1
1.267469256,0,0,2,1,0,1
2.252301706,0,1,1,0,1,1
1.835335349,0,1,1,1,1,1
1.744597865,0,0,0,0,0,0
1.854652656,1,0,0,1,1,1
1.966036008,0,1,2,1,0,1
1.897930293,0,1,0,1,0,1
1.742694282,1,1,2,1,1,1
2.053913318,0,1,0,0,1,1
1.901066661,0,0,2,0,1,0
1.897455945,0,1,2,0,0,1
1.642565737,0,1,1,0,0,1
1.669836622,1,0,0,1,1,1
1.831361948,1,0,0,1,0,1
1.917769503,0,1,1,1,0,1
2.073032853,0,1,1,0,1,1
2.15301581,0,1,2,0,1,1
2.085469144,0,1,0,0,1,1
1.842235148,0,0,0,0,1,0
1.853680004,0,0,1,0,0,0
2.030815319,1,0,2,0,1,1
1.860615243,0,1,2,1,1,1
1.609703434,1,0,1,0,1,1
2.15815108,1,0,2,0,1,1
1.60603626,1,0,1,0,1,1
1.761557813,0,1,1,0,1,1
1.955279425,0,0,0,0,0,0
1.59673532,1,0,1,1,1,1
1.765541129,0,1,2,1,0,1
1.823797387,0,1,1,0,0,1
1.828052871,1,0,1,0,1,1
1.962727033,1,0,0,1,0,1
1.938534376,0,1,0,1,1,1
1.479878108,0,1,2,0,1,1
1.120825762,1,1,1,0,0,1
1.846660416,0,1,1,1,1,1
1.906126957,0,1,0,1,1,1
2.028655105,0,1,2,0,1,1
1.190174931,1,1,0,0,0,1
2.116739054,1,0,1,1,1,1
1.989265243,1,0,2,0,1,1
1.80777495,0,1,2,1,1,1
1.792630277,0,1,2,0,0,1
1.769960429,0,0,0,0,0,0
1.290474493,1,0,2,0,0,1
1.938180066,1,0,1,1,1,1
1.58011214,1,1,1,1,1,1
1.610666103,1,0,1,1,1,1
1.537295223,0,1,1,1,1,1
1.915730726,0,1,2,0,0,1
1.726170888,0,0,1,0,1,1
1.179984406,1,1,1,1,0,1
1.845489903,1,0,2,1,1,1
1.970117039,0,1,1,1,1,1
1.875314322,1,0,1,1,1,1
1.921473411,0,0,1,0,1,0
1.950517805,0,1,1,0,0,1
1.656866679,0,0,0,0,0,0
1.645363731,1,0,1,0,1,1
1.873162201,0,0,1,0,1,0
2.291494968,1,0,2,0,1,1
1.854327144,1,0,1,1,1,1
1.862026977,0,0,1,0,0,0
2.055801754,1,0,1,1,1,1
1.942354208,1,0,2,0,1,1
1.854705298,0,1,2,0,1,1
1.503802218,1,0,2,0,1,1
2.206194484,0,1,2,1,1,1
1.79718428,1,0,0,0,1,1
2.063708108,1,0,1,1,1,1
1.176897494,1,1,2,0,0,1
1.527507661,0,0,0,0,0,0
1.876846742,0,0,1,0,1,0
1.917764372,1,0,0,1,1,1
1.943554236,0,1,0,1,0,1
2.114470017,0,1,2,1,1,1
1.845358143,0,0,0,0,0,0
1.979589736,0,1,2,1,1,1
1.650158435,1,0,1,0,1,1
1.989852692,0,1,0,1,0,1
1.95081659,1,0,2,0,1,1
1.814329852,0,0,1,0,0,0
1.971345699,1,0,0,1,0,1
1.90333539,1,0,1,0,1,1
1.235901002,0,0,0,1,1,1
1.746869303,0,1,1,0,0,1
1.883282658,0,1,1,1,0,1
1.984259658,0,1,2,0,1,1
2.106388796,0,1,0,0,1,1
1.834748116,1,0,0,1,0,1
1.430499893,0,1,1,0,0,1
1.526498285,0,0,0,0,0,0
1.992745031,1,0,2,1,1,1
1.900201795,0,0,0,0,0,0
1.836601542,0,0,1,0,0,0
1.54154636,1,0,2,0,1,1
1.562358303,1,0,1,0,1,1
1.76749078,0,1,2,1,1,1
1.808941069,0,0,2,0,0,0
1.823457619,0,1,1,1,1,1
1.853478192,0,1,2,0,0,1
1.892747589,0,1,1,1,0,1
1.76938123,1,0,0,1,1,1
1.854773417,0,1,1,0,0,1
1.830090549,0,1,2,1,1,1
1.916025374,0,0,0,0,0,0
1.88614343,0,0,2,0,1,0
1.833236355,0,1,1,1,1,1
1.891446979,1,0,1,0,1,1
1.911535244,0,0,2,0,1,0
1.893146953,0,0,1,0,0,0
1.824837346,1,0,0,1,1,1
1.557252415,0,0,0,0,0,0
1.667692046,0,1,1,0,1,1
1.930351212,0,1,1,1,0,1
1.952756868,1,0,2,0,1,1
2.261669128,1,0,2,1,1,1
1.752584629,1,0,2,0,1,1
1.832190655,0,0,2,0,1,0
2.093512477,0,1,1,1,1,1
2.237569961,1,0,1,1,1,1
2.131602975,0,1,0,0,1,1
1.540059792,1,0,0,1,1,1
1.895026994,0,0,0,0,1,0
2.288730859,1,0,1,1,1,1
1.690892003,0,1,1,1,1,1
1.959118397,1,0,2,0,1,1
1.640910557,1,0,0,1,1,1
1.844748071,1,0,2,1,0,1
1.868217315,0,1,0,1,0,1
1.505088779,1,1,1,0,1,1
1.921148386,0,1,1,1,1,1
1.498344017,0,0,0,1,0,1
2.156209141,0,1,2,0,1,1
1.671858001,1,0,1,0,1,1
1.657478895,0,1,1,0,1,1
2.114353426,1,0,1,1,1,1
1.888125946,0,1,1,0,1,1
1.905297646,0,1,1,1,0,1
1.955632698,0,0,0,0,0,0
1.930193506,0,1,1,0,1,1
1.867418304,1,0,2,0,1,1
1.787793786,0,1,2,1,1,1
1.988078986,1,0,2,1,1,1
1.713116185,0,0,1,0,1,1
1.900386704,0,1,1,1,0,1
1.370768484,0,1,2,1,0,1
1.973849155,0,0,0,0,0,0
1.724093371,1,1,1,0,1,1
2.148305968,1,0,1,0,1,1
2.047217042,1,0,2,0,1,1
2.009491595,0,1,2,0,1,1
1.827855981,0,1,1,0,0,1
1.60188965,1,0,2,0,1,1
1.995629719,1,0,1,0,1,1
2.013889515,1,0,2,0,1,1
1.698137603,1,0,1,1,1,1
2.038077833,1,0,2,1,1,1
2.003117318,1,0,2,1,1,1
1.943972934,0,0,0,0,0,0
2.046841721,1,0,1,1,1,1
1.188066727,1,0,0,1,0,1
1.571340574,0,0,0,0,0,0
2.267146827,1,0,2,0,1,1
1.550631137,1,0,1,0,1,1
2.272437576,1,0,2,1,1,1
1.884382071,0,1,2,0,1,1
1.867034964,1,0,2,1,1,1
1.886207584,0,0,0,0,0,0
1.716938519,0,0,1,0,1,1
1.886094508,1,0,0,1,0,1
1.75372229,1,0,0,0,1,1
1.727184268,0,0,0,0,0,0
1.670643202,0,0,0,0,0,0
1.924354882,1,0,1,1,0,1
1.599958506,0,0,0,0,0,0
