Aggregate,Internship,DegreeComp,Winter,Germanlevel,Private,Admission
1.443837065,1,0,1,0,1,1
2.659581254,0,0,0,2,0,0
3.695260766,1,0,0,1,0,0
2.002223358,1,1,1,1,1,1
1.740530391,0,0,1,0,0,1
2.708959777,0,0,1,2,0,0
2.548182594,1,1,1,1,0,1
3.953643022,1,1,0,2,1,0
2.135889021,1,0,0,2,0,0
2.127676665,1,0,1,2,0,0
2.218536418,1,1,1,1,1,1
2.262902009,0,1,1,0,1,1
1.206307487,1,1,0,1,0,1
2.570500689,0,0,1,1,0,0
2.770720934,0,1,0,1,0,0
2.180841832,0,0,0,0,0,0
2.674904005,0,0,1,2,0,0
2.611516869,0,0,1,0,0,0
1.672586648,0,1,1,0,0,1
1.868281256,1,0,0,2,0,1
2.039530874,0,0,0,0,0,0
1.799749708,1,1,0,2,0,1
2.28661401,1,0,1,2,0,0
1.594768931,0,1,0,1,1,1
2.078731069,1,1,0,0,0,1
2.893987706,1,0,1,0,0,0
2.554039911,0,0,1,0,0,0
2.408608897,0,0,1,2,1,1
2.904428748,1,1,1,2,0,0
1.594970669,1,0,1,0,0,1
1.993846826,0,0,0,0,0,0
2.071920975,0,1,1,1,0,1
3.75564732,1,1,1,2,1,0
1.72966598,1,0,1,2,1,1
2.663666083,0,1,1,2,1,1
2.182735943,0,1,1,1,0,1
2.696581958,1,1,1,2,1,1
1.648659288,1,1,1,0,1,1
2.319436579,1,1,1,1,1,1
2.77482592,1,1,1,1,0,1
1.837298315,0,0,0,0,0,1
2.401584028,0,1,1,2,0,1
2.794396622,1,1,1,1,0,1
2.449251918,1,1,0,0,1,1
2.505620273,0,0,0,0,0,0
1.307842599,0,0,0,2,0,1
2.076555473,1,1,1,2,0,1
2.662498397,0,1,1,2,1,1
3.710329005,1,1,1,2,1,0
2.478622111,0,0,0,1,0,0
2.614756082,0,1,1,1,1,1
2.673948847,0,0,0,0,0,0
3.900038219,0,0,1,0,1,0
3.892845611,1,0,0,2,0,0
2.789312276,1,1,1,1,0,1
2.044820811,1,1,1,1,0,1
2.576090366,1,1,1,1,0,1
2.331275161,0,0,1,0,0,0
1.480071686,0,0,1,2,1,1
2.433682416,0,0,1,1,0,0
2.740066699,0,1,1,1,1,1
2.010265967,0,1,1,2,0,1
2.699553867,1,1,1,1,0,1
2.764492295,0,0,0,1,0,0
2.75483215,0,0,0,1,0,0
2.29704047,0,1,1,1,1,1
3.790790429,1,0,0,0,0,0
2.347987082,0,1,1,2,1,1
2.494880107,1,0,0,0,0,0
2.58444394,0,0,1,0,0,0
1.870562505,0,0,1,0,0,1
2.824649462,1,0,1,0,0,0
1.89213793,1,0,0,2,0,1
2.357759147,1,1,1,1,0,1
2.559430809,1,1,1,2,1,1
2.717335335,1,1,1,1,1,1
1.439744938,0,1,1,0,1,1
2.193792299,0,1,1,2,0,1
2.593817967,0,0,1,0,0,0
2.715213576,1,1,1,1,1,1
2.498270471,1,0,1,0,0,0
2.270896052,0,0,0,2,1,1
2.544724276,1,1,1,1,1,1
2.046773501,1,1,1,2,0,1
2.424858117,0,0,0,0,0,0
2.304925798,0,1,1,2,1,1
2.627476817,1,1,1,1,0,1
2.446400355,0,0,1,0,0,0
2.176737274,0,0,0,0,0,0
2.283728655,0,1,0,2,1,1
1.858850958,0,1,1,0,0,1
2.029163862,0,1,0,1,1,1
2.165280733,1,0,0,1,1,1
2.565288607,1,1,1,2,1,1
2.602383688,1,1,1,2,1,1
2.762333709,1,1,1,2,1,1
1.718941927,1,1,0,2,1,1
2.218687427,0,0,0,1,0,0
2.643242974,0,0,1,1,0,0
2.732442217,0,0,0,2,0,0
2.754633497,1,1,1,1,0,1
1.930611435,1,0,1,0,0,0
2.564976893,0,1,1,2,1,1
1.964657343,0,1,0,0,0,1
2.155599601,0,0,0,0,0,0
2.695572733,1,1,1,1,0,1
2.443606994,1,0,1,2,0,0
1.71873637,1,0,0,0,1,1
2.172452696,0,0,0,0,0,0
2.295770184,1,1,1,2,0,1
2.219121162,1,1,1,1,0,1
1.142384391,1,1,1,0,0,1
2.173695465,0,0,1,2,1,1
3.658947627,1,0,1,0,1,0
2.003972571,1,1,1,1,0,1
2.176196048,0,0,0,0,0,0
2.058378346,1,1,0,1,0,1
2.054599474,0,1,0,2,1,1
3.812050525,1,0,1,1,1,0
3.053298532,0,0,1,0,0,0
3.156508383,0,1,1,0,0,0
2.58442577,0,1,1,1,1,1
2.625371738,0,1,1,2,1,1
2.502792008,1,1,1,2,0,1
2.113056842,0,0,0,0,0,0
2.725667896,0,1,0,1,0,0
2.467763657,0,1,1,1,0,1
2.695912492,1,1,1,2,0,1
2.411926362,0,1,1,2,0,1
2.043704006,1,0,0,0,0,0
3.28913141,1,1,1,2,0,0
2.133126907,0,0,0,0,0,0
3.535442693,0,0,0,2,1,0
2.694437918,1,1,1,2,0,1
2.542342364,1,1,1,2,0,1
2.407902855,1,0,0,2,1,1
3.379183756,0,1,0,2,1,0
2.72293513,0,1,1,2,1,1
2.393521204,0,1,1,1,0,1
3.767504218,1,1,0,2,1,0
2.669254588,0,0,1,2,0,0
1.85304728,0,1,0,1,0,1
2.875549008,1,0,1,2,1,0
2.636550688,1,1,1,1,1,1
3.691758329,1,0,0,1,0,0
3.591989047,0,1,0,0,1,0
2.766103213,0,1,1,1,1,1
2.527527886,0,1,1,2,1,1
2.084333977,1,1,1,0,0,1
1.187581415,0,1,1,2,0,1
2.468662224,1,1,1,2,1,1
1.805257754,1,1,1,2,1,1
1.654765372,1,1,1,1,0,1
1.840230204,0,0,0,0,0,0
2.676001706,0,1,1,1,1,1
3.110598996,1,0,1,0,1,0
1.703837132,0,1,1,0,0,1
2.603217035,0,1,1,1,1,1
2.725737523,1,1,1,2,1,1
2.384370598,1,1,0,1,1,1
1.486824072,1,1,1,0,0,1
1.602599485,0,0,1,1,0,1
3.339140794,1,0,0,2,0,0
1.942936488,0,0,1,2,0,1
2.675434837,0,0,0,0,0,0
1.804272408,0,0,1,0,0,1
2.720405624,1,1,1,1,0,1
1.848713214,1,0,0,1,1,1
2.824416293,0,1,0,0,1,0
1.934755354,0,1,1,2,1,1
2.589458328,1,1,1,2,0,1
2.207890764,1,1,0,2,1,1
2.709162564,0,1,0,1,0,0
3.49847402,0,0,0,2,0,0
2.447908341,0,0,1,0,0,0
1.717770345,0,1,0,1,0,1
2.636543059,0,1,1,2,1,1
2.520890185,0,1,0,1,0,0
3.778139288,0,0,1,1,0,0
3.458990986,1,1,1,0,0,0
2.491398193,0,0,1,0,0,0
2.087693449,1,1,0,0,0,1
1.847917378,0,1,1,0,1,1
2.453988017,0,0,1,0,0,0
1.786705787,0,1,1,1,1,1
1.44487016,0,0,1,1,1,1
2.69781162,0,0,1,0,0,0
2.61136354,1,1,1,1,0,1
3.344576672,1,1,0,1,1,0
2.406347922,0,0,1,0,0,0
2.368243602,0,1,1,1,0,1
2.516823694,1,1,1,1,0,1
2.320365057,1,1,1,1,0,1
2.319123261,0,0,0,0,0,0
2.261741826,0,1,1,1,0,1
2.412819927,1,1,1,1,0,1
2.443621412,0,0,1,0,0,0
2.13450596,0,1,1,2,0,1
1.714271136,1,0,0,1,0,1
1.505398769,1,0,1,0,0,1
1.35195422,1,1,0,2,0,1
2.556811146,0,1,1,1,1,1
2.387138797,0,0,1,0,0,0
2.61963803,1,1,1,2,1,1
3.667880844,0,0,0,0,1,0
2.313549555,0,1,1,1,0,1
2.60620443,1,1,1,1,0,1
1.658082709,1,0,0,0,0,0
2.740665432,1,1,1,2,1,1
2.798578588,1,1,1,1,0,1
2.712451972,0,0,0,1,0,0
2.538212612,0,0,1,1,0,0
2.813828454,1,0,1,2,1,0
2.287906322,1,0,0,2,0,0
2.035913556,0,1,1,2,0,1
2.210981952,1,1,1,2,0,1
1.549182019,0,0,0,0,1,1
2.009048145,0,0,0,0,0,0
3.095353463,1,0,0,2,0,0
2.337891772,0,0,1,0,0,0
3.90321015,0,0,0,0,1,0
3.915343375,0,1,1,0,1,0
1.988396279,1,1,0,0,1,1
1.572753541,1,1,0,1,0,1
1.349362716,1,1,0,0,0,1
2.754151506,0,0,1,2,0,0
2.860098475,0,0,1,2,1,0
2.208348665,1,0,0,2,1,1
2.07983887,1,0,0,0,1,1
2.085822266,0,0,1,0,1,1
2.091414492,1,1,0,2,0,1
2.218471752,1,1,0,0,0,1
2.554719406,1,1,1,1,0,1
2.458604727,0,1,1,1,0,1
2.991750413,0,0,0,2,0,0
2.083443944,0,0,0,0,0,0
2.202917259,1,1,1,0,0,1
1.120138626,0,0,0,0,0,1
2.193717635,1,0,0,2,1,1
1.104169882,1,1,1,1,0,1
1.554284381,0,0,0,0,1,1
2.780062889,0,0,0,2,0,0
2.202650245,1,1,1,2,0,1
2.263641741,0,0,1,0,0,0
1.889834441,1,0,1,2,0,1
1.843874916,0,1,0,0,0,1
3.909353012,0,0,1,1,1,0
3.957792093,1,0,0,0,1,0
2.506526352,1,1,1,2,1,1
2.609125792,0,0,1,0,0,0
2.594134456,0,0,0,0,0,0
2.787792767,1,1,1,1,0,1
2.408105477,0,1,1,1,0,1
2.196150933,0,0,0,1,0,0
1.731100045,0,0,1,0,0,0
1.613045218,1,0,1,2,1,1
3.66932256,0,0,0,1,0,0
3.639873566,0,1,0,2,1,0
1.804487737,0,1,1,0,1,1
2.861677526,0,1,1,0,0,0
1.649597261,1,0,1,0,0,0
3.095455415,0,0,0,0,0,0
1.526921327,1,1,0,2,1,1
2.792946409,1,1,1,1,0,1
3.803938036,1,0,1,1,0,0
2.176046713,1,1,0,1,1,1
3.56229501,0,0,0,1,0,0
3.872356127,0,1,0,1,0,0
2.306014626,1,1,0,1,0,1
3.395980057,1,0,1,2,1,0
2.649193323,1,1,1,2,0,1
2.689621242,0,1,1,2,0,0
3.894204548,0,1,0,0,1,0
2.084045176,0,1,1,1,0,1
3.94594639,1,0,1,0,0,0
1.705663818,0,0,0,1,1,1
1.749372976,1,1,1,1,1,1
1.332473319,0,0,1,1,0,1
1.605758298,1,0,0,0,0,0
3.115354052,1,1,1,0,1,0
2.688757693,0,1,1,2,1,1
1.231431669,0,1,1,2,0,1
1.14226309,1,1,1,0,1,1
2.445158421,0,0,1,0,0,0
3.255335602,1,0,1,0,0,0
2.110045693,1,1,0,2,1,1
2.525819498,1,1,1,2,1,1
2.011640427,0,0,0,0,0,0
3.797012802,0,1,1,2,1,0
2.179549204,1,1,0,2,0,1
2.425607876,0,0,0,0,0,0
2.37581495,1,0,0,1,0,0
2.684436502,1,1,1,1,1,1
3.318652858,1,0,0,1,1,0
1.505721614,1,1,0,1,0,1
1.137424598,0,1,0,2,1,1
3.309526842,0,0,0,1,0,0
2.077980603,1,1,1,2,0,1
2.084652705,0,1,1,2,0,1
1.746339405,1,0,1,2,1,1
2.072807685,0,0,0,0,0,0
2.040912542,0,0,0,1,0,0
2.856061869,1,0,0,2,0,0
2.546131426,1,1,1,2,0,1
2.626330319,0,1,1,2,1,1
1.68014159,1,1,1,1,0,1
1.575533569,1,0,1,0,0,0
1.50778821,1,0,0,0,0,0
3.917466305,1,1,0,2,0,0
2.475330078,0,1,1,2,0,1
1.715889613,0,1,1,0,0,1
2.663877216,1,1,1,2,0,1
1.812518762,1,0,0,0,0,0
3.917132026,1,0,0,0,1,0
2.615361814,1,1,1,1,1,1
3.518191052,1,0,0,2,1,0
3.692683411,1,0,1,1,1,0
2.134897352,1,1,1,0,0,1
1.950577446,1,1,0,2,0,1
1.618109341,1,0,1,0,0,0
2.375062507,0,1,1,2,0,1
2.268613739,1,1,1,0,1,1
2.69804292,1,1,1,1,0,1
1.793881202,0,1,1,1,1,1
2.607737306,0,1,1,2,1,1
2.665277787,0,1,1,2,0,0
2.003218087,1,1,0,2,0,1
1.59871747,1,1,1,0,0,1
3.972605123,1,0,0,1,1,0
2.440972546,0,0,1,2,0,0
2.039084681,1,1,1,0,0,1
2.755764954,1,1,1,1,1,1
2.542312314,0,0,0,1,0,0
2.642960217,0,1,1,2,1,1
1.202168264,1,0,0,1,0,1
1.636977801,0,0,1,0,0,1
2.112441327,0,1,1,2,0,1
1.195043228,1,1,0,1,0,1
2.595751035,1,1,1,2,1,1
2.187778998,1,0,1,0,0,0
2.252387243,0,1,1,1,0,1
1.887363282,0,0,1,2,0,1
2.158710305,0,0,0,0,0,0
2.010969912,0,0,1,0,0,0
1.826454405,1,0,0,0,0,0
3.776560102,0,0,0,0,0,0
2.672784741,0,0,1,0,0,0
2.602920577,1,1,1,1,0,1
2.174204602,0,0,0,0,0,0
2.576363334,1,1,1,2,0,1
2.687359775,1,1,1,2,1,1
2.460364611,0,0,1,0,0,0
1.583325272,0,1,0,2,0,1
1.777236238,1,0,0,0,1,1
2.281259404,1,0,0,2,0,0
3.217109153,0,0,1,2,0,0
2.717787179,1,1,1,1,0,1
2.62825321,0,0,0,1,0,0
3.145546511,1,0,1,0,0,0
2.696451463,0,1,1,2,1,1
2.683012229,0,0,0,0,0,0
2.475807305,0,0,0,0,0,0
2.779615977,1,1,1,2,0,1
2.669920706,1,1,1,2,0,1
3.317119222,0,0,0,2,1,0
3.269443627,0,1,0,0,1,0
1.537166236,1,0,1,1,0,1
2.669480126,0,0,0,1,0,0
2.124577918,0,1,1,1,0,1
2.634061449,1,1,1,1,0,1
1.676268002,1,0,1,0,0,0
2.835112633,0,1,1,0,0,0
2.702964969,1,1,1,1,0,1
1.450315736,0,0,0,0,0,1
2.388191199,1,0,1,2,0,0
2.161550559,0,0,0,0,0,0
2.519857363,1,1,1,2,0,1
1.675665726,1,1,1,1,0,1
2.621640013,1,1,1,1,1,1
2.169284949,1,1,0,2,0,1
1.862797428,0,0,1,1,1,1
2.740960799,0,0,1,2,0,0
2.617731645,0,1,1,2,1,1
2.65109846,1,1,1,2,1,1
1.64999923,1,1,1,1,1,1
2.865508575,0,1,0,1,1,0
1.194829158,1,0,0,1,0,1
1.727641331,1,1,0,0,1,1
1.919694641,0,0,1,0,0,0
2.131525825,1,0,1,2,0,0
2.485423029,0,1,0,0,1,1
2.453409725,0,0,0,0,0,0
1.793024423,1,0,1,0,0,0
2.706603688,1,1,1,1,1,1
2.014411157,1,1,0,1,0,1
3.29657914,1,0,0,2,0,0
2.659624974,0,1,1,1,0,0
3.340627264,1,1,1,1,0,0
2.891490243,1,1,1,2,1,0
1.529254007,1,0,0,0,0,1
3.958425215,0,0,1,2,1,0
2.185118106,0,1,1,2,0,1
2.49915348,1,0,1,2,0,0
2.89511969,0,0,1,0,1,0
3.456904903,0,0,0,2,0,0
2.311290131,1,0,1,1,0,0
2.04237941,1,1,1,2,1,1
2.562918428,1,1,1,2,0,1
3.938252747,0,0,0,2,1,0
1.982089766,1,0,1,1,0,1
1.551509748,1,1,0,0,1,1
2.593060988,1,1,1,2,0,1
3.643011694,0,0,0,2,0,0
2.730979394,1,1,1,1,1,1
3.718210288,0,0,0,2,1,0
2.744834781,1,1,1,1,1,1
3.685552298,1,0,0,2,1,0
2.791217582,0,0,1,2,0,0
2.094281872,1,1,0,1,0,1
2.968385896,0,1,1,0,1,0
2.547938365,0,0,1,0,0,0
2.128320215,1,0,1,2,0,0
2.426523624,1,1,1,1,0,1
3.692280007,0,1,1,2,1,0
2.588192094,0,0,1,0,0,0
2.675962959,1,1,1,2,1,1
2.94114912,0,0,1,1,1,0
1.921117998,0,0,1,0,0,0
1.80254748,1,0,1,0,1,1
1.564009403,0,1,1,0,0,1
3.489823403,1,0,1,2,0,0
2.765100265,1,1,1,2,0,1
3.818055317,0,0,1,2,0,0
2.572247613,0,1,1,1,0,0
2.618088506,0,1,0,1,0,0
2.79600929,1,1,1,2,0,1
3.671492527,1,0,1,2,1,0
1.506284198,1,1,1,2,0,1
1.664589817,1,1,1,2,0,1
1.259365488,1,1,1,1,1,1
3.26129,1,1,0,1,0,0
2.547115275,0,1,0,2,0,0
3.116460522,0,1,1,0,1,0
2.758154197,0,1,1,1,1,1
2.341056032,0,0,0,0,0,0
3.752514959,1,0,1,1,0,0
3.978384522,0,0,1,2,0,0
3.035106398,1,0,0,1,0,0
2.655864676,0,1,0,1,0,0
2.472368327,0,0,0,0,0,0
2.191528425,1,1,0,2,0,1
2.756936186,1,1,1,1,1,1
2.967692198,1,0,1,2,0,0
2.643233171,1,1,1,2,1,1
3.379569913,0,1,1,1,1,0
2.174380551,0,1,1,1,0,1
2.028809237,0,0,0,0,0,0
2.42369634,1,1,0,1,0,1
2.186261069,1,1,0,2,0,1
3.638102657,0,0,1,0,0,0
2.194911996,0,0,0,0,0,0
2.779186707,0,1,1,1,0,0
1.880044234,0,1,1,2,1,1
1.577141944,0,0,1,2,1,1
1.542303878,0,1,0,1,0,1
1.110575509,0,0,0,0,1,1
1.925890759,1,1,1,0,0,1
2.434548331,0,0,0,0,0,0
2.633235316,1,1,1,1,0,1
1.708725851,1,1,1,0,1,1
2.429757824,0,0,0,0,0,0
2.609241592,1,1,1,2,0,1
1.989757703,1,1,1,2,1,1
2.701611088,0,1,1,1,1,1
2.389908763,1,0,0,0,0,0
2.747749274,0,1,0,1,0,0
2.031998659,0,0,0,1,1,1
2.054084333,1,1,0,2,0,1
2.232973041,1,1,0,2,0,1
2.52937095,0,1,0,2,0,0
1.734003362,1,0,1,1,0,1
2.632642843,0,0,0,0,0,0
1.59245592,0,1,0,0,0,1
1.975316808,0,0,0,2,0,1
3.555913125,0,1,0,2,1,0
3.984129349,1,1,1,0,0,0
1.738452373,1,1,1,0,1,1
3.8042826,0,0,1,0,0,0
1.356728941,0,0,0,0,0,1
2.98615756,0,0,0,0,1,0
2.308063561,0,1,1,2,0,1
3.051852874,1,0,0,2,0,0
2.34040916,1,1,1,2,0,1
2.499972002,0,0,1,0,0,0
2.488444873,0,0,0,1,0,0
2.05340311,0,0,0,0,0,0
2.658969743,1,1,1,2,1,1
3.575695256,0,0,1,0,1,0
2.519495017,0,0,0,0,0,0
1.762346935,0,0,1,2,1,1
2.775592326,0,1,1,2,1,1
2.103008355,0,1,1,1,0,1
1.714823589,1,1,0,1,1,1
2.676188188,1,1,1,2,0,1
2.689418174,1,1,1,1,0,1
2.445967086,1,1,1,2,0,1
2.011346661,0,1,1,1,0,1
2.764813616,1,1,1,1,0,1
2.364844761,1,1,0,1,1,1
3.520759875,0,0,0,1,0,0
3.494599786,1,0,0,0,0,0
3.564469886,1,1,1,1,1,0
2.732143906,0,0,0,1,0,0
1.584848191,0,1,1,0,0,1
2.576496435,0,1,1,2,1,1
3.498360707,1,0,1,0,1,0
3.042100281,1,1,0,1,1,0
2.105080162,0,1,1,2,0,1
2.90362574,0,1,0,1,0,0
2.641731396,0,1,1,2,0,0
2.742560515,0,0,0,2,0,0
2.551433465,0,0,1,0,0,0
2.396615649,1,1,1,0,1,1
2.564897807,0,1,1,2,0,0
2.334514705,0,0,0,0,0,0
2.481662159,1,0,0,1,0,0
2.021019667,0,0,0,0,0,0
2.396387023,0,0,0,0,0,0
2.675281322,0,0,1,0,0,0
2.182658902,0,0,1,2,1,1
1.778592863,0,0,1,1,1,1
3.418850289,0,1,1,0,0,0
3.961803991,0,0,0,0,1,0
2.729815284,0,0,1,2,0,0
3.991690971,1,1,1,0,1,0
2.637114736,0,1,1,2,0,0
2.564963408,0,0,1,0,0,0
2.246782223,1,0,0,0,0,0
2.782439307,0,1,1,1,1,1
3.285267683,1,1,0,2,1,0
2.341739676,1,1,0,0,0,1
2.436666167,0,0,1,0,0,0
1.813010675,1,0,1,0,0,0
2.680376977,0,1,1,2,1,1
2.413846029,0,0,0,1,1,1
2.336391209,0,0,1,0,0,0
2.307181567,1,1,0,1,0,1
2.445329868,1,0,1,2,1,1
2.565975399,1,1,1,1,0,1
2.667824777,0,1,0,2,0,0
1.007734205,1,1,1,0,1,1
3.719408377,0,0,1,0,1,0
2.633074001,0,1,1,1,1,1
1.740394062,0,0,1,0,0,0
2.708332166,0,1,0,2,0,0
1.825563127,0,0,1,0,0,1
1.952180585,1,1,1,0,1,1
1.267722034,0,1,1,1,1,1
3.027207174,1,1,1,0,0,0
2.096212958,1,1,1,0,1,1
3.179887862,0,1,0,1,0,0
2.599270563,0,0,0,1,0,0
2.443437456,0,1,1,0,1,1
2.526881594,0,0,1,0,0,0
1.438037976,1,1,0,1,1,1
2.725423984,0,0,1,1,0,0
2.271039084,0,0,1,1,0,0
2.309980479,1,1,0,0,0,1
2.26380758,0,0,0,2,0,0
2.175547711,1,1,0,2,0,1
1.705815335,1,0,0,0,0,0
2.28360795,0,0,0,0,0,0
1.811070927,1,0,1,0,0,0
2.023573225,0,0,1,0,1,1
2.055679279,1,1,0,1,0,1
2.71418008,1,1,1,2,1,1
1.65181041,0,0,0,1,1,1
2.451058232,1,1,0,0,0,1
2.491639579,0,0,1,0,0,0
2.208479703,0,1,1,2,0,1
2.082515914,0,0,0,2,0,0
2.15235607,1,1,1,1,1,1
2.646519115,1,1,1,2,0,1
2.860559829,1,0,1,1,1,0
2.03485614,0,1,1,1,0,1
