Aggregate,Internship,GRE,Germanlevel,DegreeCompleted,Private,Admission
1.805272656,1,1,0,1,0,1
2.525675299,0,1,0,0,0,0
2.647056061,0,0,1,0,0,0
2.5763046,0,0,0,0,0,0
2.981679363,1,0,2,1,0,0
3.960587324,0,1,1,0,1,0
2.908731603,1,1,1,1,1,0
3.013246524,1,1,0,1,0,0
2.328755872,1,0,2,0,1,1
2.636653928,0,0,0,1,0,0
1.962254099,0,0,0,0,0,0
2.658049876,0,0,2,0,0,0
2.169662804,0,0,0,0,0,0
1.778191527,1,1,1,1,1,1
2.14865848,0,0,0,0,0,0
1.861206839,1,1,0,1,0,1
2.206139335,0,0,1,1,0,1
2.556920699,1,1,1,1,1,1
2.18920344,1,1,1,1,1,1
2.210814435,0,1,1,1,1,1
2.725975574,1,1,1,1,1,1
3.080557269,1,0,0,0,0,0
1.928989007,0,1,1,0,0,1
1.87594097,0,0,0,0,0,0
2.923951879,1,0,1,1,0,0
2.397965571,1,0,2,1,1,1
2.550258965,0,0,0,0,0,0
1.174301304,1,0,1,1,1,1
3.896238138,0,1,0,0,0,0
1.435245282,1,1,1,0,0,1
3.942307491,1,0,0,1,0,0
2.206470842,1,1,2,1,0,1
2.116011718,0,0,0,0,0,0
1.800622208,0,0,0,0,0,0
2.296874087,1,0,2,1,0,1
2.209967678,1,0,0,1,0,1
1.990394431,1,0,0,1,0,1
2.678271012,0,0,0,0,0,0
1.392332409,0,0,0,0,0,1
2.408936178,1,0,0,0,0,0
2.151723253,1,0,0,0,1,1
2.846026365,1,1,0,1,0,0
2.813697965,1,1,1,1,1,1
2.617457304,0,1,1,0,0,0
2.696662267,1,0,0,1,0,0
1.457120899,1,0,0,0,1,1
2.509681351,0,1,1,0,0,0
2.036392149,0,0,0,0,0,0
2.158327721,0,0,0,0,0,0
3.512014331,1,1,1,1,1,0
3.525669672,1,0,1,1,0,0
2.706445333,1,1,0,0,0,0
2.426439692,0,0,0,0,0,0
2.155282141,0,0,1,1,1,1
2.268064564,0,1,0,0,1,1
2.177351088,1,1,2,1,0,1
1.734529579,0,1,1,0,0,1
2.595388105,1,0,0,1,0,0
1.708499606,0,1,2,0,1,1
1.962160962,0,0,1,1,0,1
2.442923422,0,1,2,0,0,0
2.241729361,1,1,1,1,1,1
2.908458756,0,0,2,1,1,0
1.969342504,1,1,1,1,0,1
2.687920489,0,0,0,1,0,0
2.730954781,1,0,1,1,0,0
1.681054337,1,1,1,1,0,1
1.613503644,1,1,0,1,0,1
2.868660589,0,0,0,0,0,0
2.126142713,1,0,1,1,0,1
2.700666666,0,1,0,1,1,0
2.398038261,1,1,2,1,0,1
2.403622811,0,0,0,1,0,0
1.842286016,1,1,1,1,0,1
2.126909717,1,0,0,1,0,1
2.239843444,0,0,0,0,0,0
2.208522759,1,0,2,1,1,1
2.798643598,0,1,1,1,1,0
1.927648722,1,1,2,1,0,1
1.567489867,1,1,1,0,0,1
2.826574416,0,1,2,0,1,0
1.722845443,0,0,2,0,1,1
3.750503815,0,0,1,0,0,0
2.669831908,0,1,1,0,0,0
1.780657049,1,1,0,1,0,1
1.831931181,0,0,0,0,0,0
2.670214191,0,0,0,0,0,0
1.702024619,1,0,1,1,0,1
2.114876758,1,1,2,1,0,1
2.850170346,1,0,2,0,1,0
3.464162162,0,1,2,0,0,0
2.170270307,1,1,1,1,0,1
2.550336564,1,1,2,1,1,1
1.792555096,1,1,2,1,1,1
1.648810715,1,0,0,0,0,1
2.315347643,0,0,0,0,0,0
2.996628049,0,1,0,0,1,0
2.446274618,1,0,0,1,1,1
1.590960054,1,0,0,1,1,1
1.330136851,1,1,0,0,0,1
2.336631826,0,1,1,1,0,1
1.820272884,0,0,1,1,0,1
2.111084095,1,1,1,1,1,1
2.957396557,0,1,1,1,0,0
2.637663409,0,0,0,1,0,0
2.205159879,1,0,0,1,1,1
2.277465367,1,0,0,1,1,1
2.763436607,1,1,2,1,1,0
1.736825091,0,1,2,0,1,1
1.692289015,1,0,0,1,0,1
1.828880232,0,0,1,1,1,1
1.524495721,1,0,1,1,0,1
1.802623873,0,0,0,0,0,0
2.84173163,1,0,2,1,0,0
1.832904248,1,1,1,1,1,1
2.227070489,1,1,1,1,0,1
2.888489516,0,0,1,1,0,0
2.764172383,0,0,0,1,1,0
3.477870216,0,1,1,1,0,0
2.09335694,1,1,1,0,1,1
2.466776152,0,0,0,0,0,0
1.691417296,1,0,2,0,0,1
2.310488388,1,1,2,1,0,1
1.829854367,1,1,1,1,1,1
2.064154983,1,1,1,1,1,1
3.514163854,0,0,1,0,0,0
3.57302142,1,0,0,1,1,0
1.914473428,1,1,1,1,0,1
2.411004969,1,0,2,1,1,1
2.764783078,1,1,1,1,0,0
2.636360779,1,0,0,0,0,0
2.427650939,0,0,0,0,0,0
2.668482423,0,0,2,0,0,0
2.013267794,0,0,0,0,0,0
3.218245427,1,1,2,1,1,0
2.875454004,0,0,2,1,1,0
1.345666482,1,0,0,0,1,1
1.936446416,1,0,1,1,0,1
1.661373613,1,1,1,1,0,1
1.879511906,0,0,0,0,0,0
3.942895414,0,0,0,1,1,0
1.996133212,0,1,1,1,0,1
3.933622313,1,1,0,0,0,0
2.819844339,0,1,2,0,1,0
1.57785853,0,1,1,1,0,1
1.822581018,0,0,0,0,0,0
1.711956822,0,1,2,1,0,1
2.712260282,0,1,1,1,1,0
2.477403293,0,0,2,0,0,0
1.827506878,0,0,0,0,0,0
2.901127138,1,0,2,0,1,0
2.58198211,1,1,2,1,1,1
2.583127969,1,1,1,1,0,1
2.676311296,0,0,0,1,0,0
3.387496748,1,1,0,0,1,0
2.159505109,1,1,1,1,1,1
2.785100296,1,1,1,1,1,1
2.12806979,0,0,0,0,0,0
2.234098075,1,1,1,1,0,1
3.578109972,1,0,2,1,0,0
3.582354283,0,1,0,1,0,0
2.405293028,0,0,0,0,0,0
2.456662816,0,0,2,0,0,0
2.948135454,0,0,1,1,0,0
2.00832495,0,0,1,1,0,1
2.143245105,0,0,0,0,0,0
1.950533648,1,1,1,1,0,1
2.131554349,1,0,2,1,0,1
3.056753556,0,0,1,0,0,0
1.990777251,0,1,1,0,0,1
3.583520891,0,1,0,1,1,0
1.300567458,1,1,1,0,1,1
3.00779747,0,0,2,1,1,0
1.991177431,0,1,1,1,1,1
2.952725548,1,1,1,0,0,0
1.715733441,1,0,1,1,0,1
2.362341776,1,1,0,1,1,1
1.104090198,1,0,0,0,0,1
1.931682481,0,1,1,0,1,1
2.334202536,1,1,2,0,0,1
2.355886812,0,0,0,0,0,0
2.62176554,0,0,0,0,0,0
3.319795374,0,1,0,1,0,0
1.811847095,1,1,0,0,0,1
1.735742862,0,1,0,1,1,1
2.158373701,1,1,2,1,0,1
2.69408911,0,0,0,0,0,0
1.680910136,1,1,2,1,0,1
1.863739627,0,1,1,1,1,1
1.753545423,1,1,2,1,1,1
2.881787221,1,1,1,1,1,1
2.3804897,1,1,0,0,0,1
2.962714487,0,0,1,0,0,0
2.174240547,1,1,1,1,0,1
2.307139706,0,0,2,1,1,1
2.091637657,0,0,0,0,0,0
1.861128226,0,1,1,1,1,1
2.430220599,0,0,0,0,0,0
2.911444528,1,1,0,0,1,0
1.959516348,1,1,1,1,1,1
2.146667675,0,0,1,1,1,1
2.781378915,1,0,1,1,0,0
2.670328753,0,0,0,0,0,0
2.282138677,0,0,2,1,1,1
2.164977315,0,0,0,0,0,0
1.713636486,0,1,1,0,1,1
2.362356333,1,1,0,0,1,1
1.906448071,1,1,1,1,0,1
1.578860915,0,1,0,1,1,1
1.567665508,1,1,1,1,1,1
2.123562303,0,0,1,1,1,1
1.818099809,0,0,0,0,0,0
2.841868753,1,0,0,0,0,0
3.016652422,1,0,2,0,0,0
1.527131401,1,1,1,0,0,1
3.137620025,0,1,0,1,1,0
2.838134906,0,1,1,0,0,0
2.930726629,1,1,1,1,1,1
2.417576044,0,0,0,1,0,0
2.479301887,1,1,0,1,1,1
1.597653587,0,1,1,1,1,1
1.961111398,1,1,1,1,0,1
1.92828024,1,1,0,1,1,1
2.12528134,0,0,0,0,0,0
2.512882454,1,0,1,1,1,1
2.427696648,0,0,0,0,0,0
2.020162683,0,0,0,0,0,0
2.555635463,0,0,0,0,0,0
1.758635268,1,1,1,0,0,1
2.247494891,1,1,0,1,1,1
2.397474099,0,0,0,0,0,0
1.31034667,1,0,0,0,0,1
2.452675374,1,1,1,1,1,1
2.260834544,1,0,2,1,1,1
2.084380554,0,0,0,0,0,0
2.723017335,1,1,1,1,0,0
3.630818926,1,1,1,0,0,0
2.545075427,0,0,2,0,0,0
1.882996145,0,0,0,0,0,0
2.675684837,0,0,0,1,0,0
2.431970169,0,0,0,0,0,0
1.75329555,1,1,1,1,1,1
1.97991531,0,0,0,0,0,0
2.022255161,1,1,1,1,0,1
2.866135989,0,1,2,0,1,0
1.902347996,1,1,1,1,0,1
2.724056602,1,0,1,0,0,0
2.019094296,0,0,0,0,0,0
2.88331455,1,0,1,1,1,0
2.744354672,1,1,0,0,1,0
2.163766528,1,1,2,0,0,1
2.438906866,0,1,0,0,0,0
2.503604225,1,1,1,1,0,1
1.899746677,0,0,0,0,0,0
3.352146063,1,0,1,1,0,0
2.193644375,1,1,2,0,1,1
3.441588203,1,0,2,1,0,0
1.50837899,1,0,1,1,1,1
2.241431158,1,1,1,1,1,1
1.957181883,0,1,1,1,1,1
2.700281308,1,1,1,0,1,0
2.768040153,1,0,2,1,1,0
2.582583091,0,1,1,0,0,0
2.845120777,1,1,1,1,1,1
2.24291765,1,1,0,1,0,1
3.256152021,1,1,1,1,1,0
1.644755698,0,0,0,1,0,1
2.835930941,1,1,1,1,1,0
3.17332526,0,0,1,1,0,0
2.677546306,1,1,1,1,1,1
2.636475119,0,0,2,0,0,0
1.528876099,0,1,1,0,0,1
1.852033594,0,0,1,1,0,1
2.417702142,0,0,0,1,0,0
3.758763062,1,0,2,1,1,0
2.229771382,1,1,2,1,0,1
2.850751569,0,1,1,0,1,0
2.889962821,0,0,2,0,1,0
2.604185958,1,1,1,1,0,1
1.93560299,1,0,1,1,0,1
2.656581601,1,0,0,0,0,0
2.401366614,1,1,1,1,0,1
2.455687025,1,1,1,1,1,1
1.953394864,1,1,1,0,1,1
2.464702988,1,0,1,1,1,1
3.798701938,0,1,2,1,0,0
2.191560411,1,1,2,0,0,1
2.537438126,1,1,1,1,1,1
3.265730345,0,0,1,1,0,0
2.057663617,0,0,0,0,0,0
1.941203179,0,0,0,0,0,0
1.662104295,1,0,0,1,0,1
2.869111703,1,0,0,0,1,0
2.785886829,0,0,0,1,0,0
2.661030629,0,1,2,0,0,0
2.264943805,0,0,0,0,1,1
2.427073866,0,0,0,0,0,0
2.402993633,0,0,0,0,0,0
2.049333223,0,0,0,0,0,0
2.496626887,0,0,0,0,0,0
2.973144669,0,0,2,0,1,0
1.653724873,1,1,0,1,0,1
1.856791885,1,1,1,1,1,1
2.600514182,1,1,2,1,1,1
1.914268078,0,0,0,0,0,0
2.492032397,1,0,0,0,0,0
2.076889423,1,1,0,1,1,1
1.025417023,1,1,2,1,0,1
1.662472683,1,0,2,1,0,1
2.853857293,1,1,1,1,1,1
2.006217338,0,1,1,1,0,1
2.648752893,1,1,2,1,1,1
2.123318185,0,1,2,1,0,1
2.823257138,0,1,1,1,0,0
2.47981425,0,0,0,0,0,0
2.911328171,0,1,0,0,0,0
2.852578725,0,0,0,1,1,0
2.449679469,1,1,0,1,1,1
2.811183709,1,1,1,0,1,0
3.064563344,0,0,2,1,1,0
3.067774366,1,0,0,1,0,0
2.702596642,1,1,2,0,1,0
2.900525913,1,0,2,0,1,0
1.889203604,0,0,0,0,0,0
1.522699945,1,1,1,1,0,1
3.041701184,1,1,0,0,0,0
2.217979699,0,0,0,0,0,0
2.033138128,1,1,1,1,1,1
2.241927165,1,1,0,1,1,1
2.244501903,0,0,2,1,0,1
2.221307626,1,1,1,0,1,1
3.155315536,0,0,0,1,0,0
1.675324975,1,1,0,1,0,1
1.303412164,1,0,2,1,1,1
2.129469063,1,0,0,0,1,1
2.336475652,0,1,0,1,1,1
2.432786325,0,0,0,1,0,0
1.764734373,0,1,1,1,0,1
2.744912467,1,1,1,1,1,1
3.621638548,0,0,0,1,1,0
2.341168609,1,1,0,1,1,1
2.923811863,1,0,0,1,0,0
1.698180203,1,0,2,0,1,1
1.685168825,1,0,0,1,0,1
2.191781724,0,0,0,0,0,0
2.494168574,0,0,0,1,0,0
2.37855563,0,0,0,0,0,0
2.05661079,1,1,2,1,1,1
2.724545618,0,0,1,1,1,0
1.750383499,1,1,0,1,1,1
2.913994097,1,1,1,1,0,0
2.332814733,1,1,1,1,0,1
3.530267626,1,1,2,1,1,0
1.817906006,0,1,1,1,1,1
1.672466086,0,1,1,0,1,1
2.589453508,1,0,1,1,1,1
3.863552036,0,1,1,1,0,0
2.048217878,1,1,1,1,0,1
1.975102581,1,1,2,1,1,1
2.134510896,1,1,1,0,1,1
2.251657474,0,1,1,0,1,1
2.718997198,1,0,2,0,0,0
3.463897902,0,1,2,0,1,0
1.891015102,1,1,1,0,1,1
1.918570827,0,0,0,0,0,0
2.726846894,1,0,0,0,0,0
2.105908693,1,0,2,1,1,1
1.951345463,1,0,1,1,0,1
2.329639779,1,1,2,1,1,1
1.981068803,0,0,0,0,0,0
2.554673489,0,0,0,0,0,0
1.901192711,1,1,1,1,0,1
2.903238714,0,1,0,0,0,0
1.470428441,0,1,2,1,0,1
2.260541053,1,0,2,0,1,1
1.193723043,1,0,0,0,1,1
3.836326303,0,1,0,0,1,0
1.87915258,1,1,1,1,1,1
2.017729757,0,0,1,1,0,1
1.523937687,1,0,0,1,1,1
1.795771166,0,1,1,0,1,1
3.137477734,1,1,0,0,0,0
2.625654153,1,0,1,1,1,1
2.096648579,1,1,0,0,0,1
1.946312481,0,0,0,0,0,0
2.563013164,0,0,0,0,0,0
1.718340481,0,1,1,0,0,1
1.333666173,0,0,2,1,1,1
2.85759235,1,1,1,1,1,1
3.761783257,0,1,2,0,1,0
2.511186389,0,1,2,0,0,0
2.164789589,0,0,0,0,1,1
2.023134458,1,1,1,0,1,1
2.612271506,0,0,0,0,0,0
3.138951051,1,0,0,0,0,0
1.871709578,0,0,0,0,0,0
2.409976888,0,0,1,0,0,0
2.473490829,1,1,1,1,0,1
2.292747738,0,0,1,0,1,1
1.96074121,1,0,0,1,1,1
1.978861651,1,0,1,1,1,1
2.617620814,0,1,2,0,0,0
2.908638226,1,1,1,1,1,1
2.658647558,0,0,0,0,0,0
3.400101347,1,1,1,0,1,0
1.648160197,1,1,1,1,0,1
2.844308941,1,1,1,1,1,1
1.909163375,1,0,1,1,1,1
2.883053594,1,1,1,0,1,0
2.517431892,1,0,0,1,0,0
1.215078139,1,1,1,1,0,1
2.94924396,1,1,1,1,1,1
2.586444161,0,0,0,0,0,0
2.503506803,0,0,0,0,0,0
1.67486409,1,0,1,1,0,1
2.925063531,1,0,2,1,0,0
3.86502189,0,1,1,1,1,0
2.394044826,1,1,2,1,0,1
1.918946398,1,0,1,1,1,1
2.174359081,1,1,1,1,0,1
3.649819408,1,0,1,1,1,0
1.409320618,0,0,2,1,0,1
1.857738467,1,1,2,0,1,1
2.51919624,0,0,1,0,0,0
1.776210505,1,1,0,1,1,1
3.030145808,1,1,2,0,1,0
3.692930708,1,1,2,1,1,0
1.815089243,0,0,0,0,0,0
2.088368081,1,1,1,1,0,1
1.768516865,1,0,2,1,0,1
1.616213531,1,1,1,1,0,1
2.788637354,1,1,1,1,1,1
2.925509817,1,1,2,0,1,0
1.831811612,1,1,2,0,1,1
3.791643868,1,1,2,1,1,0
1.766445815,1,1,1,0,0,1
2.371257104,0,1,0,0,1,1
2.935912086,1,0,2,1,1,0
2.704140896,1,0,2,0,1,0
1.653079612,1,1,1,1,1,1
2.651889925,0,0,2,0,0,0
2.890662032,0,0,0,1,0,0
3.425297929,0,1,0,1,0,0
2.85515409,1,0,2,0,1,0
2.443942646,1,0,0,0,0,0
3.92595252,0,1,1,1,0,0
2.895217232,0,0,0,0,0,0
2.672396567,0,0,0,1,0,0
2.059811417,0,0,0,0,0,0
3.169482228,1,1,1,0,1,0
1.960792102,1,1,1,1,0,1
2.284618976,1,0,0,1,0,1
2.335991695,1,1,0,1,1,1
2.74451266,1,1,1,1,1,1
3.231972995,0,0,2,0,1,0
2.056021669,0,0,0,0,0,0
3.696712242,1,1,0,1,1,0
2.598721453,1,1,1,1,1,1
1.812012153,0,0,0,0,0,0
2.455104219,1,0,2,1,1,1
2.683967555,0,0,0,0,0,0
2.63477003,0,0,0,0,0,0
2.761479257,1,0,0,0,0,0
1.549689442,1,1,1,1,1,1
2.279709865,0,0,1,0,1,1
3.62136755,0,1,0,0,0,0
1.62387598,1,1,0,1,0,1
2.382172232,1,1,2,1,0,1
2.673416217,0,0,2,0,0,0
2.589213777,0,0,0,0,0,0
2.506447413,1,1,0,1,1,1
1.760085575,1,1,1,0,1,1
2.965095155,0,0,2,0,1,0
3.220643397,1,1,1,0,1,0
2.804292181,1,1,1,1,1,1
3.371437218,1,1,2,1,1,0
2.74000189,0,0,0,1,1,0
1.81669264,0,0,0,0,0,0
2.602055485,1,1,1,1,1,1
2.552952835,0,0,0,1,0,0
2.823590045,1,1,1,1,1,1
1.718985033,0,1,1,0,0,1
2.397327343,0,0,0,0,0,0
3.342121228,0,0,0,1,0,0
2.5997136,0,0,2,0,0,0
2.294797017,0,0,0,0,0,0
2.67051097,1,0,0,0,0,0
1.835199657,0,0,0,0,0,0
2.298240669,1,0,2,1,1,1
3.853875217,0,1,0,1,0,0
2.553563056,1,0,1,1,1,1
2.231192849,0,1,1,1,1,1
2.953064682,1,1,0,1,1,0
1.561539393,1,1,1,1,1,1
3.623398011,0,1,0,1,1,0
2.406558286,1,0,0,1,0,0
1.885697998,0,0,0,0,0,0
2.049045351,1,1,1,0,0,1
1.801106069,1,0,1,1,0,1
1.930105827,0,0,0,0,0,0
1.883207094,0,0,0,0,0,0
2.089963258,1,1,2,0,1,1
2.412497934,0,0,0,0,0,0
1.541339379,0,1,1,0,1,1
1.912197675,1,0,1,1,0,1
1.615331102,1,1,2,1,0,1
2.693423298,1,0,0,1,0,0
2.870426077,1,1,1,1,1,1
3.47627452,0,0,0,0,0,0
2.812477302,0,0,1,1,0,0
2.344324801,0,0,0,0,0,0
2.235829905,0,1,1,0,1,1
2.948962593,1,1,1,1,1,1
1.766778684,0,1,1,0,1,1
2.085173758,0,0,0,0,0,0
2.253237111,1,1,1,1,1,1
2.000131105,0,1,1,0,0,1
3.789039748,0,0,1,1,1,0
2.873796623,0,1,2,1,0,0
2.631881226,1,1,1,1,1,1
2.274449832,0,1,0,0,1,1
2.497437072,0,0,0,0,0,0
2.062209136,1,0,0,1,0,1
2.461230885,0,0,0,0,0,0
2.28768301,1,1,0,1,1,1
2.369694762,1,1,1,1,1,1
1.513965266,1,0,0,1,1,1
1.50223424,0,1,1,1,0,1
2.565864037,0,0,0,0,0,0
2.366716732,1,1,2,1,0,1
1.626914965,0,1,1,1,1,1
1.79291909,1,1,1,0,0,1
1.975948998,0,0,1,1,1,1
2.042142178,0,1,1,0,1,1
2.036526279,1,1,2,1,0,1
2.558128471,1,0,0,1,0,0
3.591196653,1,1,1,1,1,0
2.806600463,1,1,1,1,1,1
2.815064254,1,0,1,0,0,0
1.97752676,1,1,1,1,0,1
1.274229422,1,0,1,0,0,1
3.998878894,1,1,1,1,0,0
1.531430661,0,1,2,1,1,1
2.814741956,0,0,2,0,0,0
2.937349302,1,1,1,1,1,0
3.524301671,1,0,0,1,1,0
2.895355388,1,1,1,1,1,0
1.84361515,0,0,0,0,0,0
2.562217674,1,0,1,1,1,1
2.602675891,0,0,0,0,0,0
2.877891942,1,1,2,1,1,0
1.925008804,1,1,1,1,0,1
2.672354065,0,0,0,1,0,0
3.368629272,1,0,2,1,0,0
1.977806338,1,1,1,1,0,1
1.48246789,0,1,1,1,0,1
2.600248223,1,0,0,0,0,0
2.151823369,0,1,1,1,1,1
3.301534581,0,0,2,1,0,0
2.867361382,1,0,0,1,0,0
2.939794389,0,1,2,0,0,0
2.615307234,1,1,2,1,1,1
2.632176834,0,0,0,0,0,0
2.678377223,0,0,0,0,0,0
2.998999096,1,1,1,0,0,0
1.630702584,0,1,2,0,0,1
1.298060256,1,0,1,0,0,1
2.047943831,0,0,1,1,1,1
2.127166679,0,1,1,1,0,1
2.574004948,1,1,1,1,1,1
2.492590559,0,0,0,0,0,0
3.855357966,1,0,2,0,0,0
1.98278254,1,1,0,1,0,1
2.632686484,0,1,0,0,0,0
2.135093522,0,0,0,0,0,0
2.952844002,1,0,2,1,1,0
2.550013484,0,1,2,0,0,0
1.935349195,1,0,0,1,1,1
3.331763797,0,1,0,1,0,0
2.667531722,0,0,1,0,0,0
1.912818648,0,0,0,0,0,0
1.613646168,1,1,1,1,0,1
2.536987614,0,1,0,0,0,0
2.960890477,1,0,0,0,0,0
2.256113838,0,0,1,1,0,1
2.461397014,0,0,2,0,0,0
3.351232862,1,0,1,0,1,0
3.031802211,0,1,1,1,0,0
1.883256128,0,1,1,1,0,1
1.587366641,1,0,0,1,1,1
2.23101598,0,0,1,1,1,1
2.002561732,1,1,2,0,0,1
2.518314996,1,1,1,1,0,1
1.624094382,1,1,0,0,0,1
2.84463893,1,0,0,0,0,0
2.161037319,1,1,2,0,1,1
1.600170401,1,1,1,1,0,1
2.355453608,0,0,0,0,1,1
3.113022028,1,0,2,0,1,0
3.751847337,0,0,2,1,1,0
3.57809115,1,1,1,0,0,0
2.460289788,1,1,1,1,1,1
2.645152195,0,0,0,1,0,0
1.670477613,0,1,1,0,1,1
2.838460869,1,1,1,1,1,1
2.938528034,0,0,2,1,0,0
1.766204305,1,1,2,0,1,1
2.602556136,1,1,0,1,1,1
2.139604462,1,1,2,0,0,1
1.789559046,1,1,1,0,1,1
2.531215238,0,1,0,0,0,0
2.084514609,1,1,1,1,1,1
2.946569213,1,1,1,1,1,1
3.501684837,0,0,2,1,0,0
2.806627401,1,1,1,1,1,1
2.591774184,0,1,2,0,0,0
2.619630155,0,0,0,0,0,0
2.274138328,0,0,0,0,0,0
2.945054579,1,1,1,1,1,1
