Aggregate,Internship,GRE,GermanLevel,IELTS7,DegreeCompleted,Winter,Admission
3.81567876,1,1,1,1,1,1,0
2.379109401,0,0,1,0,0,1,0
2.353113966,1,1,2,0,0,1,0
2.670046658,1,0,1,0,1,1,0
1.649563118,1,0,1,1,1,1,1
2.858074108,1,1,2,1,0,0,0
1.745866609,0,1,2,1,1,0,1
1.827845558,0,0,0,1,1,0,0
2.0802247,0,0,2,0,0,1,0
2.463123571,0,0,0,0,0,1,0
2.058366123,1,0,0,1,1,1,1
1.79834971,1,1,2,0,1,1,1
3.320513899,0,0,0,0,0,0,0
2.284710718,1,1,0,0,1,1,1
2.452638178,1,1,1,0,0,1,0
2.264766248,1,0,1,1,1,0,1
1.433927423,1,0,0,1,0,1,1
1.973676122,1,1,2,1,1,0,1
2.332136059,1,0,2,1,1,0,1
2.657358026,1,0,2,1,0,1,0
2.667604069,0,0,2,0,0,1,0
2.48870384,0,0,0,0,0,1,0
2.59258654,0,0,0,0,0,1,0
2.080230702,1,1,1,1,1,0,1
2.204137076,1,1,1,0,1,0,1
2.12788216,0,0,2,1,0,0,0
2.399316068,1,1,1,0,1,1,1
1.940985078,0,1,0,1,1,1,1
2.052435097,1,0,0,0,0,1,0
3.407857596,1,0,2,1,1,1,0
2.371323754,0,0,0,0,0,1,0
2.270735234,0,0,2,1,0,0,0
2.326755416,1,1,2,1,1,0,1
1.765873391,1,1,2,1,0,0,1
1.906523129,0,0,1,0,0,1,0
1.642120631,0,1,0,0,1,0,1
2.430656251,0,0,0,0,0,1,0
2.685754961,1,1,1,1,1,0,1
2.370064383,0,0,1,1,1,1,1
1.679524209,1,1,2,1,1,1,1
1.703750704,1,0,1,1,0,0,1
2.572372018,1,1,1,1,1,0,1
2.274575299,1,1,2,0,1,1,1
2.345582523,0,0,2,0,0,1,0
2.559800105,0,0,2,1,0,1,0
1.994436749,1,0,1,1,1,1,1
2.271488092,1,1,0,0,0,0,0
2.931615476,1,0,1,1,0,1,0
2.901972014,1,1,2,0,1,0,0
1.707285654,0,0,0,0,0,0,0
1.843555493,1,0,1,1,0,1,1
2.345276401,0,0,0,0,1,1,0
3.46383878,1,1,0,1,1,0,0
2.417602803,1,1,2,1,1,1,1
2.346259495,1,0,1,1,1,0,1
1.798802341,1,1,1,1,0,0,1
2.473922681,0,0,0,0,0,1,0
1.590591643,0,1,2,0,1,1,1
2.324591648,0,0,0,1,0,1,0
1.504076632,1,1,0,1,0,1,1
2.558416771,1,0,1,0,0,1,0
2.493606622,0,0,0,0,0,1,0
2.584796229,0,0,0,1,0,1,0
1.678449178,1,0,2,1,0,1,1
2.7541839,1,1,1,0,1,1,0
2.103237691,0,1,0,0,0,1,0
1.963024198,1,0,2,1,1,1,1
3.84471939,1,1,1,1,1,1,0
2.422789353,1,1,2,0,1,0,1
2.063801312,1,0,1,1,0,0,1
1.817210987,1,1,1,1,1,0,1
2.589751832,1,1,1,1,1,0,1
2.456757296,1,1,1,1,0,0,1
2.036773294,1,0,0,0,0,0,0
2.372708707,0,0,0,0,0,0,0
2.664845694,0,0,2,1,0,1,0
1.786938195,1,0,1,1,0,1,1
2.432140895,1,1,1,0,1,1,1
2.629038287,1,1,1,1,1,1,0
2.435700163,0,0,0,1,1,1,0
2.309133283,1,1,1,1,1,0,1
2.707586085,1,1,1,1,1,1,1
1.529669333,1,0,2,1,0,1,1
2.147854022,0,0,0,0,0,1,0
3.13288396,0,1,2,0,1,1,0
2.739654397,0,0,1,1,0,0,0
2.73633095,0,0,1,1,1,1,0
2.719834147,1,1,1,1,1,1,1
2.743267688,1,1,0,0,0,1,0
2.90975476,1,0,0,0,0,0,0
2.418790423,1,1,2,1,1,1,1
2.053947953,1,1,0,1,1,0,1
1.209674416,0,0,2,0,0,0,1
2.287964062,1,1,1,0,1,0,1
2.11580629,1,1,2,1,1,0,1
2.250600108,1,1,2,1,0,0,1
2.648757037,1,0,2,0,0,0,0
2.213247616,1,1,1,0,1,0,1
1.933488025,1,1,2,1,1,0,1
2.356359413,1,1,1,1,1,0,1
2.604308633,1,1,0,0,1,1,0
3.386599332,0,0,1,1,0,1,0
2.049572574,1,1,0,1,1,0,1
1.881666744,1,1,0,1,1,1,1
1.151151661,1,0,2,0,0,1,1
1.643630339,0,0,0,0,0,1,0
2.352181791,0,0,0,0,0,1,0
2.376624709,1,0,2,1,1,1,1
2.176566313,1,1,2,1,1,0,1
2.454456932,0,0,1,0,0,0,0
1.762631798,0,1,1,0,1,1,1
2.525966642,1,0,1,1,1,1,0
2.297260715,1,0,2,0,1,0,1
2.828610907,1,1,2,0,0,1,0
1.785401172,0,1,0,1,1,0,1
2.110428586,1,1,2,1,1,1,1
2.171906338,0,1,0,0,0,0,0
2.280957558,0,1,1,1,1,0,1
1.883903498,1,1,1,1,1,0,1
2.634499388,0,0,0,1,1,0,0
2.500845523,1,1,2,1,0,1,0
2.009125655,1,1,1,1,1,1,1
2.633139325,0,0,0,0,0,1,0
1.88635054,0,1,0,0,0,0,0
2.733591146,0,1,2,1,1,1,0
1.858975435,0,1,0,1,1,1,1
2.281274069,0,1,0,0,0,0,0
1.696101376,1,0,2,1,0,0,1
3.631949438,1,0,2,1,0,1,0
2.889702055,0,1,0,0,0,0,0
2.220847138,1,0,1,0,1,0,1
1.978260786,0,0,2,1,0,0,0
2.275710762,1,0,0,1,1,1,1
1.826661639,1,0,0,1,1,1,1
2.29799037,1,1,2,1,1,1,1
2.686789718,1,1,1,0,1,0,0
2.356936109,1,1,2,1,0,0,1
2.304179403,0,0,0,0,0,0,0
2.573445954,1,1,1,1,1,0,1
2.328001113,1,1,2,1,1,1,1
2.335321604,1,1,1,1,0,1,1
2.485720889,1,1,1,1,0,0,1
1.898072209,1,0,2,1,0,0,1
2.203269967,1,1,1,0,1,1,1
2.722313858,0,1,0,0,1,1,0
3.342863119,1,0,2,1,0,0,0
3.358024209,1,0,1,0,0,0,0
2.629560014,0,0,0,0,0,1,0
1.512179644,0,0,0,0,0,1,0
2.588628202,1,1,1,1,1,1,1
2.03222771,0,1,0,0,0,0,0
1.842175076,1,0,1,1,0,0,1
2.22510092,0,0,0,0,0,1,0
2.639827024,1,1,1,1,1,0,1
2.556786413,0,0,1,0,0,0,0
2.543176726,0,1,0,0,1,1,0
2.243750358,0,0,0,0,0,1,0
2.604748987,1,1,1,1,1,0,1
1.98145771,1,0,0,0,0,0,0
3.952605847,0,1,2,0,0,1,0
2.7113403,1,0,0,0,1,1,0
2.520216981,1,1,2,1,0,0,0
1.565122579,1,1,2,1,1,1,1
3.627051987,1,0,0,0,1,1,0
1.613550339,1,1,1,0,1,0,1
1.666249164,1,0,0,1,1,0,1
1.578356475,1,1,0,1,0,0,1
2.681063156,0,1,2,1,0,0,0
2.3531723,1,1,1,1,1,1,1
2.004559067,1,1,2,1,1,0,1
2.631093091,0,0,2,1,0,1,0
2.186042216,0,1,2,1,1,0,1
3.913352373,1,1,2,1,1,1,0
2.166084644,1,1,1,1,1,1,1
1.812958709,0,0,0,1,1,1,1
2.489426791,1,1,1,0,0,1,0
2.62198743,0,1,0,0,0,1,0
2.162936457,1,1,1,1,1,1,1
1.801603104,1,0,2,0,1,0,1
1.869694489,0,1,0,0,0,1,0
1.808318336,1,1,1,1,1,1,1
2.253507719,1,1,2,1,1,1,1
2.715636415,1,1,1,1,1,0,0
2.451097647,0,0,0,0,0,0,0
2.073247161,1,1,2,1,1,1,1
2.277445088,0,0,0,0,0,0,0
1.955398301,1,1,2,1,0,1,1
2.351133144,1,1,2,0,1,0,1
2.518511435,0,1,0,0,1,0,0
1.816735501,1,0,1,0,1,1,1
2.497203256,1,0,1,1,1,0,1
2.012371127,1,0,1,1,1,0,1
1.725708126,1,1,0,1,1,1,1
1.804437754,1,0,0,1,1,1,1
2.285632606,0,1,0,0,0,1,0
1.905100306,1,1,1,1,1,0,1
2.243582901,0,0,1,0,0,0,0
2.073908663,0,0,0,1,1,0,1
2.201807072,0,0,0,0,0,1,0
3.495707465,1,0,2,1,1,0,0
2.429946823,0,0,0,0,0,0,0
2.535206534,1,1,1,1,1,1,1
2.633249342,1,1,0,1,1,0,0
2.184016212,1,1,2,1,1,0,1
1.849227153,1,1,1,1,0,1,1
3.185325407,0,0,1,0,1,0,0
2.372704567,0,0,0,0,0,0,0
1.611752004,0,0,0,0,0,1,0
2.495408742,0,1,2,1,1,1,1
2.719157321,1,1,0,0,1,0,0
2.315188049,1,1,1,1,1,0,1
1.840089423,1,1,2,0,1,1,1
2.63266061,1,1,1,1,1,0,1
2.108705873,0,0,1,0,0,1,0
1.673350131,1,1,0,1,0,1,1
3.522517724,0,0,2,0,0,1,0
2.219737808,0,0,1,0,0,0,0
1.685878347,0,0,0,0,0,1,0
1.800188425,0,1,1,1,1,0,1
2.693110251,1,1,1,1,1,1,1
3.235551891,0,0,0,1,1,1,0
2.197340354,0,1,1,1,1,1,1
2.346819947,0,0,0,1,1,0,0
2.596498386,1,1,0,1,1,1,0
2.560407187,1,0,0,1,1,1,0
1.733122324,1,0,1,1,0,1,1
2.144524972,1,0,0,0,0,0,0
2.209588488,0,0,1,0,0,0,0
3.131680489,1,1,2,0,1,0,0
2.166628872,1,0,1,1,0,1,1
2.328185402,1,1,1,1,1,1,1
1.864563989,0,1,1,1,1,0,1
2.106756576,1,1,0,1,1,1,1
2.566000105,0,1,1,1,0,1,0
1.665496381,0,0,0,0,0,0,0
2.296756232,0,1,2,1,1,1,1
2.393869229,0,1,2,1,1,0,1
2.644010046,1,0,1,1,0,0,0
3.750642123,0,1,0,0,0,1,0
1.876000413,0,0,2,1,0,0,0
2.712358135,0,0,1,1,1,0,0
2.332315732,1,1,1,1,1,1,1
2.021604821,0,1,1,1,1,0,1
3.752962396,1,0,0,1,0,1,0
2.946514999,0,0,2,0,0,1,0
1.842669543,1,1,2,1,0,1,1
2.733948702,0,1,0,1,0,0,0
2.796633586,1,0,2,0,1,0,0
1.161759981,1,0,1,0,0,1,1
2.446768595,1,0,0,0,0,0,0
1.995872927,1,1,1,1,1,0,1
2.351535157,1,0,1,1,1,0,1
1.738696482,0,1,2,0,1,1,1
2.449637814,0,0,0,0,0,1,0
1.577679004,1,0,0,1,1,0,1
2.444044765,0,0,0,0,0,0,0
2.535915048,1,1,0,1,0,1,0
2.243576274,1,1,1,1,1,0,1
2.970050729,1,0,0,0,0,1,0
1.805748472,0,0,0,1,1,1,1
1.684433332,0,1,0,0,1,1,1
2.723964649,1,1,1,1,1,0,1
2.266910316,1,0,2,0,1,0,1
3.633548949,0,1,2,1,1,0,0
2.672409974,1,0,2,1,1,1,0
2.375628245,0,0,0,0,0,1,0
2.986526901,0,1,2,0,0,1,0
3.134351465,1,0,0,0,1,1,0
1.587668114,1,1,2,1,1,0,1
1.133405977,0,1,1,1,0,1,1
3.200361665,0,0,1,1,0,0,0
1.876281857,1,1,0,0,0,1,0
1.772650602,0,0,0,0,0,0,0
3.696035571,1,1,1,1,1,1,0
2.39035749,0,0,0,1,0,0,0
2.370904748,1,1,2,0,1,0,1
1.701379895,1,0,2,1,0,1,1
2.620885905,1,1,1,1,1,1,1
2.293617179,1,1,0,1,1,0,1
2.468212642,0,0,0,0,0,1,0
1.953768345,0,1,0,0,0,1,0
1.899462533,1,1,1,1,1,0,1
1.635838328,1,0,2,1,1,0,1
2.204029896,1,1,2,0,0,1,1
2.177855474,0,1,1,1,1,1,1
1.795481028,1,0,1,1,1,0,1
2.580582815,1,1,0,0,1,0,0
2.038931673,0,0,0,1,1,1,1
1.815582852,1,1,2,1,1,1,1
2.345796387,0,0,0,0,1,0,0
1.897445945,1,1,2,1,1,0,1
2.454760117,1,0,1,1,1,1,1
2.690701955,1,1,1,1,1,1,1
2.421948898,0,0,0,0,0,0,0
2.105498638,0,0,0,0,0,1,0
2.656076127,1,1,1,1,1,1,1
1.9175006,1,1,0,1,1,1,1
1.614982898,0,1,2,1,1,0,1
3.15981709,1,1,2,1,1,1,0
1.867040563,0,0,1,1,1,1,1
1.843414729,1,0,1,1,1,0,1
1.826079653,1,0,0,0,0,1,0
1.61354156,1,1,2,1,1,0,1
2.429227481,0,0,0,0,0,0,0
2.458485897,0,0,2,0,0,1,0
1.077216353,0,1,0,0,0,1,1
2.214304626,1,0,1,1,0,1,1
3.527004916,1,0,2,0,1,1,0
2.201296667,1,1,1,1,1,1,1
2.049600722,0,0,0,1,0,0,0
2.717514828,0,1,2,1,1,0,0
2.972719901,0,1,1,0,1,1,0
2.384671712,1,1,2,1,1,1,1
1.820603351,1,0,2,1,0,0,1
3.459396696,0,1,1,0,1,1,0
1.969059195,1,1,0,1,1,1,1
1.010065773,1,1,1,1,1,1,1
2.059766573,1,1,1,1,0,0,1
2.770698942,0,0,1,0,0,0,0
1.580144502,0,1,1,0,1,1,1
3.42462799,1,0,0,1,0,1,0
1.592535094,1,1,2,0,1,0,1
2.624119544,1,0,1,1,0,1,0
2.652761685,1,0,0,0,0,1,0
2.117421278,1,1,0,1,1,1,1
2.020761259,0,0,1,1,1,0,1
1.649862628,0,0,0,0,0,1,0
2.426644834,0,0,0,0,0,0,0
1.646371867,1,0,2,1,0,0,1
1.82299988,1,1,2,1,0,1,1
2.927605617,0,0,0,1,0,1,0
2.040620623,0,0,1,1,1,0,1
1.791133125,0,1,1,1,1,1,1
1.739885895,1,0,2,1,1,1,1
1.924184385,0,0,1,1,0,1,0
1.898621889,1,0,1,1,1,0,1
1.911786747,1,0,2,1,0,0,1
2.683362676,0,1,2,1,1,0,0
2.3049287,1,1,2,1,0,1,1
1.5827468,1,1,2,1,0,1,1
2.143664707,1,0,0,0,1,1,1
2.12982708,0,1,2,1,1,0,1
2.150161937,1,1,2,1,1,1,1
2.048416497,0,1,2,1,1,0,1
2.434724165,0,0,0,0,0,0,0
1.648158309,1,1,2,1,1,0,1
2.429998386,0,0,2,0,0,0,0
2.22052147,0,0,1,1,0,0,0
2.053523295,1,0,2,0,0,1,1
2.644745624,0,0,1,0,1,1,0
2.244927014,0,0,0,0,0,0,0
2.794144941,1,1,1,1,1,1,1
2.64576487,1,0,1,0,1,0,0
2.550939918,1,0,0,1,1,0,0
1.818412282,0,0,0,1,1,0,1
2.467745291,1,1,2,0,1,0,1
1.830793158,1,0,1,1,1,1,1
2.261226929,0,1,2,1,1,1,1
2.128625549,0,0,0,0,0,0,0
2.414025741,1,0,2,1,1,0,1
2.721885372,0,1,0,0,0,0,0
1.894062175,0,0,2,1,0,1,0
1.503085673,1,1,2,0,1,0,1
2.260212032,0,1,0,1,1,1,1
2.075227402,1,0,1,1,1,1,1
2.301774871,0,0,1,1,1,1,1
2.138297419,0,0,0,0,0,1,0
2.157103723,0,1,0,1,1,1,1
2.485629592,1,1,0,0,0,1,0
2.442234907,1,1,1,0,1,0,1
2.493105112,0,0,2,1,1,1,1
1.605410639,1,1,2,1,1,0,1
2.300951042,1,0,2,0,0,1,0
1.969474513,1,1,2,1,0,0,1
3.387141658,1,0,0,1,1,1,0
2.31819249,1,1,2,1,0,0,1
1.250800404,0,0,0,0,0,1,1
3.487522732,1,0,2,1,1,0,0
2.150136444,0,0,2,1,0,0,0
2.210798272,1,0,0,0,0,1,0
2.080480128,0,1,2,1,1,1,1
1.993840624,0,0,2,0,0,1,0
3.031228542,0,1,2,0,1,1,0
3.421132984,0,0,2,1,1,0,0
2.765501593,1,1,1,1,1,0,1
2.009577541,1,0,2,1,1,0,1
2.119516974,0,0,2,0,0,0,0
2.153084449,1,1,1,1,1,0,1
2.104760175,0,1,1,1,1,0,1
1.687315199,1,0,1,1,1,1,1
2.100407558,1,1,1,1,1,0,1
2.640513756,1,1,2,0,0,1,0
1.740748303,1,0,1,1,1,1,1
2.379009949,0,1,2,1,1,1,1
2.20885368,1,1,2,1,1,1,1
3.527445042,0,1,1,0,0,1,0
2.3028002,0,0,1,1,1,0,1
2.105069697,1,0,2,1,1,0,1
2.30254894,0,1,0,0,0,1,0
2.402209579,1,1,1,0,1,0,1
2.216055476,1,0,1,0,0,1,1
1.773150503,0,0,0,0,0,0,0
2.163306819,1,1,0,0,1,1,1
2.186077397,1,0,2,0,0,0,1
2.180234203,0,0,2,0,0,0,0
3.495083861,1,0,1,1,0,0,0
1.926233116,0,0,0,0,1,1,0
1.587618134,1,1,0,1,1,0,1
2.380343078,0,0,1,1,1,0,1
1.886685883,1,1,1,0,0,1,1
1.708425288,0,1,2,1,0,1,1
1.70861698,1,1,1,1,0,0,1
2.78658555,1,1,0,1,1,1,0
2.286015331,0,0,0,0,0,1,0
1.562459058,1,1,1,1,1,1,1
3.896588148,1,1,1,0,1,1,0
2.175062127,1,0,1,0,1,0,1
1.760630951,1,1,2,1,1,1,1
2.747143775,1,0,2,0,0,1,0
1.740913113,1,0,0,1,1,1,1
2.14384036,0,0,2,0,0,0,0
2.249576709,1,1,1,1,1,1,1
1.69896318,0,1,0,1,1,0,1
2.218566029,1,0,2,1,1,1,1
1.619841295,1,0,0,1,0,0,1
2.423516926,1,1,1,1,1,1,1
2.319100718,0,1,1,0,0,0,0
2.077244905,0,0,2,1,1,0,0
2.901253994,0,1,1,1,0,0,0
1.528295588,1,0,1,1,0,0,1
2.746429067,1,0,2,0,1,0,0
2.414750957,0,1,0,0,0,0,0
2.800834626,1,1,2,0,0,1,0
3.405465264,1,0,0,0,1,1,0
3.324127561,1,1,0,0,1,0,0
1.914867609,1,0,1,1,1,0,1
1.95565077,1,0,0,1,1,0,1
2.342092196,0,0,0,0,0,0,0
1.974321242,1,1,1,1,1,1,1
2.185464879,1,1,2,1,1,1,1
2.522679506,1,1,1,1,1,1,1
2.119195668,0,1,2,1,1,0,1
2.727432873,1,1,2,0,0,0,0
2.440679888,0,0,0,0,0,1,0
2.058931695,0,0,1,0,0,1,0
2.408227181,1,1,1,0,1,0,1
1.906843383,1,0,2,0,1,0,1
2.494437554,1,1,1,1,1,0,1
2.691010662,1,0,2,0,0,1,0
1.426458054,0,1,1,0,0,1,1
1.92359314,1,1,1,1,1,1,1
3.117828539,0,0,2,0,0,1,0
3.771415683,1,1,1,0,0,0,0
2.456743753,0,0,0,1,0,1,0
1.666787975,0,1,1,0,1,1,1
3.900569648,1,0,1,1,0,0,0
2.317677816,1,1,1,0,1,1,1
2.038491124,1,1,0,0,0,0,0
2.485833952,0,0,0,1,1,1,0
2.48293144,0,0,0,1,1,0,0
2.485396035,0,0,0,0,0,0,0
2.412429492,0,0,0,0,0,0,0
2.755166148,0,1,2,1,1,0,0
3.517778092,1,0,2,1,0,1,0
2.612672645,0,0,1,0,1,1,0
2.650836092,1,1,1,1,1,1,1
3.022376715,0,1,0,1,0,1,0
2.389984146,1,1,1,1,1,1,1
2.062988139,0,1,2,1,1,1,1
2.158549924,1,1,2,1,1,1,1
2.32893826,0,0,0,1,1,0,0
3.316293944,0,1,1,0,0,0,0
2.034473484,1,0,2,1,1,0,1
2.486060575,0,0,0,0,0,1,0
2.381850701,0,0,2,1,1,1,1
2.192785298,1,0,0,1,1,0,1
2.3062462,1,1,0,1,1,0,1
1.939916726,1,1,1,1,1,1,1
2.031214779,1,0,2,1,1,0,1
1.869330269,1,1,0,1,1,1,1
2.237672515,1,1,1,0,0,0,1
1.581415702,1,0,0,1,1,0,1
3.384784484,1,1,1,0,1,1,0
2.323309346,1,1,2,1,1,1,1
2.328212301,1,1,2,1,1,1,1
1.968878994,1,0,2,0,0,0,1
1.952467625,1,0,1,1,1,1,1
1.680842656,0,1,0,0,1,0,1
2.719280592,1,0,1,0,1,0,0
2.300321731,0,0,1,0,0,1,0
1.661139583,0,0,0,0,0,1,0
2.16236783,1,1,1,1,1,1,1
2.144757894,1,1,0,1,1,0,1
2.727348559,1,1,0,1,0,1,0
1.548225091,1,1,2,1,1,1,1
1.555034715,0,1,1,1,0,1,1
3.240026447,1,0,2,1,1,1,0
2.243172053,1,0,2,0,1,1,1
2.689974518,0,0,0,1,0,0,0
2.1644061,1,0,1,0,0,0,1
2.146702573,0,0,2,1,0,1,0
1.837385723,1,1,1,1,1,0,1
3.613466544,0,1,0,0,1,1,0
2.376668645,1,1,0,1,0,1,1
2.693888597,1,0,1,0,0,1,0
2.206070355,1,1,0,0,1,0,1
2.090544955,1,1,2,1,0,0,1
2.22964629,0,0,2,1,0,0,0
2.70570757,1,1,1,1,1,0,1
2.212850419,1,0,2,0,1,1,1
1.855294034,1,1,1,1,1,1,1
2.034432655,1,1,1,1,1,0,1
2.007620353,1,1,0,0,0,1,0
2.731180806,1,0,2,1,0,1,0
2.508291872,1,0,1,1,0,0,0
3.620797298,0,0,1,0,1,0,0
2.672795196,1,0,0,0,0,0,0
1.915143894,1,1,2,1,1,1,1
1.750350029,0,1,2,1,1,1,1
2.289119701,1,1,0,0,0,0,0
2.380816027,1,1,2,1,1,0,1
1.727741689,0,1,0,1,1,0,1
1.893203317,1,0,2,0,1,0,1
2.318526317,1,1,1,0,1,0,1
2.226320573,1,1,0,0,0,1,0
3.356696848,1,1,0,0,0,0,0
1.511985356,1,1,0,0,1,1,1
3.35489559,1,0,0,1,0,0,0
2.441807164,0,0,0,1,0,0,0
2.449466686,1,1,2,1,0,0,1
3.819661562,1,0,2,1,1,1,0
1.944616761,1,1,1,0,0,0,1
2.475494473,0,1,2,1,1,1,1
1.423220139,0,1,0,0,0,1,1
2.28300157,1,1,2,0,0,1,1
2.43697763,1,1,2,0,1,1,1
1.429369664,1,0,0,0,0,0,1
2.623351433,1,1,0,1,1,1,0
