Aggregate,Internship,DegreeCompleted,GRE,Winter,Germanlevel,Admission
2.621849505,1,1,1,0,1,1
3.748790738,0,0,1,0,1,0
1.98012934,1,1,0,0,2,1
2.468177669,0,0,0,0,0,0
2.457592538,1,1,1,0,0,1
2.267443039,1,0,0,1,0,0
1.946901363,0,1,0,1,2,1
2.205090777,1,1,1,0,2,1
2.679279214,0,0,0,0,1,0
2.46052676,0,0,0,1,0,0
1.819257888,0,0,0,0,0,0
2.350869082,0,0,0,1,0,0
2.686770636,0,0,0,0,0,0
3.51599679,0,1,0,0,0,0
1.807884293,0,0,0,1,0,0
1.990362665,1,0,1,1,1,1
1.998189499,0,1,0,1,1,1
2.039839576,0,0,1,1,1,1
2.36388902,1,1,0,0,2,0
1.71207324,0,1,1,0,0,1
1.761932138,1,0,1,1,2,1
1.79222284,1,1,1,1,2,1
1.868196916,1,1,1,0,0,1
1.83332045,1,1,1,1,1,1
2.291951501,0,0,0,1,0,0
2.224040091,1,1,1,1,1,1
2.673067242,1,1,1,0,2,1
2.721948979,1,0,0,0,1,0
3.680663421,0,0,0,0,1,0
2.156770195,1,0,0,1,0,0
1.809266938,1,1,1,1,0,1
1.962739027,1,0,1,1,0,1
2.063977338,1,1,0,1,0,0
1.906180992,1,0,1,1,1,1
2.376568149,1,1,1,1,1,1
2.131917132,1,1,1,1,2,1
2.939148679,1,1,1,1,0,0
2.985165136,1,0,0,1,0,0
3.095247429,0,0,0,1,2,0
2.170636048,0,1,1,0,1,1
2.145710862,1,1,1,1,0,1
2.64606474,1,0,1,0,2,0
2.272704759,1,1,1,0,2,1
2.362744948,0,0,0,0,0,0
1.655211168,1,1,1,1,1,1
2.198863432,0,0,0,0,0,0
1.512655026,0,1,0,0,2,1
3.156269689,1,0,1,1,0,0
1.910478613,1,1,1,0,0,1
1.656153162,1,1,1,0,0,1
3.040454694,0,0,1,0,0,0
2.315869497,1,1,1,0,2,1
1.517217948,1,1,1,1,0,1
2.279568768,1,0,1,0,2,1
2.23519058,0,0,0,1,1,0
1.761463202,0,0,0,1,0,0
2.136925259,0,0,0,0,0,0
2.183497256,0,0,1,0,0,0
1.634706776,0,0,1,0,0,1
1.83316209,1,0,1,0,2,1
2.461804844,1,0,0,1,0,0
2.504821256,1,1,0,1,1,0
2.708809185,0,1,0,1,1,0
1.541551056,0,0,0,1,0,0
2.163138302,0,1,1,0,2,1
2.476903505,0,0,0,0,0,0
2.718763384,1,1,1,1,2,1
2.173855733,0,1,1,1,2,1
1.512921278,1,1,1,1,1,1
2.434895135,1,1,0,1,1,0
2.410877318,1,1,1,1,2,1
2.42040907,1,1,1,0,2,1
2.123014204,0,0,0,0,0,0
1.511147377,0,0,0,1,0,0
2.443318464,1,1,1,0,2,1
1.5125458,1,1,0,1,2,1
1.853374821,1,1,1,0,1,1
2.213239966,0,0,0,0,0,0
1.594825536,1,1,1,1,2,1
2.037488915,1,1,1,1,2,1
2.063341142,1,1,1,0,2,1
1.809589171,1,1,1,0,2,1
1.853536636,0,0,0,1,0,0
2.366802672,0,0,0,1,0,0
1.986643311,0,1,1,0,2,1
1.967463229,1,0,1,0,1,1
2.360562406,0,0,1,0,0,0
1.843552691,0,0,1,0,2,1
2.285279768,1,1,1,1,0,1
2.195195628,0,0,1,0,0,0
2.552500288,0,0,1,1,0,0
2.282351793,0,0,0,1,1,0
1.491418329,1,1,0,0,2,1
2.308065375,0,0,1,1,0,0
1.612933305,1,1,1,0,1,1
2.578207276,1,1,1,0,2,1
1.887644209,1,1,1,1,0,1
2.659044337,0,0,1,1,0,0
2.623599048,1,1,1,1,2,1
2.392797828,1,1,1,1,2,1
1.912037895,0,1,1,0,1,1
1.521773744,0,1,0,1,1,1
1.755700272,1,1,1,1,1,1
2.309680741,0,0,0,1,0,0
2.317082309,0,1,0,0,2,0
1.970180446,1,1,1,1,2,1
2.340139175,0,0,0,0,1,0
1.998211415,1,0,1,0,0,1
2.393707436,1,1,1,1,0,1
2.554571739,1,1,1,0,1,1
2.143570934,1,1,0,1,0,0
2.167056029,0,1,0,1,0,0
2.721682009,1,1,1,1,2,1
2.454297713,1,1,1,0,2,1
1.532330803,1,1,0,1,0,1
1.868468448,0,0,0,1,0,0
3.749642091,0,1,0,1,2,0
1.823955182,1,1,0,0,0,1
2.48912115,0,0,0,1,0,0
2.481394527,0,0,0,1,0,0
1.262235874,0,1,1,1,1,1
2.536446524,0,1,1,1,1,0
3.289234242,1,0,1,1,2,0
1.842195658,1,0,1,0,1,1
2.217100975,1,1,1,0,1,1
1.401824393,1,1,1,0,0,1
2.167917157,0,1,1,0,1,1
3.560622107,0,0,1,0,2,0
1.986686928,0,1,1,1,2,1
2.54034815,1,1,1,0,2,0
2.673283633,1,0,1,0,1,0
2.617112269,0,0,1,0,0,0
1.935365037,0,0,0,0,0,0
1.536713776,1,1,0,0,0,1
1.851267712,0,1,0,0,2,1
2.345087595,1,1,1,0,2,1
1.505940056,1,1,1,0,1,1
1.576173122,0,1,1,1,2,1
1.825088931,0,0,0,0,0,0
1.583567588,1,1,0,0,0,1
2.161392938,1,1,1,0,1,1
2.103883173,1,1,1,0,0,1
2.787008081,1,1,1,0,2,1
2.124367859,0,0,1,1,1,0
1.91343925,1,0,1,1,2,1
1.736150002,0,0,0,1,0,0
2.27538103,0,0,1,0,2,0
2.764890969,0,1,1,0,2,0
2.547389618,1,1,1,1,2,1
2.789996704,1,1,1,0,1,1
1.922889556,1,0,1,0,1,1
2.063062257,0,0,0,0,0,0
1.607133555,1,1,1,1,0,1
2.628183371,1,1,0,0,0,0
2.15180791,0,1,1,1,2,1
2.340425005,1,0,0,0,0,0
2.829564105,1,1,1,0,1,0
2.429212856,1,1,0,1,0,0
2.613211846,1,1,0,1,0,0
1.94287137,1,1,0,1,1,1
2.732630375,0,0,1,0,1,0
3.253111211,0,0,1,0,0,0
2.424250121,0,0,0,1,0,0
3.538955661,1,0,1,1,1,0
2.057724619,0,1,1,1,2,1
1.925136733,0,1,1,0,1,1
2.667900461,1,0,0,1,1,0
2.186836067,0,0,1,1,2,0
2.252983783,0,1,0,0,0,0
2.283576465,1,1,1,1,2,1
2.718606805,0,0,0,1,0,0
2.422465227,0,0,1,1,0,0
1.753140617,0,0,0,1,0,0
2.623363825,0,0,0,0,1,0
2.398492251,0,0,0,1,0,0
2.210951599,0,0,0,1,0,0
3.53929566,0,0,1,1,1,0
2.606937334,1,1,1,0,2,0
2.471617621,0,0,0,0,0,0
3.336679812,1,1,1,0,0,0
2.359504208,1,1,0,0,0,0
1.937322654,1,1,0,1,1,1
1.663556902,1,0,1,0,1,1
2.053756203,0,0,0,1,2,0
1.629359928,1,1,0,0,0,1
1.593679711,0,0,1,0,0,1
2.207208053,1,1,1,1,2,1
2.389820845,0,0,1,1,0,0
2.055354275,0,0,1,1,2,0
2.413862946,0,0,0,0,0,0
1.857458236,1,1,0,1,2,1
1.006895531,0,1,1,0,0,1
2.502895942,0,0,1,0,1,0
1.738417248,1,1,0,1,2,1
2.311926255,1,1,1,0,2,1
1.789813513,1,0,1,0,2,1
3.107318501,1,1,1,0,0,0
1.474916812,1,1,0,1,1,1
1.812864312,0,0,0,0,0,0
2.072561385,0,1,1,1,1,1
2.672104604,0,0,0,0,1,0
1.967040452,0,1,1,1,2,1
2.47913996,0,0,0,0,0,0
1.844544896,0,0,0,0,0,0
2.291040749,0,0,0,1,1,0
2.516576548,1,0,1,0,1,0
2.712341978,0,1,1,1,2,0
2.526669352,0,0,0,0,2,0
2.282930368,1,1,1,1,1,1
2.011305149,1,1,1,0,0,1
2.185476765,0,0,0,0,0,0
1.557219091,0,0,1,1,1,1
2.650105985,1,1,1,1,2,1
2.588964008,0,1,1,0,2,0
3.632047602,1,0,1,1,0,0
1.615900433,0,0,0,1,0,0
3.330062631,0,0,0,0,1,0
2.369364859,0,0,0,1,0,0
1.899245115,0,0,0,1,0,0
1.927337953,1,1,0,0,0,1
1.643898598,0,0,0,0,1,1
2.467488777,0,0,1,0,2,0
1.779499741,1,1,1,1,1,1
1.76168147,0,0,0,1,2,1
2.530750843,0,1,1,1,0,0
2.275978259,0,0,1,0,2,1
2.168901449,1,1,1,0,2,1
2.231594952,0,0,0,1,0,0
2.558775513,0,1,1,0,1,0
2.342236126,0,0,1,1,0,0
2.377600188,0,0,0,1,0,0
1.566861852,0,0,1,0,1,1
1.673804065,0,0,1,1,2,1
1.643452626,1,1,0,1,1,1
2.288279838,1,0,0,0,0,0
1.884929354,1,1,1,1,1,1
2.411441798,1,1,1,1,2,1
2.091187661,1,1,1,0,1,1
2.350058732,0,0,1,1,0,0
1.897326612,1,1,1,1,1,1
2.498025305,1,1,1,0,1,0
2.304459112,1,1,1,0,2,1
1.786002808,1,1,1,1,1,1
2.4191689,0,1,0,1,2,0
2.22012117,1,0,0,0,0,0
2.471222107,0,1,1,0,1,0
2.508774685,1,1,0,1,2,0
1.508655618,0,0,1,1,1,1
1.591561986,1,1,1,0,2,1
2.76211625,1,0,0,0,2,0
3.861267934,0,1,0,1,0,0
2.381922605,0,0,0,1,0,0
1.890166591,1,0,1,1,2,1
1.7990762,1,1,1,1,2,1
1.645191142,1,1,0,0,0,1
1.928081112,0,1,1,1,2,1
2.404612007,0,0,0,1,0,0
2.49759507,0,1,0,0,1,0
2.577424522,0,0,1,1,1,0
2.311198555,0,1,1,1,2,0
2.927971972,0,1,0,0,1,0
1.952975262,0,1,0,1,2,1
1.546679815,0,0,1,0,2,1
1.890678415,1,1,1,1,1,1
2.189282041,0,0,0,1,0,0
2.786855335,0,0,0,0,2,0
2.426632529,1,0,0,0,2,0
2.474531495,0,0,1,0,2,0
2.331609154,0,0,0,1,0,0
1.785508863,1,0,1,0,2,1
2.202576281,0,0,0,0,1,0
2.273967019,0,0,1,1,0,0
1.969146031,1,0,1,0,2,1
1.813942396,0,1,0,1,1,1
2.186708292,0,0,0,0,0,0
3.473571437,0,0,0,0,0,0
2.251829197,1,1,0,0,0,0
2.395676016,1,1,1,1,2,1
1.933782869,1,1,1,1,1,1
2.396922539,0,0,0,0,0,0
2.304397546,0,0,0,1,0,0
2.352838621,0,1,0,1,2,0
1.714525117,0,0,0,0,2,1
2.431733758,0,0,0,0,0,0
2.086337786,1,1,1,0,2,1
2.495737609,1,1,1,0,0,1
2.975505546,1,0,1,1,0,0
2.600727939,0,1,0,0,2,0
1.860954068,1,1,0,1,0,1
2.368273192,0,0,0,1,0,0
2.413844372,1,1,1,0,2,1
2.020751127,0,1,1,1,1,1
1.756121581,0,0,0,0,0,0
2.411144496,1,0,1,1,0,0
2.171137358,0,0,0,1,2,0
1.864235081,1,1,1,1,2,1
1.803020771,1,1,1,1,2,1
2.225676494,1,1,1,1,2,1
1.997246807,0,0,0,1,0,0
2.082517916,0,1,1,1,1,1
2.218152198,0,0,1,1,1,0
1.804503972,0,1,1,0,2,1
1.838128457,0,0,0,0,0,0
1.676198351,1,0,1,1,2,1
2.197164012,0,0,1,0,1,0
2.375924992,0,0,1,1,0,0
2.196063322,0,1,1,1,1,1
1.839800372,1,0,1,0,0,1
2.239190033,0,0,1,0,2,0
2.036185722,0,0,0,1,2,0
1.86784104,1,1,1,0,2,1
2.758601057,0,0,0,0,2,0
2.414868392,1,1,1,1,1,1
2.012730329,0,0,1,0,2,0
2.683113734,1,1,1,0,1,1
2.637586234,1,1,1,0,2,1
2.399964192,0,1,1,0,2,1
2.892763896,0,0,0,1,1,0
2.269524248,1,1,1,1,0,1
2.690959758,1,1,1,0,2,0
1.68342462,0,0,0,0,0,0
2.316223757,1,1,1,1,2,1
2.030602549,1,1,1,1,2,1
2.08425261,0,0,0,0,0,0
1.833832888,0,1,1,0,1,1
1.86730996,0,0,0,1,0,0
1.930469691,1,1,1,0,2,1
2.522318184,1,1,0,1,2,0
2.968696262,1,0,0,1,2,0
2.145149214,0,0,0,1,2,0
3.9539799,0,0,0,0,0,0
1.519198025,0,0,1,1,1,1
2.335319614,0,0,0,0,0,0
2.080810614,0,0,0,1,0,0
2.309472097,0,0,0,1,0,0
2.040095549,0,0,0,1,2,0
1.921004768,1,1,0,1,1,1
2.45634502,0,1,1,0,1,1
1.56442033,1,1,0,0,2,1
2.288581118,0,0,0,1,0,0
2.164699988,1,1,1,1,1,1
3.620219018,1,0,1,0,2,0
1.188293697,0,1,0,1,1,1
1.846249446,1,1,0,1,2,1
2.347828242,0,0,1,1,0,0
2.651848636,0,1,1,1,0,0
2.247407272,0,1,0,0,0,0
2.503831866,1,1,1,1,1,0
1.952683429,0,1,1,0,1,1
2.007850083,1,1,1,1,2,1
3.345939384,0,1,1,1,1,0
2.142245764,0,1,0,1,0,0
3.864389776,1,1,0,1,1,0
1.914282472,1,1,0,0,0,1
2.024989657,1,1,1,1,2,1
1.961038348,1,1,1,1,2,1
1.977566244,0,0,0,1,0,0
1.587124189,1,1,1,1,1,1
2.151831663,1,1,1,0,2,1
2.737859813,1,0,0,1,2,0
1.876046725,1,0,1,0,1,1
2.345723394,0,0,1,1,0,0
1.917217176,1,1,1,0,2,1
3.930562384,0,0,0,0,1,0
2.459628333,0,1,1,1,1,1
2.291822895,0,1,1,0,1,1
2.473223948,1,1,1,0,1,1
1.738888235,1,1,1,0,2,1
2.343444706,1,1,1,0,0,1
2.193758179,1,1,1,1,1,1
1.623031746,0,0,0,1,0,0
2.747409672,0,0,0,1,1,0
1.963559668,1,1,0,0,2,1
1.62472107,0,1,1,1,2,1
1.931405997,1,1,1,1,1,1
1.832326765,1,1,0,0,2,1
1.672191971,0,1,1,0,2,1
2.646132831,1,0,0,1,1,0
2.077817988,1,1,1,0,1,1
2.043564476,1,1,1,0,1,1
1.878613445,0,0,0,0,0,0
1.851989596,0,0,0,1,0,0
3.855151035,0,0,0,0,1,0
1.959484669,1,1,1,0,1,1
1.83536546,1,1,1,1,1,1
1.811236156,1,1,0,0,0,1
2.355842663,1,1,1,1,1,1
2.261926971,1,1,0,0,0,0
2.51547121,1,1,0,1,1,0
3.2520335,1,1,1,1,0,0
2.626316969,0,0,1,0,0,0
2.391774283,0,0,0,0,1,0
1.968499771,1,0,1,0,2,1
2.49080393,0,1,1,1,0,0
2.739273151,1,1,1,0,2,1
1.898664698,1,1,1,0,2,1
2.284675801,0,0,0,1,0,0
2.549240851,1,0,1,1,1,0
2.131647866,1,1,1,1,1,1
2.360863477,0,0,0,0,0,0
2.627915946,1,1,1,0,0,0
1.555710657,0,1,1,1,2,1
1.947830048,0,0,0,1,0,0
2.313726645,1,1,1,0,1,1
2.448917301,1,1,1,0,1,1
2.279519338,0,1,1,1,2,1
2.42703042,0,0,1,0,1,0
2.654494962,1,1,1,1,2,1
1.944718995,1,1,0,1,2,1
2.045089354,1,1,1,0,1,1
1.870772495,1,0,1,1,2,1
1.878082091,1,0,1,1,0,1
2.215554811,0,0,1,1,2,1
2.919879214,1,1,1,1,1,0
1.500849793,1,1,1,1,2,1
1.886042782,1,1,1,0,1,1
2.103799506,1,1,1,0,0,1
2.600954293,0,1,1,0,2,0
1.944246352,1,1,1,0,1,1
3.295902234,0,0,0,0,1,0
2.133413656,1,1,1,0,2,1
1.724041093,1,1,1,0,2,1
2.213426322,1,1,1,1,0,1
3.293688628,1,1,1,1,1,0
2.225306923,1,1,1,0,2,1
2.449541947,1,1,1,1,2,0
3.188121648,0,1,1,0,2,0
2.704050785,1,0,0,0,0,0
2.30102863,0,1,0,1,2,0
1.869710461,0,0,0,1,0,0
1.900375658,1,1,1,0,2,1
2.220051061,1,1,1,1,1,1
2.789629597,0,1,1,0,1,0
2.686729667,1,0,0,0,1,0
2.418107934,1,1,1,0,2,1
1.463417329,1,1,1,0,1,1
2.370097291,0,0,0,0,1,0
1.53053873,1,1,0,1,2,1
2.36159072,0,1,1,1,2,0
2.328263984,0,0,0,1,0,0
1.811275283,1,1,1,0,0,1
2.391297863,0,0,1,0,0,0
2.415260716,1,1,1,0,2,1
1.935767868,1,0,1,1,0,1
1.86671648,0,0,0,1,0,0
1.790168712,1,1,0,0,1,1
1.841284682,0,1,0,0,2,1
2.273913658,0,1,1,0,2,1
3.115030643,0,0,0,1,0,0
2.276159777,0,0,0,1,0,0
2.433767973,0,1,1,0,1,1
2.205322198,1,1,1,0,0,1
2.416958508,1,0,0,0,2,0
1.743702129,1,0,1,1,1,1
2.469629851,0,1,1,1,2,1
1.550149369,0,1,1,0,1,1
2.069128106,1,1,1,1,2,1
1.918752397,1,1,1,1,1,1
2.005794111,1,1,0,0,0,0
2.30962608,1,1,1,0,0,1
1.958922524,1,1,1,1,2,1
3.227500559,1,0,1,1,0,0
1.709248808,0,0,0,1,0,0
2.4497678,0,0,1,0,0,0
2.249318859,1,1,0,0,0,0
2.158317405,1,1,1,1,2,1
2.288868219,1,1,1,1,1,1
2.377012934,0,1,0,1,2,0
2.149904887,1,0,1,1,2,1
3.3437966,0,0,0,0,2,0
2.344626685,1,1,1,1,1,1
2.178774704,1,1,1,1,1,1
3.06259521,0,0,1,1,2,0
3.761425298,0,1,1,0,2,0
2.729298048,0,1,1,1,0,0
2.715597441,0,0,1,1,2,0
1.339279265,1,1,1,1,0,1
2.745165225,1,1,1,1,1,1
2.508808528,0,0,0,1,1,0
1.933180879,1,0,1,0,1,1
2.129400231,0,0,1,0,0,0
2.358610511,0,0,0,0,0,0
2.464073697,1,0,1,0,0,0
3.890260056,1,1,1,1,0,0
1.100305522,0,1,0,1,0,1
1.546475036,0,1,1,1,2,1
2.091353353,1,0,1,0,1,1
3.11128668,0,1,0,1,0,0
2.44521896,0,0,0,1,0,0
1.697768014,1,0,1,0,2,1
2.489782131,1,1,1,1,2,1
2.092964634,0,1,1,1,1,1
2.265972846,1,1,1,0,2,1
2.089046971,1,1,1,0,1,1
2.43026092,0,0,1,1,0,0
2.754957388,1,1,1,1,1,1
2.872040967,1,0,0,1,2,0
1.649554276,1,0,1,1,1,1
1.935467533,0,1,1,0,2,1
2.168393541,1,1,1,0,0,1
2.001414685,0,0,1,0,0,0
2.367260328,1,1,0,1,1,0
3.65282567,1,1,1,1,1,0
2.966172437,1,1,0,1,0,0
2.553696908,0,0,0,1,1,0
2.707796818,0,1,0,1,1,0
1.854206488,0,0,1,0,2,1
1.951325266,0,0,0,1,0,0
1.507799656,0,0,1,1,0,1
1.576598856,1,1,0,1,0,1
2.316764814,1,0,1,0,1,0
1.540103178,0,0,0,1,0,0
2.444501284,1,1,1,1,0,1
2.539824865,1,1,1,1,1,0
2.365174036,0,0,0,1,0,0
2.513072188,1,1,1,0,2,1
2.03587162,1,1,1,0,1,1
2.108097693,1,1,1,1,2,1
1.593586922,0,1,1,1,2,1
2.665369266,1,0,0,0,0,0
2.306336902,0,0,0,1,0,0
2.272477081,0,1,1,0,2,1
1.959021615,1,1,0,1,2,1
1.531752707,1,0,1,1,1,1
3.455349459,0,0,1,0,1,0
2.027768392,0,0,1,1,0,0
2.450869754,0,0,0,1,0,0
1.591553185,1,1,1,0,1,1
1.517027045,1,0,1,0,1,1
2.027284923,1,1,1,1,2,1
2.106729393,0,0,0,1,0,0
1.654476873,1,0,0,0,2,1
3.017886659,0,0,0,0,1,0
1.011407926,0,0,0,1,2,1
3.842794277,1,1,1,0,1,0
3.124719016,1,0,1,0,2,0
2.338485803,0,0,1,1,0,0
2.311256269,0,0,0,0,0,0
1.975813615,1,1,1,1,0,1
2.431297968,0,0,0,1,0,0
1.805432337,1,1,0,1,1,1
1.884824848,1,1,1,1,2,1
2.538144359,1,1,0,1,2,0
1.599435446,1,0,1,0,1,1
2.188810885,0,1,1,1,2,1
1.861959424,0,0,0,0,0,0
2.494842502,1,1,1,1,2,1
1.784538122,0,0,1,0,2,1
1.562476323,0,0,0,1,0,0
2.045302736,1,1,1,0,1,1
2.447027016,0,0,0,0,0,0
2.462891323,0,0,0,1,0,0
2.223135,1,1,1,0,1,1
2.43007128,0,1,1,0,1,1
2.185920367,0,1,1,0,2,1
2.324194597,0,0,1,1,0,0
2.805703833,0,0,0,0,0,0
1.847139671,1,0,1,1,2,1
1.632335825,1,1,1,0,0,1
2.857949281,0,0,0,1,1,0
2.712494168,1,0,1,0,2,0
2.00866546,0,0,1,0,0,0
2.722141771,1,0,1,0,2,0
2.198032543,1,1,1,0,2,1
2.44837522,1,1,1,0,1,1
1.582339466,1,0,0,1,2,1
2.585705625,0,1,0,0,2,0
2.329789962,1,1,0,0,1,0
2.313203593,0,0,0,0,0,0
2.480688961,1,1,1,0,1,1
2.66262025,1,0,0,0,2,0
2.361797961,0,0,1,1,0,0
2.000311437,1,0,0,1,0,0
1.967216287,0,0,0,0,0,0
1.978213458,0,0,0,1,0,0
2.483127234,1,1,1,1,0,1
1.881829139,1,1,1,0,1,1
2.215749097,0,1,1,1,2,1
1.699770274,1,1,1,0,0,1
2.367910027,0,1,1,1,2,1
2.158081926,1,1,1,1,1,1
2.396500474,0,0,0,0,0,0
1.50433379,0,0,0,1,0,0
2.439158118,1,1,1,1,0,0
1.671159262,1,1,1,1,1,1
1.505832528,1,1,1,1,1,1
2.474398886,0,1,1,1,2,1
3.305516988,0,0,0,1,2,0
2.089592333,0,0,0,1,0,0
2.118200036,0,1,0,1,0,0
2.491367614,1,1,1,0,2,1
2.646264548,0,0,1,1,2,0
2.086241184,1,1,1,0,2,1
2.13275199,1,1,1,0,0,1
1.813917385,1,1,0,0,2,1
2.090529948,0,1,1,1,2,1
2.114464435,1,1,1,1,2,1
1.574178726,0,0,0,0,0,0
1.742179317,0,1,1,1,0,1
2.143978367,1,1,1,1,2,1
1.952448175,0,0,0,0,0,0
2.584925695,1,1,1,1,2,0
1.646963344,0,0,0,0,0,0
1.249080422,1,0,1,1,0,1
2.623721547,1,0,0,1,1,0
2.491365591,1,1,1,0,1,1
1.863966103,0,0,0,0,0,0
1.919376814,1,1,0,0,1,1
2.386936659,1,1,1,0,0,0
1.92250059,1,1,0,0,0,1
1.636018397,0,0,0,1,0,0
1.727197657,1,1,0,1,0,1
2.503614842,1,0,0,0,1,0
2.649870545,0,1,1,1,0,0
1.988613864,1,0,1,0,2,1
1.526878845,1,1,0,1,1,1
2.778290686,0,0,0,1,1,0
2.328845361,1,1,1,0,1,1
1.082389673,0,1,0,1,2,1
1.524354385,1,1,0,1,0,1
2.714010804,1,0,1,0,2,0
3.99696307,0,0,1,1,2,0
3.68681169,1,1,0,0,1,0
2.446115615,1,0,1,1,0,0
1.576715196,0,0,1,0,1,1
2.620840648,1,1,1,1,1,0
1.927689865,1,1,1,0,2,1
2.0274674,0,0,1,0,2,0
2.533768068,1,1,1,1,1,1
2.212778186,1,1,1,0,1,1
3.484752122,1,0,1,0,1,0
2.209514211,1,1,1,0,0,1
1.904459199,0,1,1,0,2,1
1.923662398,0,0,0,1,0,0
2.568126655,0,1,1,1,0,0
2.374837209,0,0,0,1,0,0
2.341785529,0,0,0,1,0,0
1.530917254,0,1,1,0,2,1
1.50776877,0,0,0,1,0,0
1.509964556,1,0,0,1,2,1
2.813187581,0,1,0,1,1,0
1.948199205,0,1,0,1,2,1
1.858107455,0,0,0,0,0,0
2.036514604,1,1,0,1,0,0
1.106846394,1,1,0,1,0,1
1.919189599,1,1,0,1,1,1
1.714444693,1,1,0,0,2,1
3.658227529,1,1,0,1,0,0
1.71230749,1,1,0,1,0,1
1.966257422,1,0,1,1,1,1
2.463715429,1,1,1,0,0,1
2.218587329,0,0,1,0,2,1
2.464577555,1,1,1,1,1,1
1.909563891,1,1,1,1,2,1
2.000760974,1,1,1,1,0,1
1.938113695,0,0,0,0,0,0
3.081558583,0,1,1,0,1,0
2.393264962,0,0,0,1,0,0
2.364295467,0,0,0,0,0,0
2.456843968,1,1,1,1,2,1
3.494995471,1,0,1,1,1,0
1.948663797,1,1,1,1,2,1
1.773627168,1,0,1,1,0,1
2.521927094,1,1,1,0,2,1
3.849277596,1,1,0,1,0,0
1.856655983,1,0,1,0,0,1
1.942139699,1,1,1,1,0,1
2.499019417,0,0,0,0,0,0
3.870672575,0,0,1,1,2,0
1.847111088,0,0,0,0,0,0
2.184577106,0,1,1,0,1,1
2.016449063,1,1,1,0,2,1
1.652013237,1,1,1,0,0,1
2.309960544,0,1,1,0,1,1
1.750627991,1,1,1,1,2,1
2.532091752,1,0,1,1,2,0
2.35604341,1,1,1,0,1,1
2.438623816,0,0,0,1,0,0
2.515562473,1,1,1,1,2,1
2.435527983,0,0,0,1,1,0
