Aggregate,Internship,DegreeCompleted,Winter,Germanlevel,GRE,Admission
2.393019149,1,1,1,1,1,1
1.686253089,0,0,1,0,1,0
2.215422194,1,1,1,1,1,1
2.7193981,1,1,1,2,0,0
2.770576039,1,1,1,1,1,1
2.377535903,1,0,0,2,0,0
2.427384022,0,0,1,0,1,0
1.8846883,0,0,1,1,0,0
3.487783176,1,1,1,1,1,0
2.395485413,1,0,0,0,1,0
2.302332351,1,1,0,0,1,1
3.356467274,1,1,1,0,0,0
2.789458855,1,0,0,2,0,0
2.566222713,0,1,0,2,1,1
1.589935829,0,1,0,2,0,1
2.162903841,0,0,0,0,1,0
2.771568989,1,0,1,1,1,0
2.154991561,1,1,1,0,0,1
2.901437693,1,1,1,2,0,0
1.537193794,1,0,0,1,0,0
2.045819935,1,1,1,1,1,1
1.572641991,0,1,0,2,0,1
2.685767705,1,1,1,1,1,1
1.729556971,0,0,1,0,1,0
3.992028378,0,1,1,0,1,0
3.9806327,1,1,1,1,1,0
3.093129358,1,1,1,2,0,0
1.549538661,1,1,1,1,0,1
2.474953036,0,1,0,1,0,1
2.610230886,1,0,0,2,1,0
2.3408956,1,0,0,0,0,0
2.879824236,1,1,1,2,1,0
1.621946905,1,1,0,1,0,1
1.757008372,1,1,1,1,1,1
2.08068704,0,1,0,1,0,1
2.433005325,1,1,1,2,1,1
2.256778098,1,0,0,2,1,0
3.270773674,1,1,1,2,1,0
2.56715406,1,0,1,1,1,0
1.211080268,1,1,1,2,1,1
2.528493987,1,0,0,1,1,0
3.027838664,0,1,0,0,0,0
2.781422701,1,1,1,2,1,1
1.871669905,0,1,0,1,0,1
1.696989509,0,1,0,0,1,1
2.40522776,1,1,0,1,0,1
2.803686632,1,1,0,2,1,0
2.225553097,0,1,0,1,1,1
3.886583878,0,1,0,0,0,0
1.988475978,1,1,0,1,0,1
2.408550711,1,0,0,1,1,0
1.833952906,1,0,0,2,1,0
2.422170958,1,1,1,0,1,1
1.398847365,1,1,1,2,0,1
2.358937118,1,1,1,2,1,1
1.951382629,1,1,1,1,1,1
2.221755138,0,1,1,1,1,1
1.740833733,1,0,1,1,1,0
2.483359047,0,1,1,2,0,1
1.805510471,1,1,0,1,0,1
2.124558485,1,1,1,1,1,1
1.969835969,1,0,0,1,1,0
2.644503084,1,1,1,1,1,0
2.368863409,1,0,0,1,1,0
1.940334747,0,0,1,1,0,0
2.702650836,1,0,1,1,1,0
2.574747412,1,1,0,0,1,1
2.714762211,1,1,1,1,0,0
2.404076091,1,1,1,1,1,1
1.657425677,1,1,1,1,1,1
1.995092164,1,0,1,1,1,0
2.313622966,1,0,1,2,1,0
2.375717011,1,0,1,1,1,0
1.944024494,0,1,0,0,0,1
2.207642914,1,1,0,1,1,1
1.63430674,0,1,0,1,0,1
2.406315722,0,0,0,1,0,0
2.499560283,0,0,1,1,0,0
2.31165336,1,0,1,1,1,0
1.94231941,1,1,0,2,1,1
1.805623194,0,1,0,1,1,1
2.534669251,1,1,1,1,0,1
3.475530797,1,1,1,1,0,0
2.46596243,0,0,1,0,1,0
2.299915641,0,0,1,1,0,0
2.9884298,1,1,1,2,0,0
2.553427747,1,0,1,0,1,0
2.017373733,0,1,0,1,1,1
1.802537202,0,1,1,1,0,1
2.600664876,1,1,1,2,1,0
1.930379304,0,1,0,1,1,1
2.459586492,1,0,1,1,1,0
1.123124642,1,0,1,2,1,1
2.60608125,0,0,1,0,1,0
1.30842221,0,1,1,0,1,1
2.192061556,0,0,1,0,0,0
2.239657471,1,0,0,1,1,0
2.518882924,1,0,0,2,1,0
1.782711464,0,0,0,1,1,0
3.944176286,1,1,1,1,0,0
2.225255455,0,1,1,1,1,1
3.75298497,0,1,0,2,1,0
2.744546549,0,0,0,1,0,0
2.520024149,1,1,1,2,1,1
1.935494591,1,1,1,1,0,1
2.538622471,1,0,1,2,1,0
2.432563618,1,1,0,2,1,1
2.319410642,0,1,1,1,0,1
1.920916916,1,1,1,1,1,1
1.735216758,1,1,1,1,1,1
2.679850934,1,0,1,0,1,0
2.695100197,0,1,0,1,1,0
1.847511183,1,1,0,1,0,1
1.901697576,0,0,0,2,1,0
2.316098939,1,0,1,0,1,0
2.792407129,1,1,1,1,1,1
1.639507219,1,1,1,1,1,1
2.647937043,1,1,0,0,0,0
1.540130944,0,0,1,0,0,0
2.703923636,0,0,0,1,0,0
2.604346929,1,1,1,1,1,1
2.245165152,1,1,0,1,0,1
1.66211178,1,1,0,1,0,1
2.180393125,1,1,1,1,1,1
1.84907892,1,0,1,0,0,0
1.954829039,1,0,1,1,0,0
2.615559509,1,1,1,2,1,1
1.853283491,1,1,1,1,0,1
2.211008216,1,0,1,1,1,0
2.358571078,1,0,0,2,1,0
1.787310234,1,1,0,1,0,1
1.664121338,1,1,1,1,1,1
3.548043685,1,1,1,2,1,0
3.404484355,1,0,1,1,1,0
1.526758863,1,1,1,0,0,1
1.924635767,0,1,1,1,1,1
2.020794675,1,1,0,1,1,1
1.241068584,0,0,1,1,0,1
2.301914973,1,0,1,2,1,0
2.545595334,1,0,1,2,1,0
3.404999212,1,0,0,0,1,0
2.101233058,1,0,0,0,0,0
2.383056751,0,1,1,2,0,1
1.308125865,0,0,1,0,1,1
2.380493303,1,0,1,2,1,0
2.014113543,1,0,1,0,0,0
1.5344325,1,1,1,1,1,1
2.63598943,1,1,1,1,1,1
1.378303609,0,1,1,0,0,1
1.611939523,1,0,0,2,0,0
2.762880062,1,0,1,2,0,0
1.647235076,1,1,0,1,1,1
2.749246332,1,0,0,1,0,0
3.879288982,1,0,1,2,0,0
2.757866786,1,0,1,2,1,0
3.531057286,1,1,1,2,0,0
1.641998565,0,1,0,0,1,1
2.441406647,1,1,0,0,1,1
2.726636775,0,1,1,1,1,0
3.829419775,0,0,1,1,0,0
1.985324767,1,0,0,1,1,0
2.563723126,1,1,0,2,1,1
2.166953506,1,1,0,1,1,1
2.748963777,1,1,1,2,1,1
1.976652488,1,0,0,1,1,0
2.634961993,1,0,1,0,1,0
1.569349408,1,1,1,1,0,1
2.21195931,1,1,1,1,1,1
2.673830221,0,0,1,1,0,0
1.298932087,0,1,0,1,0,1
2.292309953,0,1,1,1,1,1
2.115896424,0,0,0,0,0,0
1.913666938,1,0,1,1,1,0
2.722248224,1,1,1,2,1,1
2.408856535,1,0,1,1,1,0
2.539792032,1,1,1,1,1,1
2.103033998,0,0,1,1,0,0
2.116356119,0,1,0,2,1,1
2.457593354,0,1,1,2,1,1
2.330660985,1,0,1,1,1,0
1.562254808,1,1,1,1,0,1
1.872083879,1,0,1,1,1,0
2.302910028,1,1,1,1,1,1
2.391204201,0,0,0,1,1,0
1.82785476,1,1,1,0,0,1
1.677050711,0,0,0,1,1,0
2.254619618,0,1,1,1,1,1
2.464539841,0,0,0,1,0,0
1.826509922,1,1,1,2,1,1
1.75309422,0,0,0,2,0,0
2.364568678,0,0,1,2,0,0
2.710343956,0,1,1,2,1,0
2.378451444,0,0,0,1,0,0
1.857858025,1,1,1,1,0,1
2.282679712,0,1,0,0,1,1
2.263448405,0,1,0,1,1,1
1.827314511,1,1,1,1,1,1
2.353828823,0,1,1,1,1,1
1.990556586,1,1,1,1,0,1
1.738908264,1,1,1,1,1,1
1.680156017,0,1,0,0,1,1
2.613300003,0,0,1,1,1,0
2.715548439,1,1,1,1,1,1
2.785163053,1,0,1,0,0,0
2.23382884,0,0,0,0,0,0
2.660979974,1,1,1,1,1,1
1.656334163,1,0,1,1,1,0
1.87214953,1,0,0,1,0,0
2.666290192,1,1,1,2,1,1
1.692906781,0,1,1,2,1,1
2.311023797,1,1,1,2,1,1
2.607451382,0,1,0,0,0,0
2.234216447,1,0,1,1,1,0
1.574270134,1,0,1,2,0,0
2.751530844,0,0,0,0,0,0
2.155180764,0,0,0,2,0,0
1.920462281,1,1,1,1,0,1
2.049369736,1,0,0,1,1,0
1.574698579,1,0,1,1,1,0
3.835627432,1,0,0,2,0,0
1.7348914,1,0,1,1,1,0
3.268161742,1,1,1,1,1,0
2.299844851,0,1,0,0,0,1
2.524192467,0,0,1,0,0,0
2.397612371,1,0,1,1,1,0
2.351810403,0,1,0,1,1,1
2.034857302,1,0,1,0,1,0
2.724821237,1,0,0,0,1,0
1.692884066,0,1,0,1,0,1
2.213608551,1,1,0,1,1,1
2.707815967,0,0,0,2,0,0
2.482332815,1,0,1,1,1,0
2.1582879,1,1,1,1,0,1
2.498221713,1,0,0,1,1,0
3.48583886,1,1,0,1,0,0
2.631499974,0,0,0,0,1,0
2.181094224,1,1,0,1,1,1
3.582923038,1,1,1,0,0,0
2.60985611,0,1,1,1,1,0
2.317305132,1,0,1,2,1,0
2.563260304,1,1,1,0,1,1
2.585975465,0,0,1,0,0,0
2.380409184,1,0,0,0,1,0
1.791477119,0,0,0,2,1,0
1.305356646,1,0,1,1,0,1
2.741470723,1,1,1,1,1,1
2.073347105,1,0,0,0,1,0
2.042285852,0,0,0,2,0,0
1.909827456,1,1,1,1,1,1
1.69306351,1,0,1,1,1,0
2.225561154,0,0,1,1,0,0
2.208695964,1,1,0,1,1,1
2.656236468,1,0,0,1,0,0
2.015502607,0,0,1,1,1,0
2.411726676,1,0,0,2,1,0
2.781700674,1,1,1,2,1,1
2.540138889,0,1,0,1,0,1
2.540394518,1,0,1,2,0,0
1.687628514,0,1,1,1,1,1
1.9923978,1,1,0,1,1,1
1.842409089,0,1,0,2,0,1
1.715078638,1,0,1,1,1,0
2.378037723,1,1,1,1,1,1
1.606686742,0,0,1,1,1,0
2.293767583,0,1,0,0,1,1
3.473804409,1,1,1,1,1,0
2.587638627,1,0,1,2,1,0
1.566559628,1,0,1,1,1,0
1.549865676,1,1,1,2,0,1
2.676632129,1,1,1,2,1,1
2.166491727,0,1,1,1,0,1
1.907830309,1,1,1,1,0,1
2.203166807,1,1,1,1,1,1
1.97808563,1,1,1,0,0,1
2.034259522,1,0,0,0,0,0
2.642086824,1,0,1,0,1,0
2.538777946,0,1,1,2,0,1
2.752502972,0,0,1,1,1,0
2.271150228,1,0,1,1,1,0
2.100447897,1,1,1,1,1,1
2.714872974,1,1,1,1,1,1
2.790002355,1,0,0,1,0,0
3.500253838,1,1,1,1,1,0
2.057296252,1,1,1,1,1,1
3.085062961,1,1,0,0,0,0
1.130200332,1,0,1,2,0,1
1.687486592,1,1,1,1,1,1
1.758379417,0,1,0,0,1,1
2.62868029,1,1,0,1,0,0
2.251180175,1,0,0,2,1,0
2.279331387,1,1,0,1,1,1
1.670980624,0,1,1,1,1,1
1.630229522,1,0,1,1,1,0
2.662094829,0,1,1,1,1,0
1.985134925,1,0,0,1,1,0
1.860166975,1,1,1,1,0,1
1.862278698,1,1,1,1,1,1
1.370383248,0,1,0,2,0,1
2.642934756,1,1,0,2,1,0
2.01917141,0,0,1,1,1,0
2.310006761,1,0,1,2,0,0
1.83905895,0,0,1,2,1,0
2.082923856,1,0,1,1,1,0
3.00510412,1,0,0,2,1,0
2.762790553,1,1,1,1,1,1
2.610415977,0,1,1,0,1,0
1.770049963,1,1,0,1,1,1
3.446916279,0,1,0,2,1,0
2.548009061,1,1,1,2,1,1
2.917563521,0,0,0,0,1,0
2.529946244,1,1,1,1,1,1
1.844398406,1,1,0,1,0,1
3.209645781,1,1,1,1,0,0
2.94389843,1,1,1,2,1,0
2.684730829,1,1,1,2,1,1
2.056869146,1,1,0,1,1,1
2.90962104,1,1,1,2,1,0
1.52804887,1,1,0,1,1,1
1.665103358,0,1,0,1,1,1
2.672299973,1,0,1,0,0,0
1.513285789,1,1,0,1,1,1
3.850729821,1,0,0,2,0,0
2.56712774,0,0,1,0,0,0
2.611872395,1,1,1,2,1,1
3.563340318,1,1,1,1,1,0
1.946243152,1,1,0,1,1,1
1.270324651,1,0,1,2,1,1
2.307133567,1,0,1,2,1,0
1.946762988,1,0,0,2,0,0
2.608643784,1,1,1,2,1,1
1.461664135,0,0,1,2,1,1
1.81078557,0,1,0,1,1,1
2.696831574,1,0,1,2,0,0
2.411292436,1,1,0,1,1,1
3.446650084,1,1,1,2,0,0
2.986576912,1,1,0,0,0,0
1.851489882,0,1,1,2,1,1
2.271649079,1,1,0,1,1,1
1.779491402,0,0,0,2,0,0
2.725609755,1,1,1,1,1,1
2.345360926,0,0,0,0,0,0
2.885015081,0,0,1,2,0,0
2.681673037,1,1,1,2,1,1
1.584462267,0,1,0,1,0,1
2.089590569,1,0,0,1,1,0
1.962627412,1,0,0,1,1,0
2.378897972,1,1,0,1,1,1
2.322763045,1,1,1,1,1,1
2.583357883,1,1,0,1,1,1
2.760392673,1,0,1,1,1,0
1.088186653,1,0,0,1,0,1
1.31100279,0,0,1,2,1,1
2.116648735,1,1,1,1,0,1
2.40304452,1,1,1,2,1,1
2.689299461,1,1,1,2,1,1
2.053664523,1,1,1,1,1,1
1.609035068,1,0,1,1,1,0
2.206182286,0,1,0,1,0,1
2.756066958,0,1,0,2,0,0
1.86514997,1,0,0,1,1,0
3.914693526,1,1,1,1,0,0
2.537812385,0,0,0,2,1,0
2.735968278,1,1,0,1,0,0
1.654639723,1,1,1,1,1,1
3.62866713,1,1,1,1,0,0
1.847876149,1,1,0,1,1,1
2.492515513,0,0,1,2,1,0
2.655707827,1,0,1,1,0,0
2.266085201,1,1,0,1,0,1
2.112379792,1,0,1,1,1,0
1.817589889,1,1,1,1,1,1
2.978122799,1,1,0,0,0,0
2.141552422,1,1,1,1,1,1
1.54631005,1,0,1,1,1,0
2.215842942,0,1,1,0,0,1
2.131848431,1,0,0,1,1,0
2.60142398,0,0,0,0,0,0
2.7581498,1,1,1,2,1,1
2.751090389,1,1,1,1,1,1
3.262256507,0,1,0,1,0,0
2.718206347,1,1,1,1,1,1
2.011393628,1,1,1,1,1,1
2.497624239,1,0,0,1,1,0
2.328821688,1,1,0,2,1,1
2.967926149,1,1,1,1,0,0
1.910269016,0,1,1,1,1,1
2.540262605,0,1,0,2,0,1
1.87826494,1,1,0,1,1,1
2.602150058,0,1,0,0,0,0
2.283225875,1,0,1,1,1,0
3.818112018,1,1,1,2,1,0
1.558507789,1,0,1,1,1,0
1.519876104,1,0,1,1,1,0
1.528010367,0,1,0,1,0,1
1.756988239,1,1,1,1,1,1
2.718780673,1,1,0,2,0,0
1.771591421,1,0,1,1,1,0
2.081674895,0,1,1,1,1,1
2.224384911,1,1,1,1,1,1
1.554748337,0,1,0,1,0,1
2.584828173,1,0,0,0,1,0
1.865381368,0,0,0,0,1,0
2.770062549,1,1,0,2,0,0
1.957249648,1,1,1,1,1,1
2.773442857,1,0,0,1,1,0
2.949894033,1,1,1,2,0,0
2.2475547,1,0,1,1,1,0
1.889861238,1,1,0,0,0,1
2.184699962,1,0,1,0,0,0
2.529778593,0,0,1,2,0,0
1.930755339,1,0,0,1,1,0
2.660326481,1,1,1,2,1,1
1.740818347,1,0,1,2,0,0
1.640885326,1,1,1,1,0,1
1.606709623,1,0,1,2,0,0
1.96014669,1,1,0,1,1,1
2.7248057,1,1,0,0,1,0
1.775410832,0,1,0,1,1,1
1.587333185,1,0,1,1,1,0
2.175816003,0,1,1,0,1,1
2.525831393,0,0,1,1,0,0
2.298528394,0,1,0,1,1,1
1.75368875,1,0,1,0,1,0
2.525920035,1,0,0,1,1,0
1.699610899,1,1,0,1,1,1
2.99886566,1,1,1,2,0,0
2.776294685,1,1,0,1,1,0
3.447971205,1,1,1,1,1,0
2.423721263,1,0,1,1,1,0
2.556053618,1,1,0,1,1,1
2.165503145,0,0,1,1,1,0
1.541854365,1,1,0,1,1,1
2.414461184,1,1,1,2,1,1
2.675501132,1,1,1,2,1,1
2.953478988,1,1,1,1,0,0
3.742468919,1,1,1,2,1,0
3.695792637,1,1,1,2,1,0
2.647955666,1,0,0,2,0,0
1.972579964,0,0,1,0,1,0
1.912709841,1,1,1,1,1,1
1.522725584,1,0,1,2,1,0
2.797774278,1,1,1,1,1,1
2.716446715,1,1,1,2,1,1
2.272296858,1,1,0,1,1,1
2.469148537,1,1,0,2,1,1
2.668341967,0,0,1,0,0,0
2.335715847,0,0,0,2,0,0
3.877490068,1,1,1,1,1,0
1.946502461,0,0,1,0,0,0
1.99133085,1,0,1,1,1,0
1.592123268,1,0,1,1,1,0
2.511678785,1,0,0,1,1,0
2.022195187,0,1,0,0,1,1
2.748289449,1,1,1,1,1,1
2.49621394,0,1,0,2,1,1
2.554367184,1,0,1,0,0,0
2.239920832,0,1,0,1,1,1
2.596944224,1,1,0,1,0,1
2.367267175,1,1,0,1,1,1
2.086446628,0,1,1,1,1,1
2.79629945,1,0,1,0,1,0
1.982553372,1,1,0,1,1,1
2.246446757,0,1,0,1,1,1
1.296843571,1,1,0,0,0,1
2.343323121,1,1,1,0,1,1
2.768473262,0,0,0,0,1,0
2.25056516,0,1,1,1,1,1
1.736336106,1,1,0,1,1,1
2.326315856,1,0,0,2,1,0
2.740956391,1,1,0,0,1,0
3.174496441,1,0,0,1,0,0
2.732913878,0,0,0,1,0,0
2.290576301,0,0,0,0,1,0
1.755559929,0,0,1,2,1,0
3.619243898,1,1,1,2,0,0
1.654388297,1,1,1,1,0,1
1.773432012,1,0,1,1,1,0
2.052226775,1,0,1,1,1,0
1.667662563,1,1,0,1,1,1
1.734321189,1,1,1,1,0,1
2.549582304,1,0,1,1,1,0
1.836635249,1,1,0,1,0,1
2.008902595,1,1,0,1,1,1
1.755731242,1,1,1,1,1,1
3.287887889,0,1,1,1,1,0
2.670644581,1,1,1,1,1,1
1.737686064,0,1,1,1,0,1
1.555280669,1,1,1,1,0,1
2.367523215,1,0,0,1,1,0
1.798651425,1,1,1,1,1,1
2.047782004,1,1,0,0,0,1
2.787871982,1,1,1,2,0,0
2.796643846,0,1,1,2,0,0
2.505580729,1,1,0,2,1,1
2.007638397,0,1,0,2,0,1
3.67012891,1,1,1,2,0,0
2.033403101,1,1,0,1,1,1
1.39335808,0,0,1,1,0,1
1.996368494,0,0,0,1,0,0
2.480803979,0,0,0,1,0,0
2.596668994,0,1,1,1,0,1
3.893637786,1,1,1,1,0,0
2.725997293,1,1,1,2,1,1
1.847025636,0,1,1,1,0,1
1.884171007,1,0,1,1,1,0
1.650497263,0,1,0,1,1,1
1.162970861,1,0,0,0,0,1
2.753346769,0,0,0,1,0,0
2.167550498,0,1,1,1,1,1
1.839441147,0,0,1,2,1,0
1.607302202,0,0,1,2,0,0
2.774863302,1,1,0,2,0,0
2.401234797,1,0,1,1,1,0
2.557248574,1,1,0,2,1,1
2.520011542,1,1,0,2,0,1
2.114658232,1,1,0,1,1,1
2.687721813,1,1,1,1,1,1
1.002470468,1,0,1,0,1,1
1.796049373,1,1,0,1,0,1
2.437658437,0,1,0,1,1,1
2.113726958,0,1,1,1,0,1
2.779336113,1,1,0,0,0,0
2.635580394,0,0,1,0,1,0
2.054746939,0,1,1,2,1,1
1.990411647,0,0,0,0,1,0
1.961386997,1,0,1,1,1,0
2.128631636,1,1,1,1,1,1
3.128025097,1,0,0,1,0,0
2.218019803,1,1,0,1,1,1
1.06493306,1,0,1,1,0,1
1.380555486,1,0,1,0,1,1
2.260080438,1,1,1,1,0,1
2.722378928,1,0,1,2,0,0
2.602944367,0,0,0,2,0,0
2.354363259,1,0,0,2,1,0
1.547002726,0,1,0,1,1,1
3.422652262,1,0,0,2,1,0
1.700570006,1,0,0,1,1,0
2.246479057,0,1,1,1,1,1
2.36418761,1,1,0,1,1,1
3.753767255,1,0,1,0,1,0
1.933576452,1,0,1,1,1,0
1.800338221,1,1,0,1,1,1
2.103091439,1,1,0,1,1,1
2.008601706,0,1,0,1,1,1
2.471977697,0,1,0,1,0,1
2.595629031,1,1,0,2,1,1
2.005388513,1,0,0,1,1,0
2.318599552,1,1,1,2,1,1
